Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,33.91999816894531,35.290000915527344,33.369998931884766,33.790000915527344,27.39408493041992,10424463.157894736,1.174,0.6435,48.014,0.0184,-45.7261,1.32,0.5693,70.02,34.431,23.309,74.38,33.1871,31.7337,33.79,3.8746,0.66,1.974,41.2935,3990665.0
2013-03-31,33.689998626708984,35.34000015258789,33.27000045776367,35.31999969482422,28.634471893310547,7397410.0,-2.2033,0.6854,62.9889,0.0119,1.785,1.709,-0.1874,68.527,34.02,21.916,68.527,34.0122,32.2157,35.32,2.456,0.35,1.709,68.2828,3827978.0
2013-04-30,35.18000030517578,37.54999923706055,34.95000076293945,36.91999816894531,30.044994354248047,7042222.7272727275,2.4414,0.6854,58.0535,0.0119,1.785,1.709,-0.1874,68.527,36.858,21.916,71.946,35.3456,32.9165,36.92,2.456,0.35,1.854,57.0458,2094345.0
2013-05-31,36.77000045776367,38.77000045776367,35.58000183105469,36.66999816894531,29.841554641723633,7211850.0,2.3027,0.6854,46.649,0.0119,1.785,1.709,-0.1874,68.527,37.571,21.916,70.973,36.5336,33.5337,36.67,2.456,0.35,1.401,41.9348,3917407.0
2013-06-30,36.630001068115234,37.63999938964844,34.689998626708984,34.880001068115234,28.384864807128903,7341565.0,2.2246,0.6927,38.7419,0.0122,2.4976,1.229,-0.2354,71.043,35.728,17.1531,71.043,36.7056,34.0088,34.88,2.4343,0.3,1.229,35.4884,7504025.0
2013-07-31,34.970001220703125,37.15999984741211,33.720001220703125,36.630001068115234,29.929609298706055,7133409.090909091,-4.4593,0.6927,57.2518,0.0122,2.4976,1.229,-0.2354,71.043,36.411,17.1531,70.861,36.2604,34.2814,36.63,2.4343,0.3,1.473,60.9676,2768819.0
2013-08-31,36.88999938964844,37.06999969482422,33.22999954223633,33.33000183105469,27.233253479003903,6036354.545454546,-6.962,0.6927,20.9208,0.0122,2.4976,1.229,-0.2354,71.043,34.308,17.1531,72.527,35.4332,34.6585,33.33,2.4343,0.3,1.847,12.1133,2368223.0
2013-09-30,33.68000030517578,35.720001220703125,32.70000076293945,33.189998626708984,27.11885643005371,8801890.0,-8.6478,0.7744,33.7074,0.0113,-8.3534,1.479,-0.107,72.108,34.441,11.9857,72.108,35.0454,35.0048,33.19,2.1768,0.62,1.479,28.3596,3147898.0
2013-10-31,33.16999816894531,37.619998931884766,32.75,36.54999923706055,29.99082946777344,8288056.521739131,-11.6635,0.7744,59.3093,0.0113,-8.3534,1.479,-0.107,72.108,37.091,11.9857,72.074,34.7494,35.3704,36.55,2.1768,0.62,1.538,56.5633,2356979.0
2013-11-30,36.689998626708984,38.810001373291016,36.61000061035156,38.189998626708984,31.336511611938477,6165490.0,-5.7787,0.7744,60.3014,0.0113,-8.3534,1.479,-0.107,72.108,38.193,11.9857,72.317,36.1836,35.7973,38.19,2.1768,0.62,2.904,57.9375,1486316.0
2013-12-31,38.2400016784668,38.56999969482422,36.27000045776367,38.33000183105469,31.451406478881836,5672400.0,-6.5309,0.9514,59.186,0.0107,-9.9432,2.126,-0.4624,72.131,38.069,9.9245,72.131,37.5884,36.1228,38.33,2.3545,0.38,2.126,61.7611,1815719.0
2014-01-31,38.09000015258789,39.86000061035156,35.650001525878906,36.65999984741211,30.249263763427734,8013600.0,-1.981,0.9514,38.4146,0.0107,-9.9432,2.126,-0.4624,72.131,37.231,9.9245,72.39,37.9452,36.3985,36.66,2.3545,0.38,1.218,35.8516,2599620.0
2014-02-28,36.58000183105469,39.97999954223633,35.79999923706055,39.779998779296875,32.82366180419922,8776642.105263159,-0.0732,0.9514,69.0566,0.0107,-9.9432,2.126,-0.4624,72.131,39.146,9.9245,78.541,38.1898,36.5477,39.78,2.3545,0.38,1.712,77.4439,2532753.0
2014-03-31,39.5,40.4900016784668,38.08000183105469,38.5099983215332,31.7757511138916,8492838.095238095,3.6531,1.0111,44.9631,0.0119,-11.5842,1.357,0.2244,72.756,38.71,10.4658,72.756,38.4136,36.75,38.51,2.5406,0.24,1.357,41.5025,2363582.0
