Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,38.5666389465332,41.953060150146484,37.39312744140625,40.91366195678711,37.67831802368164,2923506.1363636362,48.81,647697.0,44.3421,1.051,5.8379,0.0161,0.88,1.2354,-1.6618,-1.6618,60.7127,62.6909,22.1298,31.4837,37.8407,40.957,106.713,110.118,2.522,4.593
2013-06-30,40.87175369262695,43.97317886352539,39.73176956176758,42.48952102661133,39.12956619262695,2459554.45,50.69,1418146.0,44.5389,1.1191,6.2864,0.0193,1.18,1.0208,6.0796,6.0796,55.2724,56.4993,24.6516,33.196,40.1231,42.2678,106.629,106.629,2.865,2.865
2013-07-31,42.84995651245117,46.77284240722656,42.84995651245117,45.02933883666992,41.46854019165039,2139493.727272727,53.72,663871.0,44.5389,1.1191,6.2864,0.0193,1.18,1.0208,6.0796,6.0796,42.2885,50.777,24.6022,35.2808,43.349,46.1299,107.182,106.629,3.083,2.865
2013-08-31,45.57418441772461,47.720035552978516,44.484493255615234,46.11902618408203,42.59955596923828,1909450.7727272727,55.02,354444.0,44.5389,1.1191,6.2864,0.0193,1.18,1.0208,6.0796,6.0796,49.5993,51.0366,26.2431,37.4156,45.3595,46.0303,105.791,106.629,3.144,2.865
2013-09-30,46.73093032836914,49.11986541748047,46.353729248046875,48.96898651123047,45.23202133178711,1921785.85,58.42,528279.0,40.7609,1.1028,6.5994,0.0271,0.88,0.9891,9.6642,9.6642,63.8886,61.6796,22.0349,39.4136,46.9674,48.4743,105.14,105.14,3.416,3.416
2013-10-31,49.20368957519531,50.54484558105469,45.79212188720703,47.946353912353516,44.28742980957031,2655581.695652174,57.2,414297.0,40.7609,1.1028,6.5994,0.0271,0.88,0.9891,9.6642,9.6642,44.2392,46.9462,21.0472,41.409,47.9792,48.6176,105.893,105.14,1.113,3.416
2013-11-30,47.946353912353516,49.421627044677734,44.761104583740234,49.07795333862305,45.47279357910156,2287750.55,58.55,256108.0,40.7609,1.1028,6.5994,0.0271,0.88,0.9891,9.6642,9.6642,62.3117,57.6087,10.1005,42.8874,48.1164,48.2884,104.995,105.14,1.942,3.416
2013-12-31,48.94384002685547,50.64543151855469,47.51885986328125,50.402347564697266,46.69990158081055,1718431.380952381,60.13,208806.0,46.1187,1.0456,6.3563,0.0263,0.97,0.5783,11.0167,11.0167,61.9415,59.5418,3.8401,44.4198,48.4397,49.9652,105.064,105.064,1.566,1.566
2014-01-31,49.99161911010742,53.16010284423828,49.32942199707031,51.03939437866211,47.2901611328125,2404161.9523809524,60.89,456087.0,46.1187,1.0456,6.3563,0.0263,0.97,0.5783,11.0167,11.0167,50.4287,52.0391,2.6755,45.9616,49.8746,51.302,106.305,105.064,0.779,1.566
2014-02-28,51.190277099609375,56.2950553894043,48.80134201049805,55.80050277709961,51.90399169921875,2644303.263157895,66.57,533773.0,46.1187,1.0456,6.3563,0.0263,0.97,0.5783,11.0167,11.0167,77.4585,72.4235,5.8246,47.4951,51.8248,55.1817,109.103,105.064,0.944,1.566
