Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,41.7400016784668,43.09000015258789,39.90999984741211,39.939998626708984,32.19748306274414,969963.6363636364,39.94,484212.0,8.539,0.6425,1.6309,0.0265,0.32,5.8438,2.8426,2.8426,21.895,30.2847,-4.3196,38.7538,41.658,41.662,101.846,104.178,0.814,0.971
2013-06-30,40.060001373291016,41.70000076293945,38.90999984741211,41.22999954223633,33.23741149902344,954815.0,41.23,506555.0,8.2801,0.6474,1.6024,0.0234,0.57,6.1647,-2.8624,-2.8624,63.2744,56.8934,-5.8639,39.0313,41.1614,40.335,91.008,91.008,1.299,1.299
2013-07-31,41.290000915527344,43.720001220703125,39.540000915527344,42.68000030517578,34.40631866455078,708681.8181818182,42.68,244464.0,8.2801,0.6474,1.6024,0.0234,0.57,6.1647,-2.8624,-2.8624,55.7022,57.4752,-1.6006,39.6047,41.2194,42.881,92.262,91.008,2.13,1.299
2013-08-31,43.0099983215332,43.47999954223633,40.2400016784668,40.7400016784668,33.062564849853516,698450.0,40.74,309109.0,8.2801,0.6474,1.6024,0.0234,0.57,6.1647,-2.8624,-2.8624,34.3193,38.7806,-3.2731,40.1754,41.7432,41.219,92.136,91.008,3.141,1.299
2013-09-30,40.790000915527344,41.29999923706055,39.04999923706055,41.279998779296875,33.50078201293945,1096040.0,41.28,357601.0,8.0402,0.6542,1.5857,0.0313,0.85,6.1996,-1.1571,-1.1571,62.4506,56.9507,-8.9267,40.4259,41.333,40.599,89.062,89.062,0.88,0.88
2013-10-31,40.970001220703125,43.060001373291016,40.04999923706055,42.869998931884766,34.791141510009766,673078.2608695652,42.87,411546.0,8.0402,0.6542,1.5857,0.0313,0.85,6.1996,-1.1571,-1.1571,70.3458,65.3332,-8.6431,40.8895,40.9418,42.404,89.197,89.062,1.674,0.88
2013-11-30,43.0,45.09000015258789,41.720001220703125,42.349998474121094,34.596160888671875,578765.0,42.35,112404.0,8.0402,0.6542,1.5857,0.0313,0.85,6.1996,-1.1571,-1.1571,48.4317,50.2039,-5.6545,41.3102,41.89,42.391,89.266,89.062,1.741,0.88
2013-12-31,42.38999938964844,42.58000183105469,40.349998474121094,42.2599983215332,34.52264404296875,851857.1428571428,42.26,125655.0,8.0528,0.696,1.5935,0.0216,0.33,6.4937,3.7199,3.7199,65.0442,58.1432,-7.7715,41.4892,42.1548,41.945,87.799,87.799,1.207,1.207
2014-01-31,42.0099983215332,42.68000030517578,41.11000061035156,42.56999969482422,35.00950241088867,740223.8095238095,42.57,281967.0,8.0528,0.696,1.5935,0.0216,0.33,6.4937,3.7199,3.7199,68.1497,62.2197,-9.2441,41.5294,41.7346,41.996,98.307,87.799,1.327,1.207
2014-02-28,42.5,45.150001525878906,41.06999969482422,44.84000015258789,36.876346588134766,717884.2105263158,44.84,348425.0,8.0528,0.696,1.5935,0.0216,0.33,6.4937,3.7199,3.7199,77.8193,72.9908,-5.0628,41.667,42.343,43.978,98.013,87.799,1.999,1.207
