Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,36.92558288574219,37.66431427001953,36.06735610961914,36.71917343139648,30.080934524536133,5271703.52631579,7.7802,0.8966,49.6764,0.0199,4.424,3.494,0.8564,88.716,36.6373,34.4007,93.74,36.7426,33.0389,67.6,5.2784,0.9,1.803,49.5726,1396101.0
2013-03-31,36.615970611572266,39.51113510131836,36.50733184814453,39.456817626953125,32.532081604003906,5077551.75,8.3182,0.8883,71.7164,0.0179,1.771,2.633,1.0433,94.566,38.3203,33.4649,94.566,37.3238,34.0406,72.64,5.6704,1.01,2.633,77.8566,771999.0
2013-04-30,39.36447525024414,39.57088470458984,37.32210922241211,37.95220184326172,31.29153060913086,5767242.136363637,4.6494,0.8883,48.5589,0.0179,1.771,2.633,1.0433,94.566,37.7966,33.4649,97.589,37.9207,35.1492,69.87,5.6704,1.01,1.472,48.1721,776215.0
2013-05-31,37.77838134765625,40.16838836669922,36.6702880859375,38.20206451416016,31.497533798217773,8331579.409090909,-8.304,0.8883,45.3805,0.0179,1.771,2.633,1.0433,94.566,39.1613,33.4649,94.186,38.5065,35.9818,70.33,5.6704,1.01,1.162,40.8622,1220821.0
2013-06-30,38.25094985961914,38.73981475830078,36.8875617980957,37.62628936767578,31.24219512939453,5252593.95,-7.009,0.9174,44.5726,0.0156,2.7156,1.568,1.0848,93.973,37.8656,32.0827,93.973,38.2372,36.5817,69.27,5.1553,1.09,1.568,43.0415,1732677.0
2013-07-31,37.827266693115234,40.52145767211914,37.50135803222656,39.67409133911133,32.94255828857422,4346492.2272727275,-5.1958,0.9174,56.1354,0.0156,2.7156,1.568,1.0848,93.973,39.9143,32.0827,88.883,38.7115,37.2727,73.04,5.1553,1.09,1.623,53.7971,771375.0
2013-08-31,39.923954010009766,40.25529479980469,37.64801788330078,37.7838134765625,31.373008728027344,5539870.2727272725,-4.5248,0.9174,35.5943,0.0156,2.7156,1.568,1.0848,93.973,38.5659,32.0827,87.597,38.9796,37.7985,69.56,5.1553,1.09,1.862,28.9572,765674.0
2013-09-30,38.164039611816406,39.57088470458984,35.58392333984375,35.68169403076172,29.83778953552246,5844226.95,-8.1472,0.9157,24.2907,0.0183,6.7012,1.233,2.1863,86.943,37.7716,29.305,86.943,38.7916,38.0334,65.69,4.6013,1.0,1.233,17.4953,1049241.0
2013-10-31,35.68169403076172,36.80065155029297,34.11189651489258,35.77946853637695,29.919565200805664,7311731.739130435,-14.0439,0.9157,44.2383,0.0183,6.7012,1.233,2.1863,86.943,35.7447,29.305,87.137,37.0592,37.9362,65.87,4.6013,1.0,1.572,46.2031,810284.0
2013-11-30,35.86094665527344,37.64801788330078,35.18739700317383,37.18088150024414,31.09144401550293,6465049.0,-13.2074,0.9157,60.359,0.0183,6.7012,1.233,2.1863,86.943,37.1605,29.305,86.984,36.2054,37.885,68.45,4.6013,1.0,2.511,63.9119,607426.0
2013-12-31,37.48506164550781,37.91960906982422,35.594783782958984,37.77838134765625,31.822601318359375,6035709.761904762,-13.3016,0.9061,64.4533,0.0149,16.3869,2.659,2.0116,88.051,37.1474,26.1282,88.051,36.4514,37.8312,69.55,4.46,0.6,2.659,69.61,577504.0
2014-01-31,37.77294921875,38.42477035522461,36.561649322509766,37.099403381347656,31.250669479370117,6225166.238095238,-11.8578,0.9061,45.4258,0.0149,16.3869,2.659,2.0116,88.051,37.3881,26.1282,86.339,37.197,37.7334,68.3,4.46,0.6,2.564,42.4237,820438.0
2014-02-28,37.12656021118164,38.10429000854492,36.089080810546875,37.751220703125,31.79971694946289,5481286.842105263,-12.1321,0.9061,55.5269,0.0149,16.3869,2.659,2.0116,88.051,37.5864,26.1282,92.725,37.413,37.667,69.5,4.46,0.6,3.623,57.5917,965217.0
2014-03-31,37.43074417114258,41.10809326171875,36.03476333618164,39.9674072265625,33.9072265625,8257051.619047619,-10.9782,0.8848,75.5236,0.0191,11.6009,2.212,1.9712,86.725,37.7477,25.7932,86.725,37.2762,37.5216,73.58,4.5903,1.02,2.212,82.427,861580.0
2014-04-30,40.12493133544922,40.26072692871094,39.02770233154297,39.53829574584961,33.543174743652344,5421867.761904762,2.3919,0.8848,56.3324,0.0191,11.6009,2.212,1.9712,86.725,39.5313,25.7932,87.173,38.2643,37.6607,72.79,4.5903,1.02,3.122,54.1774,718222.0
2014-05-31,39.57088470458984,41.21672821044922,39.57088470458984,40.418251037597656,34.28969955444336,4839235.19047619,4.93,0.8848,55.0093,0.0191,11.6009,2.212,1.9712,86.725,40.4303,25.7932,87.054,39.7317,37.7551,74.41,4.5903,1.02,4.764,51.4396,685041.0
2014-06-30,40.418251037597656,40.548614501953125,39.12004470825195,39.27213668823242,33.55316162109375,4497212.428571428,0.8438,0.8969,35.9908,0.0193,13.2189,4.001,2.1743,86.893,39.8817,24.4104,86.893,40.1113,37.8943,72.3,4.529,0.96,4.001,29.9988,780586.0
2014-07-31,39.451385498046875,41.99348068237305,39.451385498046875,40.570343017578125,34.66231155395508,4307521.681818182,1.3724,0.8969,40.7215,0.0193,13.2189,4.001,2.1743,86.893,41.4821,24.4104,91.697,40.6016,38.3898,74.69,4.529,0.96,4.34,30.8087,770829.0
2014-08-31,40.554046630859375,41.46659469604492,39.7935905456543,40.72786331176758,34.7968864440918,3319840.380952381,1.1579,0.8969,48.3976,0.0193,13.2189,4.001,2.1743,86.893,40.8851,24.4104,86.331,40.8309,38.9028,74.98,4.529,0.96,5.905,47.2774,494390.0
2014-09-30,40.711570739746094,40.93427658081055,38.6692008972168,38.984249114990234,33.541969299316406,4311963.904761905,-0.5908,0.843,37.6899,0.0209,-26.9811,3.259,2.2789,86.59,39.1933,23.1536,86.59,40.4548,39.2227,71.77,4.6259,0.86,3.259,36.9992,655811.0
2014-10-31,38.70722579956055,39.951114654541016,36.05105972290039,38.09885787963867,32.78018569946289,5579334.695652174,-7.604,0.843,47.54,0.0209,-26.9811,3.259,2.2789,86.59,37.7385,23.1536,86.696,39.1731,39.3033,70.14,4.6259,0.86,2.874,52.225,1052188.0
2014-11-30,38.09342575073242,39.7609977722168,37.02878952026367,39.65236282348633,34.11681365966797,5728416.842105263,-11.2748,0.843,62.2806,0.0209,-26.9811,3.259,2.2789,86.59,39.3047,23.1536,86.329,38.5573,39.4647,73.0,4.6259,0.86,4.929,68.4438,422084.0
2014-12-31,39.72297668457031,40.8962516784668,38.37588119506836,39.80988693237305,34.49576187133789,4227706.090909091,-4.9355,0.8733,50.5949,0.0213,-36.1493,5.68,1.9844,86.1,40.2407,30.1152,86.1,39.1413,39.7718,73.29,4.8918,1.76,5.68,46.377,480399.0
2015-01-31,39.98370361328125,40.21184158325195,38.04454040527344,38.191200256347656,33.093135833740234,5825402.7,-8.6696,0.8733,40.8103,0.0213,-36.1493,5.68,1.9844,86.1,38.6941,30.1152,86.955,39.4312,39.7823,70.31,4.8918,1.76,4.237,38.8651,1226910.0
2015-02-28,38.22378921508789,39.01140594482422,35.81748962402344,37.56110763549805,32.54716873168945,6824305.947368421,-11.7777,0.8733,45.0614,0.0213,-36.1493,5.68,1.9844,86.1,37.3914,30.1152,86.659,38.7457,39.567,69.15,4.8918,1.76,3.511,47.4095,819496.0
2015-03-31,37.56110763549805,38.03910827636719,36.262901306152344,37.208038330078125,32.49068069458008,6404470.818181818,-10.7041,0.809,48.8073,0.0149,-37.552,4.814,2.7162,85.705,37.1599,29.7696,85.705,37.6467,39.2229,68.5,5.1298,0.79,4.814,51.4514,949705.0
2015-04-30,37.04508590698242,39.14720153808594,36.4530143737793,37.338401794433594,32.604522705078125,5406429.761904762,-7.5363,0.809,42.3065,0.0149,-37.552,4.814,2.7162,85.705,38.1606,29.7696,85.246,37.4775,38.9577,68.74,5.1298,0.79,6.099,35.7582,724176.0
2015-05-31,37.43074417114258,38.08799743652344,35.94242477416992,36.18142318725586,31.84119033813477,6869350.95,-7.378,0.809,33.7533,0.0149,-37.552,4.814,2.7162,85.705,36.7769,29.7696,89.031,37.4925,38.5706,66.61,5.1298,0.79,3.21,27.8659,2414953.0
2015-06-30,36.279197692871094,39.565452575683594,34.76914596557617,37.98479080200195,33.42823791503906,14037583.227272727,-9.2242,0.8118,55.5499,0.0123,-40.4189,2.639,2.6458,88.924,38.2448,26.2222,88.924,37.281,38.1733,69.93,4.7646,0.61,2.639,53.8019,3185333.0
