Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,82.79024505615234,86.98536682128906,82.4000015258789,85.91219329833984,72.3102035522461,1373958.8421052631,7.134,0.8103,63.4615,0.0436,0.6647,10.763,0.9873,84.976,85.5559,33.3224,93.744,81.576,75.9057,88.06,3.4456,3.18,7.181,59.9831,329896.0
2013-03-31,85.8536605834961,93.3951187133789,85.40487670898438,93.27804565429688,78.94803619384766,1187929.05,8.167,0.82,76.3296,0.0352,0.4801,9.128,1.0964,93.496,90.7318,33.4678,93.496,86.0439,77.5687,95.61,4.0413,1.42,9.128,78.9078,331406.0
2013-04-30,93.31707000732422,94.7707290649414,90.79024505615234,92.0,77.86634826660156,1111966.9545454546,13.712,0.82,49.4208,0.0352,0.4801,9.128,1.0964,93.496,92.5062,33.4678,96.681,90.2369,79.8707,94.3,4.0413,1.42,8.051,44.8613,312099.0
2013-05-31,92.00975799560548,100.21463775634766,91.03414916992188,96.21463775634766,81.43348693847656,1071539.9545454546,10.859,0.82,48.6549,0.0352,0.4801,9.128,1.0964,93.496,98.1862,33.4678,95.982,94.5824,82.4957,98.62,4.0413,1.42,9.184,41.5613,549118.0
2013-06-30,96.5463409423828,98.2048797607422,91.9512176513672,96.41950988769533,82.0196304321289,957140.1,10.749,0.8281,51.6767,0.0504,3.6422,7.481,1.103,90.642,95.9409,33.3285,90.642,95.8348,84.6472,98.83,4.0703,1.55,7.481,52.6572,601153.0
2013-07-31,97.00487518310548,102.41950988769533,94.41950988769533,101.19024658203124,86.07784271240234,836311.7727272727,8.846,0.8281,63.7142,0.0504,3.6422,7.481,1.103,90.642,100.9794,33.3285,91.236,97.588,87.0884,103.72,4.0703,1.55,10.082,65.7931,275425.0
2013-08-31,101.46341705322266,101.46341705322266,94.58536529541016,95.00487518310548,80.81627655029297,915329.8636363636,2.255,0.8281,35.8622,0.0504,3.6422,7.481,1.103,90.642,95.6319,33.3285,90.999,97.5646,89.5697,97.38,4.0703,1.55,12.506,32.3408,201017.0
2013-09-30,96.0195083618164,100.4780502319336,94.37073516845705,97.58049011230467,83.4255142211914,683690.6,0.266,0.8587,48.3224,0.0665,6.8124,10.839,0.905,90.536,98.6737,28.1896,90.536,97.8231,91.8534,100.02,3.8527,0.46,10.839,45.2332,230006.0
2013-10-31,97.66829681396484,104.38048553466795,95.90243530273438,102.56585693359376,87.68769836425781,610294.1304347826,-0.834,0.8587,58.5352,0.0665,6.8124,10.839,0.905,90.536,103.0541,28.1896,89.729,98.7298,94.4581,105.13,3.8527,0.46,11.935,56.3675,204180.0
2013-11-30,102.98536682128906,107.44390106201172,102.0487823486328,105.94145965576172,90.57364654541016,775417.8,-0.275,0.8587,59.7375,0.0665,6.8124,10.839,0.905,90.536,106.1017,28.1896,90.439,102.1339,96.6363,108.59,3.8527,0.46,12.557,56.0909,168486.0
2013-12-31,106.10731506347656,108.23414611816406,102.38048553466795,107.7951202392578,92.63019561767578,793482.0952380953,-1.689,0.9141,64.3597,0.0492,6.0419,9.397,0.8951,90.59,106.4488,19.6741,90.59,104.9615,98.5892,110.49,4.2207,1.4,9.397,69.2061,168312.0
2014-01-31,107.71707153320312,109.96097564697266,103.73658752441406,105.48292541503906,90.64329528808594,866667.0952380953,-0.447,0.9141,42.9557,0.0492,6.0419,9.397,0.8951,90.59,106.4069,19.6741,90.303,106.3238,100.145,108.12,4.2207,1.4,7.879,39.1565,614737.0
2014-02-28,105.67804718017578,113.5219497680664,102.64390563964844,112.40975952148438,96.59561920166016,1131832.2105263157,4.074,0.9141,64.3291,0.0492,6.0419,9.397,0.8951,90.59,112.0206,19.6741,95.109,108.0454,101.6252,115.22,4.2207,1.4,8.799,66.5674,472773.0
2014-03-31,111.88292694091795,114.4000015258789,110.38048553466795,114.2243881225586,98.6171875,826345.4285714285,4.17,0.9003,63.0842,0.0689,3.5806,9.566,0.7322,89.428,112.3969,19.1957,89.428,110.208,103.2393,117.08,4.2519,1.48,9.566,66.8481,250016.0
2014-04-30,115.1219482421875,115.8731689453125,108.45853424072266,110.2731704711914,95.20587158203124,824510.2380952381,2.11,0.9003,46.0518,0.0689,3.5806,9.566,0.7322,89.428,110.4344,19.1957,89.824,111.9075,104.7939,113.03,4.2519,1.48,8.121,45.7605,361192.0
2014-05-31,110.17561340332033,115.63902282714844,108.36097717285156,114.82926940917967,99.13943481445312,816232.1904761905,1.142,0.9003,61.5853,0.0689,3.5806,9.566,0.7322,89.428,113.4138,19.1957,92.172,112.106,106.1969,117.7,4.2519,1.48,10.222,66.4735,211655.0
2014-06-30,114.80975341796876,117.71707153320312,114.1268310546875,115.41463470458984,100.10240173339844,742515.0952380953,2.093,0.9319,51.4156,0.0364,5.083,8.892,0.5045,90.804,115.6445,19.3174,90.804,113.7246,108.2608,118.3,4.2499,1.69,8.892,47.8252,288299.0
2014-07-31,115.90243530273438,117.4731674194336,113.11219787597656,113.40487670898438,98.35931396484376,588695.0454545454,-0.443,0.9319,36.5781,0.0364,5.083,8.892,0.5045,90.804,115.3802,19.3174,94.377,115.5136,110.2017,116.24,4.2499,1.69,10.508,30.5509,231192.0
2014-08-31,113.01463317871094,115.91219329833984,111.57073211669922,114.31219482421876,99.1462173461914,606502.4285714285,-3.604,0.9319,48.3955,0.0364,5.083,8.892,0.5045,90.804,114.4521,19.3174,90.727,115.1182,111.3441,117.17,4.2499,1.69,12.604,48.8962,327465.0
2014-09-30,114.43902587890624,114.9561004638672,109.41463470458984,111.03414916992188,96.75606536865234,968615.4761904762,-7.12,0.9071,41.7522,0.0314,4.8072,6.728,0.4877,90.837,110.9852,23.477,90.837,113.3087,112.0123,113.81,4.3208,1.56,6.728,42.8572,357459.0
2014-10-31,111.248779296875,127.03414916992188,110.2243881225586,125.56097412109376,109.41484832763672,2419561.8260869565,5.903,0.9071,70.1695,0.0314,4.8072,6.728,0.4877,90.837,122.4261,23.477,90.234,116.3392,113.6278,128.7,4.3208,1.56,5.123,74.9034,337716.0
2014-11-30,125.40487670898438,138.85853576660156,122.29268646240234,136.90731811523438,119.3021469116211,1211652.8421052631,3.745,0.9071,79.0564,0.0314,4.8072,6.728,0.4877,90.837,129.472,23.477,90.759,121.7298,115.5739,140.33,4.3208,1.56,6.261,83.249,228598.0
2014-12-31,136.61463928222656,139.0829315185547,130.73170471191406,135.76585388183594,118.81977081298828,1126512.5,11.166,0.7469,56.7797,0.0766,1.7866,7.413,0.5554,89.916,135.852,22.6668,89.916,130.0127,118.106,139.16,5.3089,1.22,7.413,54.0301,270091.0
2015-01-31,136.84878540039062,143.16098022460938,134.64390563964844,134.71218872070312,117.89766693115234,1296492.0,16.25,0.7469,41.9945,0.0766,1.7866,7.413,0.5554,89.916,138.149,22.6668,90.009,135.8144,120.7399,138.08,5.3089,1.22,6.91,34.3014,495491.0
