Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,39.470001220703125,48.83000183105469,39.18000030517578,46.0099983215332,33.51689529418945,12393009.090909092,46.01,4286376.0,9.788,0.6196,4.9376,0.0125,0.37,0.2638,-27.0425,-27.0425,61.3567,63.8002,13.6033,36.0499,41.8712,45.934,70.979,76.787,2.698,2.739
2013-06-30,47.099998474121094,49.56999969482422,44.31999969482422,44.689998626708984,32.5553092956543,11367340.0,44.69,5972090.0,8.9205,0.6408,5.1079,0.0145,0.33,0.1476,-8.8904,-8.8904,40.1994,45.2932,24.7161,37.4434,44.0924,45.776,70.721,70.721,3.023,3.023
2013-07-31,45.060001373291016,46.13999938964844,42.959999084472656,43.2400016784668,31.746944427490234,7816140.909090909,43.24,2458818.0,8.9205,0.6408,5.1079,0.0145,0.33,0.1476,-8.8904,-8.8904,35.0025,39.9444,13.1338,38.6434,45.557,44.14,70.42,70.721,3.291,3.023
2013-08-31,43.70000076293945,44.38999938964844,41.11000061035156,41.689998626708984,30.608938217163086,6171436.363636363,41.69,2393092.0,8.9205,0.6408,5.1079,0.0145,0.33,0.1476,-8.8904,-8.8904,39.3572,39.7756,5.3036,39.6788,43.7962,41.834,71.58,70.721,3.932,3.023
2013-09-30,42.0099983215332,47.59000015258789,41.31999969482422,46.279998779296875,33.97891616821289,7317455.0,46.28,4323962.0,19.2971,0.7009,5.174,0.0119,0.42,0.2918,8.8062,8.8062,61.8366,62.5286,4.5422,40.8995,43.701,46.562,71.127,71.127,3.735,3.735
2013-10-31,46.45000076293945,53.68000030517578,46.13999938964844,52.52000045776367,38.84817123413086,7407969.565217392,52.52,2354971.0,19.2971,0.7009,5.174,0.0119,0.42,0.2918,8.8062,8.8062,70.2103,69.59,10.1952,42.7131,46.2208,50.681,71.025,71.127,3.221,3.735
2013-11-30,52.630001068115234,53.61000061035156,51.0099983215332,51.380001068115234,38.004940032958984,7195215.0,51.38,1383268.0,19.2971,0.7009,5.174,0.0119,0.42,0.2918,8.8062,8.8062,43.3465,49.5666,10.0817,44.3241,49.907,52.159,72.046,71.127,4.333,3.735
2013-12-31,51.290000915527344,54.4900016784668,50.11000061035156,53.150001525878906,39.58091735839844,6245066.666666667,53.15,1365604.0,17.8128,0.7415,5.775,0.0121,0.44,0.0192,5.9652,5.9652,59.2999,58.8197,1.2944,45.8516,51.8626,53.075,71.927,71.927,4.29,4.29
2014-01-31,52.52000045776367,56.83000183105469,49.45000076293945,49.970001220703125,37.2127571105957,10756942.857142856,49.97,2094964.0,17.8128,0.7415,5.775,0.0121,0.44,0.0192,5.9652,5.9652,32.7168,37.1461,10.4501,47.151,52.4756,52.012,72.15,71.927,1.907,4.29
2014-02-28,50.130001068115234,54.959999084472656,47.52000045776367,53.77000045776367,40.042640686035156,8448115.789473685,53.77,2756245.0,17.8128,0.7415,5.775,0.0121,0.44,0.0192,5.9652,5.9652,56.9396,55.7029,12.7608,48.2785,52.8492,53.973,73.322,71.927,3.32,4.29
2014-03-31,53.16999816894531,57.4900016784668,50.15999984741211,51.95000076293945,38.6872673034668,8786395.238095239,51.95,1755040.0,19.8476,0.8596,5.5406,0.0186,0.57,-0.6468,-0.5221,-0.5221,38.8443,41.8992,9.0007,49.1,53.0106,52.615,72.957,72.957,2.329,2.329
2014-04-30,52.22999954223633,52.38999938964844,47.41999816894531,50.09000015258789,37.562828063964844,8398761.904761905,50.09,2127577.0,19.8476,0.8596,5.5406,0.0186,0.57,-0.6468,-0.5221,-0.5221,48.0341,46.184,-5.9488,49.5957,52.3056,50.2,73.077,72.957,2.907,2.329
2014-05-31,49.95000076293945,52.4900016784668,48.099998474121094,49.7400016784668,37.300357818603516,8269542.857142857,49.74,2119026.0,19.8476,0.8596,5.5406,0.0186,0.57,-0.6468,-0.5221,-0.5221,52.4496,49.002,-9.6594,50.2148,50.3048,48.996,74.023,72.957,3.696,2.329
2014-06-30,49.900001525878906,50.0,46.29999923706055,48.5099983215332,36.37797927856445,10499600.0,48.51,2996738.0,18.1022,0.9143,5.245,0.0139,0.2,-0.8013,-3.9279,-3.9279,51.9055,50.1523,-14.4198,50.8249,49.153,48.429,73.917,73.917,2.959,2.959
2014-07-31,48.5099983215332,51.34000015258789,47.34000015258789,50.619998931884766,38.24409866333008,6890218.181818182,50.62,2173272.0,18.1022,0.9143,5.245,0.0139,0.2,-0.8013,-3.9279,-3.9279,68.091,64.5851,-14.6001,51.089,48.5546,49.788,79.462,73.917,4.291,2.959
2014-08-31,50.790000915527344,50.970001220703125,48.5099983215332,50.650001525878906,38.26675796508789,4839723.80952381,50.65,1991406.0,18.1022,0.9143,5.245,0.0139,0.2,-0.8013,-3.9279,-3.9279,61.7014,59.578,-11.7997,50.9647,49.3238,50.344,74.313,73.917,8.017,2.959
2014-09-30,50.619998931884766,52.16999816894531,49.70000076293945,51.18000030517578,38.667179107666016,5290376.19047619,51.18,1911820.0,18.1928,0.9358,5.6034,0.0134,0.43,-0.9737,-3.5424,-3.5424,50.496,52.6314,-10.7682,50.8986,50.362,51.404,74.322,74.322,5.706,5.706
2014-10-31,51.0099983215332,59.029998779296875,47.54999923706055,58.189998626708984,44.274757385253906,8384886.956521739,58.19,3272267.0,18.1928,0.9358,5.6034,0.0134,0.43,-0.9737,-3.5424,-3.5424,81.0607,76.6328,-0.0538,50.7031,51.2668,53.954,74.27,74.322,3.205,5.706
2014-11-30,58.310001373291016,59.720001220703125,57.349998474121094,59.04999923706055,44.92909240722656,5692221.052631579,59.05,1075391.0,18.1928,0.9358,5.6034,0.0134,0.43,-0.9737,-3.5424,-3.5424,68.5338,69.0202,8.6446,51.3738,54.2286,58.66,75.402,74.322,6.22,5.706
2014-12-31,59.209999084472656,61.77000045776367,57.599998474121094,59.029998779296875,45.19346618652344,5917986.363636363,59.03,1410572.0,13.3574,0.9938,6.593,0.0154,0.01,-1.2741,-4.1207,-4.1207,45.4499,49.6996,18.3593,51.911,58.1934,59.846,75.258,75.258,4.734,4.734
2015-01-31,59.43000030517578,64.44000244140625,58.040000915527344,60.27000045776367,46.14281463623047,7127810.0,60.27,2382907.0,13.3574,0.9938,6.593,0.0154,0.01,-1.2741,-4.1207,-4.1207,38.1366,45.6412,20.7585,52.9359,60.0984,61.806,77.4,75.258,3.266,4.734
2015-02-28,60.709999084472656,61.61000061035156,58.650001525878906,60.91999816894531,46.64045715332031,5180026.315789473,60.92,1536867.0,13.3574,0.9938,6.593,0.0154,0.01,-1.2741,-4.1207,-4.1207,54.0518,53.0856,14.3597,53.8564,60.484,60.656,82.233,75.258,4.487,4.734
2015-03-31,61.119998931884766,69.19999694824219,61.040000915527344,64.5,49.381309509277344,7089290.909090909,64.5,2489093.0,14.5266,0.8682,6.915,0.0143,0.71,-1.4029,6.0352,6.0352,40.8176,47.5793,23.6487,55.7827,62.9954,66.304,75.517,75.517,3.389,3.389
2015-04-30,64.19999694824219,67.52999877929688,62.65999984741211,63.72999954223633,49.07329177856445,6297447.619047619,63.73,1795057.0,14.5266,0.8682,6.915,0.0143,0.71,-1.4029,6.0352,6.0352,37.1228,43.0639,14.4971,57.4756,64.6162,65.414,75.465,75.517,2.978,3.389
2015-05-31,64.27999877929688,69.86000061035156,63.15999984741211,64.5999984741211,49.74320602416992,6539750.0,64.6,5822105.0,14.5266,0.8682,6.915,0.0143,0.71,-1.4029,6.0352,6.0352,33.8788,40.2134,10.8665,59.2371,65.8032,67.983,76.737,75.517,2.87,3.389
2015-06-30,66.62999725341797,68.13999938964844,64.26000213623047,66.54000091552734,51.23703384399414,7427277.2727272725,66.54,2071413.0,11.757,0.9166,7.3346,0.0153,-0.08,-1.2606,7.0455,7.0455,49.9533,50.4566,8.5853,60.9753,66.4218,66.781,76.578,76.578,3.495,3.495
