Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,105.61000061035156,107.83999633789062,103.0,103.87999725341795,67.63762664794922,982200.0,-11.997,0.974,37.894,0.0548,6.1082,7.126,12.2411,109.878,105.615,5.8147,116.739,106.4264,107.3922,103.88,3.1318,0.43,5.923,33.4152,629597.0
2013-03-31,103.56999969482422,105.9000015258789,99.8499984741211,101.05999755859376,66.22821807861328,1086885.0,-14.696,0.9638,36.634,0.0443,8.8622,4.324,11.1967,117.436,101.925,5.7697,117.436,105.0884,107.3326,101.06,3.0305,0.32,4.324,35.3852,499614.0
2013-04-30,100.86000061035156,110.9000015258789,100.0,109.43000030517578,71.71339416503906,1240186.3636363635,-9.649,0.9638,60.9858,0.0443,8.8622,4.324,11.1967,117.436,108.823,5.7697,119.952,105.5084,107.549,109.43,3.0305,0.32,5.462,62.2064,427815.0
2013-05-31,108.87999725341795,115.8499984741211,106.5500030517578,106.58000183105467,69.84566497802734,1173131.8181818181,-8.456,0.9638,35.5405,0.0443,8.8622,4.324,11.1967,117.436,111.439,5.7697,106.108,108.2364,107.5555,106.58,3.0305,0.32,4.631,26.4074,645380.0
2013-06-30,106.87999725341795,113.19000244140624,99.58999633789062,105.47000122070312,69.55867767333984,1262850.0,-10.28,0.9643,45.6959,0.1132,8.2071,2.208,15.0869,106.042,105.361,11.799,106.042,108.9716,107.0715,105.47,2.9502,2.95,2.208,46.7729,535209.0
2013-07-31,106.2699966430664,111.81999969482422,103.1500015258789,106.9499969482422,70.53473663330078,820786.3636363636,-10.542,0.9643,44.5039,0.1132,8.2071,2.208,15.0869,106.042,109.494,11.799,106.375,108.3002,106.6881,106.95,2.9502,2.95,3.15,39.2391,405240.0
2013-08-31,106.91999816894533,107.45999908447266,98.20999908447266,102.5,67.59990692138672,890727.2727272727,-11.604,0.9643,45.4663,0.1132,8.2071,2.208,15.0869,106.042,102.036,11.799,105.333,105.3494,106.189,102.5,2.9502,2.95,3.587,47.0908,403949.0
2013-09-30,103.0999984741211,112.93000030517578,100.79000091552734,106.9000015258789,70.93546295166016,910320.0,-4.753,0.9987,52.686,0.0843,22.4567,3.585,13.3114,104.942,108.074,13.5506,104.942,105.2236,106.5665,106.9,2.971,1.0,3.585,51.1381,482241.0
2013-10-31,107.05999755859376,109.83000183105467,102.87999725341795,103.5,68.67932891845703,926352.1739130435,-9.946,0.9987,40.212,0.0843,22.4567,3.585,13.3114,104.942,107.45,13.5506,104.778,106.1408,106.6381,103.5,2.971,1.0,3.037,35.1449,419585.0
2013-11-30,103.95999908447266,104.98999786376952,98.70999908447266,99.48999786376952,66.01844024658203,751995.0,-15.141,0.9987,36.9575,0.0843,22.4567,3.585,13.3114,104.942,101.825,13.5506,106.632,104.9966,106.1493,99.49,2.971,1.0,4.223,33.6758,205637.0
