Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,37.152000427246094,39.47600173950195,36.284000396728516,38.19200134277344,28.567033767700195,4356204.545454546,190.96,220786.0,35.3857,1.1657,2.013,0.1297,6.53,-0.247,-12.5098,-12.5098,52.1762,52.038,-20.8895,41.0676,37.5758,38.0716,107.093,112.543,2.201,1.224
2013-06-30,38.31800079345703,39.25,34.29999923706055,34.29999923706055,25.65587615966797,5159150.0,171.5,605136.0,35.5811,1.1804,2.0423,0.1343,8.43,0.6141,-1.1927,-1.1927,25.1218,30.5124,-21.0618,40.5748,37.4305,36.1064,106.936,106.936,1.339,1.339
2013-07-31,34.64400100708008,40.6879997253418,33.86600112915039,39.20199966430664,29.3225040435791,5946318.181818182,196.01,369912.0,35.5811,1.1804,2.0423,0.1343,8.43,0.6141,-1.1927,-1.1927,66.123,62.6902,-26.1376,39.7721,36.9961,37.3376,105.965,106.936,1.137,1.339
2013-08-31,39.683998107910156,40.15599822998047,37.02199935913086,38.06800079345703,28.53435516357422,4451840.909090909,190.34,222561.0,35.5811,1.1804,2.0423,0.1343,8.43,0.6141,-1.1927,-1.1927,48.7567,50.7742,-18.6783,39.4478,37.1201,38.2738,106.185,106.936,2.11,1.339
2013-09-30,38.492000579833984,43.29800033569336,37.88800048828125,42.16600036621094,31.606054306030273,4285775.0,210.83,183749.0,30.4737,1.2763,2.3653,0.2184,4.09,0.4387,-19.3026,-19.3026,69.0958,67.7962,-5.9304,39.3214,38.9558,41.7118,103.577,103.577,1.81,1.81
2013-10-31,42.0,44.125999450683594,40.608001708984375,43.119998931884766,32.321136474609375,3908826.086956522,215.6,143767.0,30.4737,1.2763,2.3653,0.2184,4.09,0.4387,-19.3026,-19.3026,58.2831,58.5857,5.7653,39.4097,41.0194,42.916,103.177,103.577,1.733,1.81
2013-11-30,43.0,44.29600143432617,41.45600128173828,43.47600173950195,32.73796081542969,3648025.0,217.38,89166.0,30.4737,1.2763,2.3653,0.2184,4.09,0.4387,-19.3026,-19.3026,57.7225,56.0718,4.4101,39.2211,42.6242,43.1164,105.328,103.577,2.4,1.81
2013-12-31,43.571998596191406,47.880001068115234,42.7400016784668,46.608001708984375,35.096397399902344,4031309.523809524,233.04,65618.0,26.6817,1.1696,2.6312,0.1863,5.73,0.9458,-10.4698,-10.4698,65.9314,63.5521,12.6742,39.7472,44.219,46.1058,104.542,104.542,2.315,2.315
2014-01-31,46.60599899291992,49.81999969482422,45.119998931884766,46.172000885009766,34.768089294433594,4128357.1428571427,230.86,233242.0,26.6817,1.1696,2.6312,0.1863,5.73,0.9458,-10.4698,-10.4698,38.7863,43.9676,18.124,40.7877,46.1164,47.3362,105.078,104.542,1.6,2.315
2014-02-28,46.268001556396484,50.2599983215332,44.02399826049805,50.18000030517578,37.95040512084961,6000894.736842105,250.9,174227.0,26.6817,1.1696,2.6312,0.1863,5.73,0.9458,-10.4698,-10.4698,75.6404,68.4867,13.1587,41.7196,47.1204,48.1848,105.447,104.542,1.476,2.315
