Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,115.55999755859376,122.54000091552734,110.87000274658205,115.87000274658205,86.19175720214844,1754031.5789473683,8.637,1.5318,52.309,0.0489,-12.782,2.507,-0.549,90.056,115.323,27.2013,93.117,113.7082,100.5152,115.87,3.1188,1.96,1.864,51.4409,357540.0
2013-03-31,114.95999908447266,119.7699966430664,111.58000183105467,115.80999755859376,86.14712524414062,1608115.0,11.83,1.531,51.2669,0.043,-12.2987,1.84,-0.4518,97.247,114.77,23.2452,97.247,116.1542,102.2511,115.81,3.3037,1.5,1.84,53.007,498306.0
2013-04-30,115.80999755859376,118.69000244140624,105.86000061035156,106.38999938964844,79.13988494873047,1943040.9090909092,11.132,1.531,39.7599,0.043,-12.2987,1.84,-0.4518,97.247,108.933,23.2452,98.384,113.828,104.2499,106.39,3.3037,1.5,1.457,37.8378,979672.0
2013-05-31,105.25,122.31999969482422,103.41000366210938,119.62999725341795,89.36470794677734,1865618.1818181819,-0.664,1.531,63.526,0.043,-12.2987,1.84,-0.4518,97.247,117.647,23.2452,94.781,113.2042,106.7082,119.63,3.3037,1.5,1.945,69.4401,683988.0
2013-06-30,119.75,120.70999908447266,105.5500030517578,108.45999908447266,81.02059936523438,1895750.0,-4.109,1.4838,37.3261,0.0517,1.6397,1.591,-0.358,94.305,111.028,22.1285,94.305,113.6428,108.1883,108.46,3.0697,2.2,1.591,33.9048,1260609.0
2013-07-31,109.25,123.9000015258789,107.51000213623048,121.19000244140624,90.530029296875,1640863.6363636365,-10.26,1.4838,68.0313,0.0517,1.6397,1.591,-0.358,94.305,117.54,22.1285,95.607,115.2026,110.4272,121.19,3.0697,2.2,1.942,74.9511,650182.0
2013-08-31,122.5999984741211,128.3000030517578,120.70999908447266,123.1999969482422,92.49838256835938,1417527.2727272727,-3.573,1.4838,52.8364,0.0517,1.6397,1.591,-0.358,94.305,123.86,22.1285,95.116,118.2378,113.6653,123.2,3.0697,2.2,3.064,48.7221,359880.0
2013-09-30,125.0,136.5,123.45999908447266,132.8699951171875,99.75859832763672,1304330.0,5.063,1.4503,60.2609,0.0704,3.594,3.274,-0.4177,94.655,133.734,20.9224,94.655,126.1298,116.898,132.87,3.5058,1.91,3.274,55.3411,312332.0
2013-10-31,132.00999450683594,139.1699981689453,122.5199966430664,127.0199966430664,95.36643981933594,1687665.2173913044,10.29,1.4503,39.1163,0.0704,3.594,3.274,-0.4177,94.655,133.579,20.9224,95.361,131.2216,119.5728,127.02,3.5058,1.91,1.683,34.1953,550393.0
2013-11-30,127.41999816894533,133.86000061035156,127.0,132.36000061035156,99.84637451171876,1241080.0,4.048,1.4503,53.5268,0.0704,3.594,3.274,-0.4177,94.655,130.977,20.9224,94.98,132.1976,120.9519,132.36,3.5058,1.91,4.141,56.9949,140446.0
2013-12-31,132.5500030517578,141.38999938964844,127.80999755859376,140.97000122070312,106.34133911132812,1187761.9047619049,6.465,1.4908,72.261,0.0759,6.8966,3.196,-0.5309,91.242,138.287,21.0161,91.242,132.7742,122.8615,140.97,3.517,2.33,3.196,80.9627,236614.0
2014-01-31,140.42999267578125,141.6699981689453,124.02999877929688,126.9800033569336,95.78792572021484,1510466.6666666667,6.105,1.4908,31.1161,0.0759,6.8966,3.196,-0.5309,91.242,130.605,21.0161,91.333,133.907,125.0565,126.98,3.517,2.33,1.366,26.0009,383610.0
2014-02-28,127.12999725341795,148.60000610351562,122.63999938964844,145.9199981689453,110.55824279785156,2118563.1578947366,1.398,1.4908,67.3134,0.0759,6.8966,3.196,-0.5309,91.242,143.854,21.0161,89.269,136.775,127.7106,145.92,3.517,2.33,1.852,71.2429,334209.0
2014-03-31,144.1699981689453,150.33999633789062,139.16000366210938,148.99000549316406,112.88431549072266,1262595.238095238,-1.261,1.441,66.3071,0.0875,12.3406,2.071,-0.3191,92.015,144.31,21.9622,92.015,139.1192,130.4973,148.99,3.7223,1.83,2.071,71.9121,429969.0
