Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,20.530000686645508,21.530000686645508,20.31999969482422,21.43000030517578,14.34313678741455,4053989.4736842103,-6.2865,0.7294,67.325,0.0143,-0.3263,1.483,4.7726,75.678,20.75,9.7853,84.509,20.1822,20.4752,21.43,1.9131,0.31,0.711,70.4565,1127485.0
2013-03-31,21.479999542236328,24.049999237060547,21.270000457763672,23.959999084472656,16.036476135253906,4110150.0,-0.2251,0.7577,78.13,0.0127,14.5873,1.583,4.4033,83.623,23.427,9.6338,83.623,21.3774,20.7313,23.96,2.3457,0.34,1.583,80.5627,927173.0
2013-04-30,23.88999938964844,24.700000762939453,23.420000076293945,24.68000030517578,16.518367767333984,2641595.4545454546,2.6502,0.7577,67.9337,0.0127,14.5873,1.583,4.4033,83.623,24.163,9.6338,86.574,22.9422,21.1218,24.68,2.3457,0.34,2.731,70.4047,762093.0
2013-05-31,24.68000030517578,24.729999542236328,22.809999465942383,23.18000030517578,15.648938179016112,2924481.8181818184,2.1584,0.7577,37.7726,0.0127,14.5873,1.583,4.4033,83.623,23.695,9.6338,78.749,23.9576,21.4559,23.18,2.3457,0.34,3.36,32.1491,1055923.0
2013-06-30,23.190000534057617,23.899999618530273,22.219999313354492,23.489999771118164,15.858227729797363,2937740.0,3.7226,0.7592,52.4938,0.0142,24.1967,4.747,4.534,78.776,23.152,4.482,78.776,23.7192,21.7213,23.49,2.4019,-0.23,4.747,56.2095,1320454.0
2013-07-31,23.780000686645508,24.989999771118164,23.079999923706055,24.81999969482422,16.756118774414062,1948195.4545454546,7.6908,0.7592,62.37,0.0142,24.1967,4.747,4.534,78.776,24.704,4.482,78.822,23.7362,22.0648,24.82,2.4019,-0.23,6.253,63.4766,876978.0
2013-08-31,25.3799991607666,25.649999618530273,22.729999542236328,22.93000030517578,15.614673614501951,3600136.3636363638,2.9299,0.7592,35.789,0.0142,24.1967,4.747,4.534,78.776,23.063,4.482,79.977,23.8906,22.3453,22.93,2.4019,-0.23,5.135,33.2994,829243.0
2013-09-30,23.09000015258789,24.6299991607666,22.489999771118164,23.969999313354492,16.322885513305664,3172600.0,-5.4345,0.7941,56.7575,0.0114,-3.8123,3.646,4.8698,79.458,24.02,7.7953,79.458,23.7636,22.7279,23.97,2.4112,0.35,3.646,58.5056,832981.0
2013-10-31,24.020000457763672,25.040000915527344,23.75,24.600000381469727,16.751895904541016,2505443.4782608696,-7.0666,0.7941,55.5946,0.0114,-3.8123,3.646,4.8698,79.458,24.68,7.7953,79.727,23.836,23.2772,24.6,2.4112,0.35,3.885,53.5547,879826.0
2013-11-30,24.63999938964844,25.299999237060547,22.940000534057617,23.43000030517578,16.088912963867188,5779410.0,-5.0188,0.7941,34.3529,0.0114,-3.8123,3.646,4.8698,79.458,24.39,7.7953,79.912,24.4192,23.684,23.43,2.4112,0.35,1.701,28.0295,549437.0
