Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,57.779998779296875,63.630001068115234,57.04999923706055,60.93000030517578,49.91554641723633,3766822.727272727,60.93,1618340.0,8.0834,1.2599,0.7911,0.0163,1.79,2.8867,22.9515,22.9515,53.1345,57.2184,-11.9236,57.3093,57.3218,61.543,97.378,100.681,1.916,2.311
2013-06-30,61.18000030517578,63.119998931884766,59.66999816894531,62.810001373291016,51.4556999206543,3267595.0,62.81,1196726.0,10.6668,1.2185,0.913,0.0209,1.88,2.8673,7.4956,7.4956,60.94,58.8438,-6.616,57.8359,60.2084,61.704,97.526,97.526,2.542,2.542
2013-07-31,63.16999816894531,70.0,63.09000015258789,69.0199966430664,56.54310989379883,3044518.1818181816,69.02,1679021.0,10.6668,1.2185,0.913,0.0209,1.88,2.8673,7.4956,7.4956,71.9604,71.0125,0.4462,58.8311,63.974,68.723,97.727,97.526,2.694,2.542
2013-08-31,69.4800033569336,69.79000091552734,63.650001525878906,64.55000305175781,53.11201858520508,2222481.8181818184,64.55,791401.0,10.6668,1.2185,0.913,0.0209,1.88,2.8673,7.4956,7.4956,30.9639,36.1005,12.4344,59.6968,66.4128,65.529,97.432,97.526,4.265,2.542
2013-09-30,65.30999755859375,69.83999633789062,63.9900016784668,68.73999786376953,56.5595588684082,2441810.0,68.74,1079473.0,10.1385,1.2867,0.9838,0.0204,1.87,2.7393,-4.7105,-4.7105,58.5622,58.4241,14.7451,60.7179,67.6672,68.945,96.355,96.355,2.901,2.901
2013-10-31,69.04000091552734,72.98999786376953,67.36000061035156,68.66999816894531,56.50197982788086,3412308.695652174,68.67,1177662.0,10.1385,1.2867,0.9838,0.0204,1.87,2.7393,-4.7105,-4.7105,32.8778,41.3893,15.4965,61.9217,68.6222,70.561,98.762,96.355,2.105,2.901
2013-11-30,68.79000091552734,72.18000030517578,68.62999725341797,71.62999725341797,59.191307067871094,2702305.0,71.63,560440.0,10.1385,1.2867,0.9838,0.0204,1.87,2.7393,-4.7105,-4.7105,68.2453,62.0102,6.4889,63.244,69.994,70.144,98.023,96.355,3.151,2.901
2013-12-31,72.6500015258789,76.70999908447266,71.0199966430664,76.61000061035156,63.3065071105957,2610719.0476190476,76.61,645388.0,10.0914,1.2729,1.0832,0.0229,1.47,10.8778,-4.0412,-4.0412,82.3371,76.1141,5.5782,65.3554,71.472,74.809,96.352,96.352,3.721,3.721
2014-01-31,76.61000061035156,78.48999786376953,69.72000122070312,70.61000061035156,58.348419189453125,3647752.380952381,70.61,800529.0,10.0914,1.2729,1.0832,0.0229,1.47,10.8778,-4.0412,-4.0412,34.6486,37.3433,1.2177,67.4491,73.2914,71.202,97.533,96.352,1.432,3.721
2014-02-28,70.5199966430664,74.06999969482422,67.86000061035156,73.43000030517578,60.94499969482422,2686715.789473684,73.43,883859.0,10.0914,1.2729,1.0832,0.0229,1.47,10.8778,-4.0412,-4.0412,66.1864,59.0881,-2.2551,68.7275,73.229,71.773,101.094,96.352,2.02,3.721
2014-03-31,72.69000244140625,77.55000305175781,71.97000122070312,77.16000366210938,64.04083251953125,2676152.380952381,77.16,787498.0,10.0885,1.259,1.0535,0.0209,1.99,6.0628,-4.2938,-4.2938,72.8261,67.1258,-0.6918,70.1016,72.5538,75.095,94.806,94.806,2.226,2.226
2014-04-30,77.33000183105469,77.91000366210938,72.62999725341797,73.9000015258789,61.33509826660156,3594147.619047619,73.9,1052082.0,10.0885,1.259,1.0535,0.0209,1.99,6.0628,-4.2938,-4.2938,43.1618,45.4029,-1.4897,71.3267,74.251,74.357,95.25,94.806,1.572,2.226
2014-05-31,73.9000015258789,79.23999786376953,73.38999938964844,78.88999938964844,65.73471069335938,2848552.380952381,78.89,719097.0,10.0885,1.259,1.0535,0.0209,1.99,6.0628,-4.2938,-4.2938,72.2595,66.5791,3.4027,72.1733,75.7996,77.177,94.844,94.806,2.667,2.226
2014-06-30,78.91999816894531,83.88999938964844,78.11000061035156,82.5999984741211,68.82604217529297,3246019.0476190476,82.6,925689.0,10.2631,1.1217,1.1115,0.0171,2.07,10.2637,-3.7736,-3.7736,61.9431,64.0165,2.5528,73.7755,78.2362,82.435,94.778,94.778,2.715,2.715
2014-07-31,83.12000274658203,85.38999938964844,79.54000091552734,79.54000091552734,66.27633666992188,3096850.0,79.54,742430.0,10.2631,1.1217,1.1115,0.0171,2.07,10.2637,-3.7736,-3.7736,26.3749,34.7946,3.4283,75.2743,81.5066,81.619,103.748,94.778,1.644,2.715
2014-08-31,79.04000091552734,82.66000366210938,77.69999694824219,82.05999755859375,68.6375503540039,2425371.4285714286,82.06,526300.0,10.2631,1.1217,1.1115,0.0171,2.07,10.2637,-3.7736,-3.7736,62.733,57.9506,4.5161,76.3143,81.7532,81.428,95.724,94.778,3.139,2.715
2014-09-30,82.33999633789062,84.66000366210938,80.66000366210938,81.62000274658203,68.26951599121094,2802442.8571428573,81.62,1123510.0,10.0767,1.1351,1.0734,0.0177,1.89,14.9091,-0.9854,-0.9854,45.6058,48.0452,2.6796,77.4816,81.2578,82.445,95.758,95.758,1.78,1.78
2014-10-31,81.75,83.0999984741211,75.08000183105469,82.7699966430664,69.2314224243164,3566456.5217391304,82.77,864818.0,10.0767,1.1351,1.0734,0.0177,1.89,14.9091,-0.9854,-0.9854,68.0006,60.8722,3.1007,77.9837,81.1546,79.623,95.964,95.758,1.354,1.78
2014-11-30,83.0,83.69000244140625,80.22000122070312,83.19999694824219,69.84786224365234,2414052.6315789474,83.2,410620.0,10.0767,1.1351,1.0734,0.0177,1.89,14.9091,-0.9854,-0.9854,67.3538,61.2775,-1.1039,79.0417,81.1456,81.784,95.288,95.758,2.424,1.78
