Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,54.060001373291016,55.47999954223633,53.220001220703125,54.08000183105469,46.01548385620117,2097740.909090909,54.08,818984.0,21.1236,0.7237,5.0473,0.0145,0.2,0.0369,2.254,2.254,43.7096,47.9875,13.3619,45.2404,53.7878,54.501,98.266,99.148,2.001,1.981
2013-06-30,54.0099983215332,56.38999938964844,52.380001068115234,55.83000183105469,47.504520416259766,2886870.0,55.83,1572964.0,20.4259,0.701,5.3311,0.0139,0.73,-0.1254,10.811,10.811,63.2909,59.7437,10.6962,46.8663,54.5266,54.89,97.125,97.125,2.37,2.37
2013-07-31,56.11000061035156,59.29999923706055,54.400001525878906,58.27000045776367,49.58066177368164,1984509.0909090908,58.27,487419.0,20.4259,0.701,5.3311,0.0139,0.73,-0.1254,10.811,10.811,58.178,59.2075,13.6282,48.916,55.6676,58.148,97.0,97.125,2.644,2.37
2013-08-31,58.38999938964844,59.75,56.2400016784668,56.91999816894531,48.60786819458008,1515440.9090909092,56.92,331532.0,20.4259,0.701,5.3311,0.0139,0.73,-0.1254,10.811,10.811,40.4941,44.3708,11.9994,50.861,57.2582,57.159,96.469,97.125,3.706,2.37
2013-09-30,57.459999084472656,62.439998626708984,57.209999084472656,61.099998474121094,52.177467346191406,1114255.0,61.1,393161.0,18.1673,0.7576,6.0818,0.0186,0.22,0.2101,28.3491,28.3491,59.8601,61.9249,11.7061,52.7302,58.8702,61.399,94.674,94.674,5.488,5.488
2013-10-31,61.18000030517578,65.9800033569336,60.779998779296875,65.33000183105469,55.789772033691406,1356300.0,65.33,451609.0,18.1673,0.7576,6.0818,0.0186,0.22,0.2101,28.3491,28.3491,67.1392,66.8767,7.0589,55.0053,61.324,64.75,94.222,94.674,4.298,5.488
2013-11-30,65.55000305175781,71.16000366210938,65.16000366210938,70.52999877929688,60.43777084350586,1424440.0,70.53,136453.0,18.1673,0.7576,6.0818,0.0186,0.22,0.2101,28.3491,28.3491,79.5385,77.4924,16.1484,57.2744,65.2724,69.873,93.815,94.674,5.444,5.488
2013-12-31,70.79000091552734,71.37999725341797,67.73999786376953,70.30999755859375,60.249244689941406,1582633.3333333333,70.31,206935.0,13.3687,0.6622,7.1953,0.0186,0.18,56.2187,38.5405,38.5405,62.3617,61.1085,14.1464,59.5798,68.4392,69.878,93.53,93.53,4.314,4.314
2014-01-31,70.11000061035156,71.91999816894531,66.12999725341797,67.22000122070312,57.60139846801758,1862885.7142857143,67.22,963290.0,13.3687,0.6622,7.1953,0.0186,0.18,56.2187,38.5405,38.5405,31.1544,34.6952,10.8188,61.4154,69.7022,68.5,92.293,93.53,3.06,4.314
2014-02-28,67.12999725341797,69.22000122070312,64.27999877929688,67.8499984741211,58.343658447265625,1802378.9473684211,67.85,473447.0,13.3687,0.6622,7.1953,0.0186,0.18,56.2187,38.5405,38.5405,47.5393,47.8892,6.9926,62.6052,68.7828,68.282,104.085,93.53,4.327,4.314
