Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,26.53499984741211,31.309999465942383,26.18000030517578,30.98500061035156,23.737730026245117,4422610.52631579,23.3817,1.14,71.7408,0.0254,38.0017,2.624,1.6198,102.995,28.7975,6.2192,111.056,26.1956,22.2904,61.97,4.9063,0.19,1.182,73.3115,802989.0
2013-03-31,30.899999618530273,34.4900016784668,30.795000076293945,33.80500030517578,25.89814186096191,4337950.0,39.3828,1.1659,67.9008,0.031,37.1685,2.342,1.5096,108.583,33.845,7.3554,108.583,29.5767,23.9023,67.61,6.6981,0.2,2.342,65.0454,356036.0
2013-04-30,33.48500061035156,35.69499969482422,31.6299991607666,34.025001525878906,26.06668281555176,4978400.0,36.6781,1.1659,56.3839,0.031,37.1685,2.342,1.5096,108.583,33.233,7.3554,112.474,32.5963,25.5178,68.05,6.6981,0.2,1.36,57.4018,688486.0
2013-05-31,33.78499984741211,37.1150016784668,32.95500183105469,35.18000030517578,26.959619522094727,3698763.6363636362,22.055,1.1659,53.6205,0.031,37.1685,2.342,1.5096,108.583,35.7355,7.3554,103.104,34.0015,27.07,70.36,6.6981,0.2,1.677,50.6175,413635.0
2013-06-30,35.25,36.474998474121094,32.84000015258789,35.5099983215332,27.21250343322754,3495160.0,27.0978,1.1581,52.824,0.0332,69.2709,2.243,1.2865,102.299,35.245,9.4809,102.299,34.704,28.507,71.02,6.5342,0.42,2.243,53.2295,649036.0
2013-07-31,35.84000015258789,39.03499984741211,34.32500076293945,37.90999984741211,29.05170631408691,3999654.5454545454,27.2503,1.1581,62.112,0.0332,69.2709,2.243,1.2865,102.299,37.2935,9.4809,102.369,35.7983,30.043,75.82,6.5342,0.42,2.458,63.4038,534529.0
2013-08-31,38.439998626708984,39.970001220703125,36.4900016784668,39.130001068115234,30.00212860107422,2950472.727272727,21.9061,1.1581,61.5242,0.0332,69.2709,2.243,1.2865,102.299,38.501,9.4809,102.239,36.9967,31.7149,39.13,6.5342,0.42,3.39,63.0227,844927.0
2013-09-30,39.77000045776367,40.34000015258789,35.349998474121094,37.31999969482422,28.61435317993164,5650080.0,5.4712,1.1272,46.7795,0.0127,46.8131,1.956,1.1768,101.83,37.347,10.9593,101.83,38.0101,33.0994,37.32,6.7554,0.17,1.956,46.9296,1073910.0
2013-10-31,37.31999969482422,37.599998474121094,34.40999984741211,35.31999969482422,27.080894470214844,5244430.434782608,-1.157,1.1272,42.9763,0.0127,46.8131,1.956,1.1768,101.83,35.89,10.9593,102.907,37.269,34.4305,35.32,6.7554,0.17,1.717,41.4417,1085137.0
2013-11-30,35.2400016784668,35.369998931884766,31.790000915527344,34.45000076293945,26.428892135620117,5710560.0,-9.7312,1.1272,48.5405,0.0127,46.8131,1.956,1.1768,101.83,34.139,10.9593,102.118,35.3984,35.174,34.45,6.7554,0.17,1.511,51.526,596643.0
2013-12-31,34.56999969482422,39.349998474121094,34.0,38.7599983215332,29.73537254333496,5001042.857142857,-6.7839,0.864,67.1157,0.0185,31.7899,1.771,1.0967,98.952,38.124,12.9045,98.952,35.536,35.7854,38.76,7.4186,0.19,1.771,71.3425,758019.0
2014-01-31,38.56999969482422,40.939998626708984,36.380001068115234,39.97999954223633,30.6865234375,5208942.857142857,-2.745,0.864,59.7372,0.0185,31.7899,1.771,1.0967,98.952,39.549,12.9045,98.838,37.2102,36.3175,39.98,7.4186,0.19,1.77,59.8626,1106623.0
2014-02-28,40.54999923706055,41.779998779296875,34.70000076293945,35.0,26.864137649536133,8964542.105263159,-7.7707,0.864,32.3924,0.0185,31.7899,1.771,1.0967,98.952,37.087,12.9045,103.173,38.4106,36.7691,35.0,7.4186,0.19,0.776,24.8937,1774432.0
2014-03-31,34.880001068115234,35.95000076293945,31.86000061035156,33.880001068115234,26.004486083984375,7617785.714285715,-18.7373,0.9078,43.2742,0.0128,36.5721,1.832,1.1212,97.318,33.183,15.6639,97.318,36.7292,36.6181,33.88,6.2314,0.26,1.832,49.9316,1345086.0
2014-04-30,34.08000183105469,39.33000183105469,32.16999816894531,39.279998779296875,30.149240493774418,8621390.476190476,-9.33,0.9078,74.9924,0.0128,36.5721,1.832,1.1212,97.318,36.928,15.6639,97.611,34.957,36.6128,39.28,6.2314,0.26,1.749,83.6801,1601842.0
2014-05-31,39.2599983215332,39.459999084472656,35.68000030517578,36.2400016784668,27.830856323242188,5733076.19047619,3.1652,0.9078,47.1829,0.0128,36.5721,1.832,1.1212,97.318,36.325,15.6639,99.484,35.7298,36.5801,36.24,6.2314,0.26,3.787,44.9122,1668694.0
2014-06-30,36.209999084472656,36.4900016784668,33.599998474121094,34.13999938964844,26.21814727783203,5009961.904761905,-12.2028,0.7846,38.1518,0.0133,18.5703,2.988,1.0249,100.253,34.506,15.9246,100.253,36.3206,36.2179,34.14,5.9312,0.28,2.988,36.5989,1194944.0
2014-07-31,34.150001525878906,35.40999984741211,32.27000045776367,32.95000076293945,25.304279327392575,5516277.2727272725,-19.6755,0.7846,40.924,0.0133,18.5703,2.988,1.0249,100.253,33.119,15.9246,103.549,34.6844,35.8911,32.95,5.9312,0.28,3.285,40.678,1159751.0
2014-08-31,32.86000061035156,34.779998779296875,32.52000045776367,33.540000915527344,25.773014068603516,4089347.619047619,-18.8863,0.7846,51.104,0.0133,18.5703,2.988,1.0249,100.253,33.262,15.9246,99.608,33.712,35.6878,33.54,5.9312,0.28,4.3,53.9271,838230.0
2014-09-30,33.90999984741211,34.220001220703125,30.75,32.689998626708984,25.11985206604004,5524333.333333333,-8.927,0.7213,47.5605,0.0132,17.4755,2.989,1.084,99.654,32.541,17.2169,99.654,33.1998,35.5189,32.69,5.7644,0.24,2.989,48.8535,1233305.0
2014-10-31,32.63999938964844,32.97999954223633,27.75,31.100000381469727,23.898054122924805,7291152.173913044,-17.7804,0.7213,49.2468,0.0132,17.4755,2.989,1.084,99.654,31.073,17.2169,104.098,32.0418,34.709,31.1,5.7644,0.24,2.78,50.8281,1492647.0
