Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,40.535491943359375,41.76546859741211,40.233036041259766,41.40252304077149,39.289588928222656,3835364.5789473685,5.9972,1.0911,59.9077,0.0229,5.4809,4.001,1.073,97.414,41.0536,13.3191,98.593,39.8771,36.6594,61.6,2.0362,0.91,3.146,59.3188,900441.0
2013-03-31,41.16728210449219,42.27627944946289,40.811058044433594,41.77219009399414,39.656646728515625,3578927.75,5.1737,1.0836,56.8886,0.0164,2.9767,2.604,0.6813,98.127,41.4358,13.1781,98.127,41.0826,37.3182,62.15,2.1797,1.0,2.604,57.8086,856886.0
2013-04-30,41.577274322509766,41.75202560424805,38.72077178955078,40.95892333984375,38.88458251953125,4677588.2272727275,1.4472,1.0836,53.0332,0.0164,2.9767,2.604,0.6813,98.127,40.0721,13.1781,99.553,41.0423,37.9878,60.94,2.1797,1.0,1.731,56.7488,1313364.0
2013-05-31,40.7774543762207,43.27773666381836,40.394344329833984,41.55038833618164,39.446083068847656,4050987.8181818184,0.2443,1.0836,49.2116,0.0164,2.9767,2.604,0.6813,98.127,42.158,13.1781,98.656,41.1741,38.7311,61.82,2.1797,1.0,2.163,45.1284,1021267.0
2013-06-30,41.577274322509766,43.55330276489258,40.09189224243164,42.545127868652344,40.40664291381836,4793772.35,-0.0871,1.0774,55.349,0.0168,4.0418,2.18,0.5551,98.24,42.326,12.891,98.24,41.539,39.3236,63.3,2.1604,0.89,2.18,56.3575,1774538.0
2013-07-31,42.840858459472656,46.389644622802734,42.45103073120117,45.2604866027832,42.98551559448242,4534262.636363637,-0.5685,1.0774,57.7477,0.0168,4.0418,2.18,0.5551,98.24,45.4036,12.891,97.725,43.2779,40.1741,67.34,2.1604,0.89,2.681,54.6763,1059650.0
2013-08-31,45.58310317993164,45.831787109375,43.53986358642578,44.0372314453125,41.82374954223633,2892216.909090909,-0.84,1.0774,42.1822,0.0168,4.0418,2.18,0.5551,98.24,44.504,12.891,97.313,44.5604,41.1725,65.52,2.1604,0.89,3.781,37.8145,589930.0
2013-09-30,44.44722366333008,47.68011474609375,44.09772109985352,46.59128189086914,44.265472412109375,3646572.1,2.8319,1.039,56.2437,0.0181,5.7424,2.984,0.4555,96.219,46.8506,12.6203,96.219,45.4924,42.2423,69.32,2.2632,0.86,2.984,53.0155,854879.0
2013-10-31,46.67865753173828,48.94369888305664,44.91770553588867,48.45305252075195,46.0343132019043,3716073.8695652173,7.0005,1.039,63.0333,0.0181,5.7424,2.984,0.4555,96.219,48.4415,12.6203,95.74,46.4767,43.2523,72.09,2.2632,0.86,2.187,63.5249,613466.0
2013-11-30,48.580753326416016,51.03398895263672,48.19092559814453,50.27449417114258,47.76481628417969,3336887.25,9.5747,1.039,61.4749,0.0181,5.7424,2.984,0.4555,96.219,50.1163,12.6203,95.303,48.1461,44.1549,74.8,2.2632,0.86,3.227,59.6381,652885.0
