Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,54.03404235839844,57.02978515625,53.914894104003906,56.8510627746582,38.783660888671875,847119.5789473684,0.6682,0.7057,81.1016,0.0289,8.5992,1.883,3.569,61.537,55.563,8.4828,71.295,53.3607,51.2851,66.8,1.4015,0.47,2.084,86.2617,352730.0
2013-03-31,56.73191452026367,58.195743560791016,55.948936462402344,58.16170120239258,40.04899978637695,1291019.8,4.8534,0.7092,72.4702,0.0227,12.3716,2.508,3.5567,72.162,56.6359,9.3605,72.162,55.306,52.155,68.34,1.5524,1.35,2.508,76.7474,359284.0
2013-04-30,58.16170120239258,62.400001525878906,57.98297882080078,62.02553176879883,42.70955657958984,1308565.7272727273,5.9249,0.7092,76.7518,0.0227,12.3716,2.508,3.5567,72.162,61.6176,9.3605,72.192,58.091,53.2523,72.88,1.5524,1.35,0.998,77.1329,607717.0
2013-05-31,62.00851058959961,62.30638122558594,55.70212936401367,56.689361572265625,39.03519058227539,1245372.0454545454,0.1382,0.7092,32.5372,0.0227,12.3716,2.508,3.5567,72.162,58.7664,9.3605,63.948,59.6186,54.1601,66.61,1.5524,1.35,1.294,28.5092,345347.0
2013-06-30,56.672340393066406,57.66808319091797,53.940425872802734,57.02978515625,39.66111755371094,1469566.85,-4.2267,0.7098,50.0298,0.051,10.5315,1.4,3.3447,63.893,56.0761,8.8063,63.893,58.7743,54.7454,67.01,1.5435,0.6,1.4,55.052,433341.0
2013-07-31,57.53191375732422,60.92766189575195,55.07233810424805,60.17021179199219,41.84511947631836,988581.2272727273,-1.1799,0.7098,61.666,0.051,10.5315,1.4,3.3447,63.893,59.9398,8.8063,66.921,57.6852,55.6119,70.7,1.5435,0.6,2.238,62.8501,312702.0
2013-08-31,60.485107421875,61.08085250854492,56.570213317871094,56.91063690185547,39.5782585144043,894287.4090909091,-4.0406,0.7098,36.4682,0.051,10.5315,1.4,3.3447,63.893,57.1149,8.8063,68.814,58.2728,56.3727,66.87,1.5435,0.6,3.433,31.838,250141.0
2013-09-30,57.25957489013672,58.425533294677734,55.25106430053711,56.15319061279297,39.43785858154297,1523023.55,-8.4767,0.7152,41.9933,0.0348,8.9954,2.385,3.5891,67.758,56.9592,8.097,67.758,57.9757,56.9179,65.98,1.4657,1.13,2.385,39.7927,352111.0
2013-10-31,56.30638122558594,59.83829879760742,54.8510627746582,58.842552185058594,41.326656341552734,1301021.5217391304,-13.9609,0.7152,61.4085,0.0348,8.9954,2.385,3.5891,67.758,58.2559,8.097,67.307,56.8379,57.5141,69.14,1.4657,1.13,1.532,63.7088,399922.0
2013-11-30,58.944679260253906,60.11914825439453,56.73191452026367,56.79999923706055,39.892127990722656,1232769.15,-8.9217,0.7152,36.1994,0.0348,8.9954,2.385,3.5891,67.758,58.1317,8.097,68.525,57.6015,57.9784,66.74,1.4657,1.13,2.91,26.6437,152548.0
2013-12-31,56.90212631225586,57.574466705322266,54.91063690185547,56.50212860107422,40.08069610595703,1298800.4285714286,-10.3801,0.737,46.988,0.033,7.8331,2.628,3.7456,65.832,56.3347,8.6439,65.832,57.6336,57.9969,66.39,1.4818,0.7,2.628,49.0509,407451.0
2014-01-31,56.51063919067383,58.16170120239258,55.182979583740234,58.059574127197266,41.185489654541016,1259566.619047619,-12.5097,0.737,63.6251,0.033,7.8331,2.628,3.7456,65.832,56.6172,8.6439,65.63,56.5906,57.7882,68.22,1.4818,0.7,2.663,70.2724,445242.0
2014-02-28,58.068084716796875,62.085105895996094,56.834041595458984,61.07233810424805,43.3226318359375,1534865.7368421052,-6.2982,0.737,66.2291,0.033,7.8331,2.628,3.7456,65.832,61.1029,8.6439,73.731,57.5514,57.644,71.76,1.4818,0.7,2.921,66.1346,382963.0
2014-03-31,60.77446746826172,63.49787139892578,59.21702194213867,63.22553253173828,45.26664352416992,1271965.6666666667,-2.4599,0.7361,72.4768,0.0299,56.2003,3.161,3.9311,65.886,61.393,9.5844,65.886,59.5477,57.9325,74.29,1.6201,1.84,3.161,78.8658,361522.0
