Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,55.2599983215332,61.099998474121094,54.59000015258789,56.849998474121094,39.77134323120117,3387181.8181818184,56.85,916332.0,-9.3366,1.2947,1.1623,0.0221,-3.34,1.1458,-5.2988,-5.2988,38.1929,45.2323,-7.5833,56.7036,56.2922,58.623,89.694,97.125,2.68,2.818
2013-06-30,56.900001525878906,58.0,51.65999984741211,51.880001068115234,36.439491271972656,3306695.0,51.88,847065.0,-8.2192,1.3353,1.0497,0.0196,1.69,1.2073,26.6081,26.6081,31.6122,34.5311,-8.5071,56.2531,56.064,53.29,89.839,89.839,2.432,2.432
2013-07-31,52.119998931884766,57.9900016784668,52.0,55.0099983215332,38.6379280090332,2622159.090909091,55.01,851990.0,-8.2192,1.3353,1.0497,0.0196,1.69,1.2073,26.6081,26.6081,41.882,45.9837,-9.8437,55.6594,55.6366,56.268,89.902,89.839,2.924,2.432
2013-08-31,55.5099983215332,59.400001525878906,55.150001525878906,57.09000015258789,40.0988883972168,2828590.909090909,57.09,486876.0,-8.2192,1.3353,1.0497,0.0196,1.69,1.2073,26.6081,26.6081,49.7633,51.249,-9.4525,55.4844,55.9048,57.09,89.24,89.839,2.931,2.432
2013-09-30,57.779998779296875,60.380001068115234,56.9900016784668,57.7599983215332,40.72209548950195,2635905.0,57.76,917620.0,-2.7976,1.3255,1.1377,0.0168,1.06,1.1179,18.5185,18.5185,35.4139,43.9706,-3.6643,56.0995,57.6482,59.268,89.017,89.017,2.697,2.697
2013-10-31,57.86000061035156,66.91999816894531,57.58000183105469,63.220001220703125,44.571529388427734,3037213.0434782607,63.22,539022.0,-2.7976,1.3255,1.1377,0.0168,1.06,1.1179,18.5185,18.5185,53.5073,58.0223,4.0958,57.0732,59.9618,64.238,89.104,89.017,2.231,2.697
2013-11-30,63.189998626708984,65.5999984741211,59.400001525878906,60.619998931884766,42.738468170166016,4609240.0,60.62,658053.0,-2.7976,1.3255,1.1377,0.0168,1.06,1.1179,18.5185,18.5185,40.9338,44.6123,-2.908,57.4935,61.2784,61.502,88.326,89.017,1.231,2.697
2013-12-31,60.88999938964844,62.400001525878906,58.029998779296875,61.869998931884766,43.778099060058594,2939123.8095238097,61.87,438128.0,-0.1388,1.2445,1.2254,0.0276,0.51,1.0957,8.3333,8.3333,63.04,57.1456,0.5146,58.0063,61.6666,60.923,88.165,88.165,2.986,2.986
2014-01-31,61.689998626708984,61.9900016784668,58.209999084472656,59.220001220703125,41.90299987792969,2995066.6666666665,59.22,567525.0,-0.1388,1.2445,1.2254,0.0276,0.51,1.0957,8.3333,8.3333,44.4446,44.7453,-1.1698,58.4743,60.5486,59.46,87.957,88.165,2.65,2.986
2014-02-28,59.189998626708984,65.63999938964844,57.66999816894531,64.41999816894531,45.582427978515625,3740800.0,64.42,565653.0,-0.1388,1.2445,1.2254,0.0276,0.51,1.0957,8.3333,8.3333,67.2195,64.4807,-0.7909,59.0794,60.992,63.818,94.671,88.165,2.393,2.986
2014-03-31,64.0,66.94999694824219,62.369998931884766,66.93000030517578,47.522987365722656,3061628.5714285714,66.93,1019901.0,8.1289,1.2034,1.3305,0.0209,0.8,2.3075,65.9655,65.9655,80.8966,72.9044,-1.3219,59.7646,62.4346,64.361,88.664,88.664,2.707,2.707
2014-04-30,66.91000366210938,72.41000366210938,66.75,70.0,49.70280075073242,3627509.523809524,70.0,677390.0,8.1289,1.2034,1.3305,0.0209,0.8,2.3075,65.9655,65.9655,55.7718,60.5054,3.1965,61.3673,66.2646,70.607,87.387,88.664,2.732,2.707
2014-05-31,69.94000244140625,73.98999786376953,69.19999694824219,73.9000015258789,52.47195053100586,3448557.1428571427,73.9,506242.0,8.1289,1.2034,1.3305,0.0209,0.8,2.3075,65.9655,65.9655,67.4536,65.1887,10.6609,62.9712,69.6088,72.776,87.232,88.664,3.401,2.707
2014-06-30,73.8499984741211,80.62999725341797,73.55999755859375,79.4000015258789,56.55830764770508,2842061.904761905,79.4,820682.0,7.8142,1.1817,1.5082,0.0331,1.65,1.6391,75.4751,75.4751,66.8591,68.2514,18.1251,65.0064,73.872,78.708,86.728,86.728,2.412,2.412
2014-07-31,79.8499984741211,80.01000213623047,75.43000030517578,75.5,53.78026580810547,2566572.727272727,75.5,665368.0,7.8142,1.1817,1.5082,0.0331,1.65,1.6391,75.4751,75.4751,34.2291,40.7005,19.9231,67.0674,76.8836,77.618,89.891,86.728,2.348,2.412
2014-08-31,75.11000061035156,77.01000213623047,71.4800033569336,75.41999816894531,53.723270416259766,2421423.8095238097,75.42,424997.0,7.8142,1.1817,1.5082,0.0331,1.65,1.6391,75.4751,75.4751,58.5811,52.911,10.7233,68.2491,76.4652,74.431,87.566,86.728,2.777,2.412
2014-09-30,75.30000305175781,75.33999633789062,67.58000183105469,68.18000030517578,48.731361389160156,3069261.904761905,68.18,957574.0,10.2973,1.1707,1.2578,0.0232,2.48,1.3402,61.236,61.236,28.7751,31.7753,2.7945,69.2835,73.3876,69.981,87.359,87.359,1.426,1.426
2014-10-31,67.69000244140625,68.80000305175781,53.34000015258789,60.0,42.8847541809082,4901947.826086956,60.0,1209907.0,10.2973,1.1707,1.2578,0.0232,2.48,1.3402,61.236,61.236,49.9694,44.8743,-17.2347,69.2456,66.4314,59.154,87.517,87.359,1.062,1.426
2014-11-30,60.209999084472656,68.47000122070312,55.439998626708984,58.970001220703125,42.14856719970703,4420331.578947368,58.97,1306407.0,10.2973,1.1707,1.2578,0.0232,2.48,1.3402,61.236,61.236,31.4591,38.3447,-19.0072,69.5814,62.9462,64.537,87.623,87.359,1.482,1.426
2014-12-31,58.689998626708984,62.2400016784668,51.7599983215332,61.209999084472656,43.933929443359375,4985359.090909091,61.21,1016642.0,7.5693,1.3989,1.1626,0.0257,-1.01,1.6246,52.2155,52.2155,58.6689,54.324,-28.6693,69.0051,60.5412,60.619,86.433,86.433,1.053,1.053
2015-01-31,60.630001068115234,62.56999969482422,56.77000045776367,60.27000045776367,43.25923538208008,4123845.0,60.27,1310120.0,7.5693,1.3989,1.1626,0.0257,-1.01,1.6246,52.2155,52.2155,51.5574,51.1474,-25.207,68.3326,59.9942,60.459,86.676,86.433,1.01,1.053
