Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,57.11000061035156,59.20000076293945,56.2599983215332,59.0,38.895206451416016,1587626.3157894737,-14.2768,0.4978,71.9102,0.0182,-0.4803,4.244,2.9184,44.792,57.674,9.7661,52.499,56.5722,59.2882,59.0,1.3705,0.71,3.793,76.3499,422213.0
2013-03-31,58.95000076293945,61.130001068115234,58.33000183105469,61.029998779296875,40.233455657958984,1333815.0,-7.9908,0.5148,76.3295,0.0161,3.4438,5.609,3.6417,52.354,59.386,8.9869,52.354,57.8224,59.2256,61.03,1.5034,0.66,5.609,81.6416,818054.0
2013-04-30,60.93000030517578,63.810001373291016,60.439998626708984,63.650001525878906,41.96067428588867,1251313.6363636365,-5.7654,0.5148,77.3298,0.0161,3.4438,5.609,3.6417,52.354,62.601,8.9869,56.954,60.1992,59.1918,63.65,1.5034,0.66,5.936,80.4463,340338.0
2013-05-31,63.61000061035156,64.02999877929688,56.849998474121094,57.06999969482422,38.00246047973633,2062927.2727272727,-7.3709,0.5148,22.1491,0.0161,3.4438,5.609,3.6417,52.354,59.089,8.9869,46.596,61.0774,58.8314,57.07,1.5034,0.66,3.81,14.6892,765641.0
2013-06-30,57.0099983215332,58.95000076293945,55.41999816894531,58.310001373291016,38.828163146972656,2292395.0,-10.1589,0.5079,52.0126,0.0213,1.6961,2.673,3.464,46.435,57.475,8.6182,46.435,59.6848,58.4247,58.31,1.4372,0.59,2.673,57.3371,2415839.0
2013-07-31,58.52000045776367,60.709999084472656,56.560001373291016,59.900001525878906,39.88693618774414,1482918.1818181819,-6.5232,0.5079,56.3161,0.0213,1.6961,2.673,3.464,46.435,60.058,8.6182,46.913,58.344,58.3483,59.9,1.4372,0.59,5.195,55.669,466966.0
2013-08-31,60.13999938964844,60.849998474121094,55.63999938964844,56.22999954223633,37.82892990112305,1913631.8181818181,-8.7064,0.5079,35.9416,0.0213,1.6961,2.673,3.464,46.435,56.227,8.6182,48.372,58.3998,58.2488,56.23,1.4372,0.59,4.955,34.2755,573250.0
2013-09-30,56.5099983215332,57.33000183105469,54.5099983215332,55.13999938964844,37.09561920166016,1803810.0,-13.7224,0.5772,40.6234,0.0174,1.338,5.086,3.7512,48.283,55.919,8.6221,48.283,57.3368,58.2802,55.14,1.3274,1.58,5.086,39.1454,780913.0
2013-10-31,55.18000030517578,59.2400016784668,54.31999969482422,58.220001220703125,39.167701721191406,2269365.217391304,-16.6907,0.5772,63.639,0.0174,1.338,5.086,3.7512,48.283,57.98,8.6221,48.375,56.1606,58.3414,58.22,1.3274,1.58,4.23,66.4246,575961.0
2013-11-30,58.43000030517578,59.20000076293945,55.0,55.209999084472656,37.53700256347656,2174165.0,-11.964,0.5772,33.0547,0.0174,1.338,5.086,3.7512,48.283,56.467,8.6221,49.135,56.707,58.4037,55.21,1.3274,1.58,5.729,25.2461,263308.0
2013-12-31,55.209999084472656,55.869998931884766,54.16999816894531,55.279998779296875,37.58457946777344,1852871.4285714286,-14.268,0.644,48.6032,0.0198,-1.1375,5.415,4.8085,49.175,55.034,8.8082,49.175,56.4314,58.0356,55.28,1.3222,0.8,5.415,53.2983,525410.0
2014-01-31,55.150001525878906,55.150001525878906,52.849998474121094,54.40999984741211,36.99308395385742,2296928.5714285714,-16.6415,0.644,53.2534,0.0198,-1.1375,5.415,4.8085,49.175,53.82,8.8082,49.034,54.6672,57.3193,54.41,1.3222,0.8,5.167,59.4392,843502.0
2014-02-28,54.45000076293945,56.68000030517578,53.0,56.04999923706055,38.55778121948242,2216436.8421052634,-12.8193,0.644,62.7278,0.0198,-1.1375,5.415,4.8085,49.175,55.494,8.8082,55.681,54.404,56.5836,56.05,1.3222,0.8,5.385,66.2061,650484.0
2014-03-31,55.7400016784668,56.0,52.22999954223633,53.650001525878906,36.90678405761719,2840909.523809524,-11.7471,0.6607,46.8165,0.0139,19.0013,5.502,4.4884,49.381,53.164,10.1254,49.381,54.3146,56.1414,53.65,1.2646,1.23,5.502,48.6108,782830.0
2014-04-30,53.56999969482422,58.56999969482422,52.869998931884766,58.029998779296875,39.91985702514648,2394038.095238095,-8.6687,0.6607,67.7393,0.0139,19.0013,5.502,4.4884,49.381,57.346,10.1254,49.518,55.1936,55.9612,58.03,1.2646,1.23,8.093,71.081,476468.0
2014-05-31,58.099998474121094,58.369998931884766,53.61000061035156,55.0099983215332,38.27138137817383,2446047.619047619,-8.081,0.6607,47.3732,0.0139,19.0013,5.502,4.4884,49.381,54.43,10.1254,50.896,55.3398,55.4843,55.01,1.2646,1.23,11.29,50.0139,698642.0
2014-06-30,55.0,57.84000015258789,54.119998931884766,57.7400016784668,40.170677185058594,1859933.3333333333,-5.3245,0.6507,70.7669,0.0168,3.3002,10.592,4.1915,51.151,56.866,10.4446,51.151,55.9872,55.4723,57.74,1.3578,0.73,10.592,79.0585,558590.0
2014-07-31,57.75,57.849998474121094,55.279998779296875,56.09000015258789,39.02275085449219,1835472.7272727273,-2.9511,0.6507,43.78,0.0168,3.3002,10.592,4.1915,51.151,57.12,10.4446,56.487,56.0774,55.5958,56.09,1.3578,0.73,13.086,38.1452,729757.0
2014-08-31,55.91999816894531,57.900001525878906,54.58000183105469,57.88999938964844,40.725948333740234,1986957.142857143,-4.1229,0.6507,59.7742,0.0168,3.3002,10.592,4.1915,51.151,57.338,10.4446,52.887,56.7392,55.4845,57.89,1.3578,0.73,14.382,63.1175,471049.0
2014-09-30,57.880001068115234,58.119998931884766,55.79999923706055,56.65999984741211,39.86064147949219,1585519.0476190476,-1.0778,0.684,48.1631,0.0159,-2.698,14.887,4.0509,52.932,56.662,9.9948,52.932,56.8532,55.5883,56.66,1.306,1.49,14.887,47.9624,463564.0
2014-10-31,56.869998931884766,64.0,56.400001525878906,63.36000061035156,44.57413482666016,3058304.347826087,2.7164,0.684,71.7343,0.0159,-2.698,14.887,4.0509,52.932,62.369,9.9948,52.812,58.5906,56.2812,63.36,1.306,1.49,6.56,72.915,638711.0
2014-11-30,63.33000183105469,64.7300033569336,61.45000076293945,63.150001525878906,44.87334442138672,2348910.5263157897,5.5025,0.684,58.1744,0.0159,-2.698,14.887,4.0509,52.932,62.345,9.9948,53.426,60.7082,57.1296,63.15,1.306,1.49,8.819,59.2136,292959.0
2014-12-31,62.93000030517578,68.91999816894531,62.619998931884766,66.01000213623047,46.905609130859375,2169436.3636363638,10.3151,0.561,56.8033,0.0243,-1.3598,7.081,4.3123,53.608,66.407,8.7829,53.608,63.735,58.2113,66.01,1.5373,0.28,7.081,53.0303,441017.0
2015-01-31,66.0999984741211,72.25,65.36000061035156,69.27999877929688,49.229225158691406,2215400.0,17.4661,0.561,56.357,0.0243,-1.3598,7.081,4.3123,53.608,70.278,8.7829,53.993,66.0488,59.6641,69.28,1.5373,0.28,6.408,50.575,2288904.0
2015-02-28,69.27999877929688,69.69000244140625,62.369998931884766,63.13999938964844,45.315189361572266,2809257.8947368423,10.5551,0.561,36.7526,0.0243,-1.3598,7.081,4.3123,53.608,64.122,8.7829,62.529,66.9678,60.4864,63.14,1.5373,0.28,4.275,34.1652,590710.0
2015-03-31,63.060001373291016,63.06999969482422,58.650001525878906,61.0,43.779327392578125,2705272.727272727,2.3603,0.5427,46.0619,0.0158,-4.5658,3.891,3.9773,56.237,60.778,8.7267,56.237,64.4608,61.1649,61.0,1.4001,1.26,3.891,49.388,949181.0
2015-04-30,60.970001220703125,63.029998779296875,59.90999984741211,61.54999923706055,44.174041748046875,1708585.7142857143,-7.1355,0.5427,49.979,0.0158,-4.5658,3.891,3.9773,56.237,61.804,8.7267,56.232,61.5262,61.6603,61.55,1.4001,1.26,5.858,49.9741,1921834.0
2015-05-31,61.52000045776367,62.540000915527344,60.029998779296875,61.84000015258789,44.85649871826172,2160355.0,-5.5127,0.5427,55.159,0.0158,-4.5658,3.891,3.9773,56.237,61.361,8.7267,55.747,61.1646,62.1364,61.84,1.4001,1.26,7.652,59.8147,818953.0
2015-06-30,61.869998931884766,62.18000030517578,56.86000061035156,57.880001068115234,41.98406600952149,2584927.272727273,-12.2786,0.5642,40.0828,0.0117,-4.2254,6.502,4.2225,55.645,58.267,8.7628,55.645,60.1896,62.2844,57.88,1.3256,0.75,6.502,40.7797,848312.0
2015-07-31,57.810001373291016,64.16000366210938,57.709999084472656,63.59000015258789,46.12589645385742,2289604.5454545454,-13.793,0.5642,69.7901,0.0117,-4.2254,6.502,4.2225,55.645,61.973,8.7628,55.683,60.0488,62.6958,63.59,1.3256,0.75,6.715,75.023,874827.0
2015-08-31,63.709999084472656,67.37000274658203,62.150001525878906,62.90999984741211,46.07754135131836,2301109.523809524,2.3672,0.5642,43.9115,0.0117,-4.2254,6.502,4.2225,55.645,64.572,8.7628,56.2,62.302,62.9418,62.91,1.3256,0.75,7.173,37.964,1153057.0
