Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,134.39999389648438,136.39999389648438,125.33000183105469,129.61000061035156,102.84809112548828,499572.7272727273,129.61,342701.0,13.7145,0.6629,1.1504,0.0726,7.56,0.3836,9.4906,9.4906,45.9654,46.9343,6.2334,116.5118,130.0558,129.291,131.405,108.927,2.919,3.616
2013-06-30,130.5,131.1300048828125,122.88999938964844,128.25999450683594,102.15511322021484,316195.0,128.26,209879.0,14.7178,0.6655,0.9678,0.1144,5.6,0.1104,14.5922,14.5922,53.7988,50.6709,3.5275,118.7786,130.0252,127.108,130.773,130.773,5.273,5.273
2013-07-31,128.89999389648438,137.5,125.30999755859375,133.52999877929688,106.35250091552734,400090.9090909091,133.53,144137.0,14.7178,0.6655,0.9678,0.1144,5.6,0.1104,14.5922,14.5922,68.7857,63.1163,1.2291,121.063,128.6742,130.957,135.463,130.773,3.142,5.273
2013-08-31,134.63999938964844,140.80999755859375,132.17999267578125,136.9499969482422,109.45475006103516,303145.45454545453,136.95,107750.0,14.7178,0.6655,0.9678,0.1144,5.6,0.1104,14.5922,14.5922,51.7941,55.927,1.7669,124.048,132.3152,137.672,131.888,130.773,8.122,5.273
2013-09-30,137.0500030517578,146.8699951171875,134.10000610351562,145.41000366210938,116.21624755859375,429715.0,145.41,134573.0,13.9691,0.7331,1.0526,0.1632,4.85,-0.0994,14.9729,14.9729,77.3519,71.9366,0.8825,127.481,137.398,143.55,130.911,130.911,4.811,4.811
2013-10-31,145.8000030517578,155.64999389648438,144.3000030517578,153.74000549316406,122.87380981445312,347147.82608695654,153.74,136860.0,13.9691,0.7331,1.0526,0.1632,4.85,-0.0994,14.9729,14.9729,63.2669,63.587,6.5467,132.0382,144.4838,152.391,133.624,130.911,3.445,4.811
2013-11-30,153.92999267578125,159.86000061035156,151.8000030517578,156.8300018310547,125.34349822998047,275970.0,156.83,37770.0,13.9691,0.7331,1.0526,0.1632,4.85,-0.0994,14.9729,14.9729,53.5253,57.3764,9.4705,135.9975,151.7064,157.101,133.404,130.911,4.544,4.811
2013-12-31,153.97999572753906,156.75,147.1199951171875,155.8699951171875,125.17479705810547,303142.85714285716,155.87,33973.0,18.2309,0.7529,1.0715,0.2844,7.62,-0.1121,19.2097,19.2097,67.589,60.5178,6.9343,138.796,153.9614,152.365,133.638,133.638,3.563,3.563
2014-01-31,155.0500030517578,155.38999938964844,142.67999267578125,144.75999450683594,116.25269317626953,380042.85714285716,144.76,254762.0,18.2309,0.7529,1.0715,0.2844,7.62,-0.1121,19.2097,19.2097,43.1777,42.8046,4.191,140.8617,151.1366,146.096,134.093,133.638,3.085,3.563
2014-02-28,145.00999450683594,150.63999938964844,136.35000610351562,149.24000549316406,119.8504638671875,556452.6315789474,149.24,92400.0,18.2309,0.7529,1.0715,0.2844,7.62,-0.1121,19.2097,19.2097,60.8932,56.4325,-2.5521,142.0857,147.6784,148.251,129.343,133.638,2.11,3.563
2014-03-31,148.13999938964844,153.10000610351562,146.69000244140625,153.0500030517578,123.52869415283203,369795.2380952381,153.05,204272.0,16.7295,0.7561,1.2347,0.1713,6.26,0.0853,-6.1314,-6.1314,67.1304,62.7282,-3.8536,144.2843,147.427,150.768,103.618,103.618,4.066,4.066
2014-04-30,152.97999572753906,161.52000427246094,149.9600067138672,158.02999877929688,127.54808044433594,373590.4761904762,158.03,181436.0,16.7295,0.7561,1.2347,0.1713,6.26,0.0853,-6.1314,-6.1314,57.0877,58.725,-4.154,147.2123,152.1136,158.261,134.618,103.618,3.467,4.066
2014-05-31,158.60000610351562,162.17999267578125,155.75999450683594,160.02000427246094,129.15428161621094,325547.61904761905,160.02,115683.0,16.7295,0.7561,1.2347,0.1713,6.26,0.0853,-6.1314,-6.1314,58.3364,58.0452,-3.9758,149.9879,156.2584,159.235,130.393,103.618,5.019,4.066
2014-06-30,159.72999572753906,163.07000732421875,157.2100067138672,160.49000549316406,130.14352416992188,287942.85714285716,160.49,91420.0,16.8139,0.7905,1.0105,0.1201,6.32,0.4375,7.2288,7.2288,55.8908,54.4631,-2.1447,152.3511,159.3668,159.6,130.302,130.302,5.054,5.054
2014-07-31,161.5399932861328,165.64999389648438,155.49000549316406,155.91000366210938,126.42953491210938,363959.0909090909,155.91,126455.0,16.8139,0.7905,1.0105,0.1201,6.32,0.4375,7.2288,7.2288,27.9875,34.5619,1.5386,154.2335,160.9102,160.909,133.851,130.302,3.344,5.054
2014-08-31,155.3300018310547,164.86000061035156,155.22999572753906,163.83999633789062,133.4774932861328,295638.09523809527,163.84,132007.0,16.8139,0.7905,1.0105,0.1201,6.32,0.4375,7.2288,7.2288,62.411,59.1965,2.743,155.0933,161.3172,162.98,130.604,130.302,5.723,5.054
2014-09-30,164.5399932861328,166.97999572753906,159.25999450683594,162.00999450683594,131.98660278320312,289876.1904761905,162.01,106637.0,17.1896,0.7531,0.9979,0.1386,6.05,0.4057,9.5885,9.5885,50.4566,49.8932,1.0914,155.8238,161.6526,161.912,130.515,130.515,5.791,5.791
2014-10-31,161.57000732421875,171.3699951171875,155.22999572753906,170.64999389648438,139.02552795410156,308121.73913043475,170.65,88881.0,17.1896,0.7531,0.9979,0.1386,6.05,0.4057,9.5885,9.5885,76.1343,69.1977,0.1465,157.2769,162.8398,166.123,130.42,130.515,4.735,5.791
