Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,72.5,79.5999984741211,72.05000305175781,76.97000122070312,65.8908920288086,1708127.2727272727,76.97,558744.0,11.2201,0.9495,0.828,0.0283,2.92,-2.4521,14.0173,14.0173,50.4259,55.7962,15.685,63.4134,72.062,77.924,96.107,98.157,3.422,3.889
2013-06-30,77.06999969482422,82.33000183105469,75.0199966430664,81.83999633789062,70.40878295898438,2038735.0,81.84,785739.0,11.7929,0.9499,1.002,0.0264,2.67,-2.3558,14.8177,14.8177,68.9164,65.2374,16.78,65.4334,76.5804,79.743,95.86,95.86,2.174,2.174
2013-07-31,82.0,90.0,80.75,85.55999755859375,73.60916900634766,2080040.9090909092,85.56,548077.0,11.7929,0.9499,1.002,0.0264,2.67,-2.3558,14.8177,14.8177,54.3251,58.3331,19.557,68.2329,81.3026,86.193,95.912,95.86,2.374,2.174
2013-08-31,86.02999877929688,88.72000122070312,84.1500015258789,85.13999938964844,73.24783325195312,1597490.9090909092,85.14,690314.0,11.7929,0.9499,1.002,0.0264,2.67,-2.3558,14.8177,14.8177,41.2714,46.3137,23.133,71.0641,84.9714,85.745,95.446,95.86,6.006,2.174
2013-09-30,85.62000274658203,89.93000030517578,81.45999908447266,83.61000061035156,72.23983001708984,2151540.0,83.61,610455.0,11.5402,0.8563,1.0076,0.0384,2.21,-1.7968,16.299,16.299,38.99,41.4223,22.56,74.0488,86.1506,84.025,94.648,94.648,3.062,3.062
2013-10-31,83.80000305175781,89.87000274658203,83.12999725341797,84.80000305175781,73.26802062988281,2179491.304347826,84.8,667367.0,11.5402,0.8563,1.0076,0.0384,2.21,-1.7968,16.299,16.299,42.9931,45.0332,12.344,77.013,86.1786,85.402,96.086,94.648,2.588,3.062
2013-11-30,85.1500015258789,94.33000183105469,84.45999908447266,92.87999725341797,80.24920654296875,2308270.0,92.88,846101.0,11.5402,0.8563,1.0076,0.0384,2.21,-1.7968,16.299,16.299,68.0618,66.2707,7.538,79.5058,87.4556,92.414,95.842,94.648,2.994,3.062
2013-12-31,92.9000015258789,94.36000061035156,86.87999725341797,92.38999938964844,80.15400695800781,1884190.4761904762,92.39,272583.0,10.2525,0.7548,1.1021,0.0406,0.49,-1.9266,15.9564,15.9564,63.8841,59.9008,1.709,82.3908,89.2952,90.502,95.716,95.716,3.453,3.453
2014-01-31,92.0,93.08999633789062,81.83999633789062,86.0,74.61030578613281,2851057.1428571427,86.0,1266413.0,10.2525,0.7548,1.1021,0.0406,0.49,-1.9266,15.9564,15.9564,44.3973,43.7391,-4.976,84.5978,89.885,85.688,95.423,95.716,1.666,3.453
2014-02-28,86.0,91.95999908447266,83.98999786376953,90.58999633789062,78.59244537353516,2726284.210526316,90.59,1224640.0,10.2525,0.7548,1.1021,0.0406,0.49,-1.9266,15.9564,15.9564,65.8883,60.636,-7.367,85.9434,88.2612,88.871,104.913,95.716,3.943,3.453
2014-03-31,89.87000274658203,102.55999755859375,89.02999877929688,99.55000305175781,86.78089904785156,3397561.904761905,99.55,1524744.0,9.4753,0.7429,1.155,0.0383,2.46,-1.9879,1.6124,1.6124,66.365,67.4549,0.715,87.8216,90.445,99.345,98.796,98.796,2.639,2.639
2014-04-30,98.5,101.94999694824219,90.75,100.68000030517578,87.76596069335938,2998595.238095238,100.68,936079.0,9.4753,0.7429,1.155,0.0383,2.46,-1.9879,1.6124,1.6124,69.3997,64.4087,2.839,89.3715,94.8482,95.313,98.797,98.796,5.344,2.639
2014-05-31,100.68000030517578,110.02999877929688,99.91000366210938,108.36000061035156,94.46086120605469,1922900.0,108.36,778111.0,9.4753,0.7429,1.155,0.0383,2.46,-1.9879,1.6124,1.6124,68.2754,67.7055,10.435,91.3795,100.6774,107.41,96.376,98.796,6.96,2.639
2014-06-30,108.55999755859375,109.5,104.79000091552734,107.61000061035156,94.19171142578125,1617023.8095238095,107.61,529382.0,9.1455,0.6812,1.2346,0.0504,2.64,-1.7505,4.4267,4.4267,51.6403,54.5867,10.684,93.5678,104.7366,107.713,96.11,96.11,9.821,9.821
2014-07-31,108.2699966430664,116.5,106.87999725341797,109.80999755859375,96.11739349365234,2149145.4545454546,109.81,723678.0,9.1455,0.6812,1.2346,0.0504,2.64,-1.7505,4.4267,4.4267,36.1765,43.5455,18.018,96.4828,109.632,113.928,102.254,96.11,5.217,9.821
2014-08-31,109.6500015258789,117.36000061035156,106.5199966430664,116.51000213623047,101.98193359375,1495776.1904761905,116.51,504065.0,9.1455,0.6812,1.2346,0.0504,2.64,-1.7505,4.4267,4.4267,72.1171,65.3713,18.929,99.1614,111.607,114.151,98.483,96.11,10.762,9.821
2014-09-30,116.45999908447266,124.58000183105469,114.62999725341797,119.62000274658203,105.0910415649414,1760871.4285714286,119.62,645215.0,9.0065,0.7851,1.3413,0.0596,2.31,-1.9798,3.9288,3.9288,48.411,52.4531,16.25,102.1481,115.5976,121.219,99.343,99.343,6.686,6.686
2014-10-31,119.2699966430664,126.69000244140625,108.91999816894531,126.69000244140625,111.30231475830078,2116947.8260869565,126.69,557087.0,9.0065,0.7851,1.3413,0.0596,2.31,-1.9798,3.9288,3.9288,75.0433,67.5047,18.102,105.3952,118.6288,120.803,99.393,99.343,5.225,6.686
2014-11-30,126.61000061035156,129.9600067138672,123.41000366210938,127.91000366210938,112.37413787841797,1370894.7368421052,127.91,258769.0,9.0065,0.7851,1.3413,0.0596,2.31,-1.9798,3.9288,3.9288,61.3088,60.1508,10.408,109.2984,121.993,126.773,97.785,99.343,8.797,6.686
2014-12-31,128.25,129.9600067138672,121.22000122070312,125.66999816894531,110.783203125,1132359.0909090908,125.67,253913.0,10.485,0.8916,1.3988,0.0873,1.88,-1.9298,6.0475,6.0475,46.5898,48.9046,11.638,113.1813,125.5106,126.902,97.273,97.273,9.531,9.531
2015-01-31,126.6500015258789,143.64999389648438,122.86000061035156,134.9600067138672,118.97273254394531,2060665.0,134.96,831801.0,10.485,0.8916,1.3988,0.0873,1.88,-1.9298,6.0475,6.0475,50.6725,53.919,14.828,116.6886,129.1548,137.857,94.655,97.273,4.527,9.531
2015-02-28,134.9600067138672,148.75999450683594,132.94000244140625,146.4499969482422,129.1016082763672,1682984.2105263157,146.45,282231.0,10.485,0.8916,1.3988,0.0873,1.88,-1.9298,6.0475,6.0475,71.4702,68.3514,18.87,120.6949,134.8258,144.666,100.35,97.273,6.368,9.531
2015-03-31,146.4499969482422,160.63999938964844,144.1999969482422,154.41000366210938,136.70050048828125,1764195.4545454546,154.41,481718.0,11.2322,0.874,1.6929,0.0882,3.25,-1.787,6.6749,6.6749,54.3463,58.7006,20.799,125.586,145.266,156.303,97.778,97.778,3.525,3.525
2015-04-30,154.0800018310547,157.55999755859375,148.2899932861328,150.92999267578125,133.61961364746094,1373504.761904762,150.93,584031.0,11.2322,0.874,1.6929,0.0882,3.25,-1.787,6.6749,6.6749,41.9853,45.6782,19.661,130.2473,151.5468,152.679,97.818,97.778,4.911,3.525
