Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,72.12999725341797,75.18000030517578,67.2699966430664,69.7300033569336,51.02946853637695,1782536.8421052631,22.0127,1.4076,46.1271,0.0293,25.8851,2.094,4.0195,90.875,70.869,18.1592,97.476,70.4036,57.8848,69.73,3.5463,-0.35,1.175,43.9763,495190.0
2013-03-31,69.08999633789062,73.83000183105469,67.7699966430664,69.87000274658203,51.34244537353515,1358365.0,16.968,1.4105,43.7949,0.0338,26.6886,1.634,4.1338,98.584,70.913,20.5068,98.584,71.6378,60.3805,69.87,3.4644,1.6,1.634,40.7771,378660.0
2013-04-30,69.7300033569336,73.6500015258789,65.44000244140625,66.6500015258789,48.9763069152832,1829827.2727272727,10.3148,1.4105,42.2621,0.0338,26.6886,1.634,4.1338,98.584,69.143,20.5068,102.103,69.8802,62.6084,66.65,3.4644,1.6,1.288,39.5295,552730.0
2013-05-31,66.22000122070312,74.62000274658203,63.47999954223633,71.72000122070312,52.70188903808594,1755327.2727272727,1.5589,1.4105,55.6368,0.0338,26.6886,1.634,4.1338,98.584,72.433,20.5068,89.144,69.2338,64.6898,71.72,3.4644,1.6,1.092,56.1899,443817.0
2013-06-30,71.91000366210938,73.8499984741211,68.02999877929688,70.01000213623047,51.668670654296875,1380870.0,-3.0534,1.3865,46.7221,0.0349,31.6784,1.621,3.8319,89.089,71.353,22.5753,89.089,70.282,66.239,70.01,3.295,1.71,1.621,43.8866,1030657.0
2013-07-31,70.36000061035156,81.43000030517578,69.75,80.43000030517578,59.35882186889648,1204127.2727272727,-6.7839,1.3865,72.7017,0.0349,31.6784,1.621,3.8319,89.089,76.188,22.5753,88.377,72.6234,68.1502,80.43,3.295,1.71,1.417,77.8244,388089.0
2013-08-31,80.7699966430664,82.91000366210938,74.75,76.0,56.08940887451172,1261400.0,-0.0395,1.3865,43.1155,0.0349,31.6784,1.621,3.8319,89.089,77.577,22.5753,90.074,76.0778,70.5469,76.0,3.295,1.71,1.356,37.889,344521.0
2013-09-30,77.19999694824219,80.08000183105469,75.73999786376953,77.9000015258789,57.71434020996094,1463000.0,0.5672,1.374,51.5617,0.0516,3.4971,1.606,3.4092,89.576,77.915,23.1888,89.576,78.0656,72.333,77.9,3.3487,2.0,1.606,52.0535,317855.0
2013-10-31,77.8499984741211,82.95999908447266,75.16000366210938,78.79000091552734,58.37371063232422,1903347.8260869565,6.5787,1.374,49.1087,0.0516,3.4971,1.606,3.4092,89.576,79.998,23.1888,89.642,78.2618,73.6181,78.79,3.3487,2.0,0.93,47.4741,354220.0
2013-11-30,79.0,80.0999984741211,75.37000274658203,77.02999877929688,57.06974792480469,1195475.0,1.4973,1.374,46.6848,0.0516,3.4971,1.606,3.4092,89.576,76.7,23.1888,88.251,78.3394,74.1288,77.03,3.3487,2.0,1.875,47.8205,163012.0
2013-12-31,77.20999908447266,80.83999633789062,72.62000274658203,80.69999694824219,60.07080078125,1834761.9047619049,-4.1785,1.3871,69.4221,0.0194,4.426,0.858,3.0971,88.37,77.351,34.5749,88.37,77.3114,74.6132,80.7,3.2722,2.26,0.858,79.4162,345201.0
2014-01-31,80.30999755859375,81.25,73.0,77.95999908447266,58.03123474121094,1813871.4285714286,-5.1791,1.3871,52.8047,0.0194,4.426,0.858,3.0971,88.37,76.642,34.5749,88.219,76.9444,75.5977,77.96,3.2722,2.26,1.159,55.6201,778016.0
2014-02-28,78.11000061035156,88.13999938964844,75.62999725341797,87.43000030517578,65.0804443359375,1687226.3157894737,-5.0651,1.3871,76.7704,0.0194,4.426,0.858,3.0971,88.37,84.487,34.5749,92.653,79.436,76.8992,87.43,3.2722,2.26,1.797,83.3455,339392.0
2014-03-31,86.54000091552734,88.9000015258789,83.55999755859375,86.20999908447266,64.43305206298828,1368076.1904761905,0.0602,1.4179,57.7962,0.04,-0.0867,1.88,3.5261,94.931,85.263,33.6845,94.931,82.5142,78.4147,86.21,3.4944,1.54,1.88,58.2523,266523.0
2014-04-30,86.30000305175781,89.19000244140625,82.48999786376953,87.16999816894531,65.15054321289062,1385085.7142857143,0.9377,1.4179,53.9682,0.04,-0.0867,1.88,3.5261,94.931,87.167,33.6845,95.073,85.9202,79.9334,87.17,3.4944,1.54,1.368,54.3143,393867.0
2014-05-31,87.04000091552734,88.31999969482422,83.11000061035156,88.26000213623047,65.96521759033203,1082623.8095238095,4.6096,1.4179,61.7182,0.04,-0.0867,1.88,3.5261,94.931,85.979,33.6845,93.257,85.9966,80.7418,88.26,3.4944,1.54,1.87,68.7026,272269.0
2014-06-30,88.26000213623047,90.5500030517578,86.16000366210938,87.3499984741211,65.54003143310547,979247.619047619,7.9269,1.229,47.7095,0.0527,0.8197,2.445,3.486,94.069,87.533,32.8779,94.069,87.0806,81.8763,87.35,3.3806,1.96,2.445,44.0168,303598.0
2014-07-31,87.41000366210938,89.0199966430664,78.62999725341797,78.77999877929688,59.10984420776367,1304359.0909090908,2.1658,1.229,20.9938,0.0527,0.8197,2.445,3.486,94.069,85.554,32.8779,100.807,87.2714,82.8177,78.78,3.3806,1.96,1.384,15.5702,582155.0
2014-08-31,78.76000213623047,83.0999984741211,78.20999908447266,82.47000122070312,61.87850189208984,1047885.7142857143,-8.9709,1.229,51.745,0.0527,0.8197,2.445,3.486,94.069,81.787,32.8779,94.134,84.1638,82.9612,82.47,3.3806,1.96,2.489,59.2117,245303.0
2014-09-30,82.80999755859375,85.20999908447266,80.7300033569336,80.88999938964844,60.948246002197266,1336252.380952381,-9.2533,1.274,39.8788,0.0306,3.2079,2.294,2.9966,95.066,83.192,28.869,95.066,82.4696,83.68,80.89,3.0923,1.41,2.294,35.3262,270489.0
2014-10-31,80.69000244140625,81.63999938964844,70.37999725341797,80.77999877929688,60.8653678894043,1775752.1739130435,-14.8316,1.274,57.8742,0.0306,3.2079,2.294,2.9966,95.066,76.914,28.869,95.762,79.9152,83.5032,80.78,3.0923,1.41,1.178,63.2077,605302.0
2014-11-30,82.51000213623047,88.93000030517578,80.0,82.91999816894531,62.47779846191406,1412894.7368421052,-9.725,1.274,49.4874,0.0306,3.2079,2.294,2.9966,95.066,85.61,28.869,94.819,80.4818,84.1166,82.92,3.0923,1.41,2.542,43.2881,291739.0
2014-12-31,82.98999786376953,84.5999984741211,71.05999755859375,75.86000061035156,57.46128463745117,1720363.6363636365,-16.6985,1.3426,41.9135,0.028,3.7086,2.065,5.2244,94.373,75.888,20.5584,94.373,79.8856,83.2184,75.86,3.2101,0.11,2.065,42.1166,349259.0
2015-01-31,76.02999877929688,76.66999816894531,67.12999725341797,70.88999938964844,53.69668197631836,2041430.0,-18.5706,1.3426,44.7841,0.028,3.7086,2.065,5.2244,94.373,70.207,20.5584,94.922,76.4244,81.8329,70.89,3.2101,0.11,2.072,48.2615,724929.0
2015-02-28,71.04000091552734,76.54000091552734,68.73999786376953,74.45999908447266,56.400840759277344,1435063.1578947369,-13.4246,1.3426,50.7142,0.028,3.7086,2.065,5.2244,94.373,75.496,20.5584,95.922,73.5772,80.6853,74.46,3.2101,0.11,4.024,48.5567,411541.0
2015-03-31,74.45999908447266,75.43000030517578,67.87000274658203,69.26000213623047,52.76194763183594,1461722.7272727273,-18.2862,1.2166,41.8196,0.0254,5.987,2.334,4.8839,94.602,69.405,19.2136,94.602,72.0308,78.8465,69.26,2.9968,1.15,2.334,42.5434,685456.0
2015-04-30,68.97000122070312,77.66000366210938,67.73999786376953,76.22000122070312,58.06402969360352,1696347.619047619,-10.9999,1.2166,64.6796,0.0254,5.987,2.334,4.8839,94.602,75.716,19.2136,94.156,72.5374,77.3828,76.22,2.9968,1.15,1.729,67.7275,417148.0
2015-05-31,76.94999694824219,80.93000030517578,76.0199966430664,76.7699966430664,58.48300552368164,1521125.0,-10.1662,1.2166,49.5275,0.0254,5.987,2.334,4.8839,94.602,77.297,19.2136,93.099,74.581,76.8817,76.77,2.9968,1.15,2.488,44.0786,441618.0
2015-06-30,77.43000030517578,83.9000015258789,75.81999969482422,81.81999969482422,62.649017333984375,1618868.1818181819,2.1211,1.2716,60.656,0.0294,2.9675,2.056,4.1573,93.403,81.948,18.1533,93.403,78.413,76.605,81.82,3.2315,2.0,2.056,58.2319,698339.0
2015-07-31,82.79000091552734,82.79000091552734,71.66000366210938,78.4000015258789,60.030364990234375,1741368.1818181819,4.7098,1.2716,52.8136,0.0294,2.9675,2.056,4.1573,93.403,76.144,18.1533,94.054,78.361,76.2934,78.4,3.2315,2.0,1.539,56.2364,377218.0
2015-08-31,78.23999786376953,79.80999755859375,63.849998474121094,72.45999908447266,55.48213195800781,1325414.2857142857,2.7407,1.2716,43.084,0.0294,2.9675,2.056,4.1573,93.403,72.222,18.1533,93.904,77.1506,75.8979,72.46,3.2315,2.0,2.391,44.3578,266149.0
2015-09-30,70.1500015258789,73.31999969482422,62.84000015258789,64.72000122070312,49.83872985839844,1270395.238095238,5.5795,1.2422,34.9336,0.042,1.409,2.303,4.6319,94.324,67.357,19.028,94.324,72.596,74.4494,64.72,2.4817,1.73,2.303,33.2453,473545.0
