Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,217.5500030517578,231.2599945068359,206.6199951171875,211.5500030517578,163.2866973876953,1061594.7368421052,6.51,1.1516,44.9511,0.3711,17.437,9.21,4.1012,114.671,216.29,6.7483,126.711,214.4238,189.3042,211.55,4.2935,0.92,7.203,41.124,151780.0
2013-03-31,210.1699981689453,218.86000061035156,205.1199951171875,216.30999755859375,166.96075439453125,582230.0,0.504,1.1469,55.7183,0.2507,14.8728,15.819,6.1087,126.811,210.87,6.6334,126.811,215.8578,194.6796,216.31,4.5071,0.73,15.819,61.0961,179252.0
2013-04-30,217.0,222.7100067138672,205.0,214.1000061035156,165.25497436523438,872118.1818181818,2.809,1.1469,50.6605,0.2507,14.8728,15.819,6.1087,126.811,213.159,6.6334,129.494,213.6024,199.3868,214.1,4.5071,0.73,8.257,51.174,483516.0
2013-05-31,214.75,231.55999755859375,200.27999877929688,202.63999938964844,156.40951538085938,801604.5454545454,2.543,1.1469,30.3436,0.2507,14.8728,15.819,6.1087,126.811,214.392,6.6334,121.362,215.6144,204.2793,202.64,4.5071,0.73,9.213,20.381,253073.0
2013-06-30,202.3500061035156,205.2599945068359,172.97000122070312,184.72000122070312,142.57774353027344,1713930.0,-14.997,1.1867,39.765,0.2324,12.7406,8.024,5.7147,121.625,183.465,3.6954,121.625,206.2404,203.9701,184.72,3.9423,-0.58,8.024,42.8874,530225.0
2013-07-31,187.52999877929688,205.36000061035156,177.52999877929688,179.35000610351562,138.432861328125,1051472.7272727273,-22.308,1.1867,33.324,0.2324,12.7406,8.024,5.7147,121.625,188.636,3.6954,126.353,193.7678,203.1449,179.35,3.9423,-0.58,9.189,25.7522,211029.0
2013-08-31,180.17999267578125,183.91000366210935,163.72999572753906,173.74000549316406,134.1027374267578,1059263.6363636365,-27.322,1.1867,46.5661,0.2324,12.7406,8.024,5.7147,121.625,169.877,3.6954,127.82,181.946,202.0127,173.74,3.9423,-0.58,16.036,52.1671,219710.0
2013-09-30,175.55999755859375,184.92999267578125,170.30999755859375,183.6499938964844,141.7518310546875,729805.0,-22.505,1.1587,59.4409,0.2418,11.1215,17.513,5.1017,127.594,181.929,4.035,127.594,177.6718,201.4084,183.65,3.6998,0.86,17.513,63.3205,264631.0
2013-10-31,183.11000061035156,185.44000244140625,161.22999572753906,161.25,124.46223449707033,1222782.608695652,-28.393,1.1587,35.5577,0.2418,11.1215,17.513,5.1017,127.594,167.604,4.035,125.964,172.8508,196.672,161.48,3.6998,0.86,9.86,31.732,418192.0
2013-11-30,161.0,172.5800018310547,152.82000732421875,160.6999969482422,124.03770446777344,1123805.0,-31.715,1.1587,45.3732,0.2418,11.1215,17.513,5.1017,127.594,162.105,4.035,126.323,167.314,190.9259,160.7,3.6998,0.86,16.482,45.9075,77013.0
2013-12-31,161.10000610351562,178.67999267578125,155.8300018310547,177.4499969482422,136.96632385253906,806476.1904761905,-19.254,1.2933,67.2263,0.1598,11.4817,14.84,5.8335,127.032,173.065,3.9581,127.032,165.7704,186.148,177.45,3.592,0.91,14.84,71.5422,233655.0
2014-01-31,177.6300048828125,187.6699981689453,171.91000366210938,185.1999969482422,142.94825744628906,972404.7619047619,-12.717,1.2933,64.3048,0.1598,11.4817,14.84,5.8335,127.032,181.65,3.9581,129.9,172.2516,182.6134,185.2,3.592,0.91,8.833,66.7519,222568.0
2014-02-28,185.77999877929688,196.1999969482422,178.5800018310547,189.9600067138672,146.62228393554688,1003868.4210526316,-0.151,1.2933,56.512,0.1598,11.4817,14.84,5.8335,127.032,190.736,3.9581,130.478,181.6528,179.9221,189.96,3.592,0.91,9.528,53.9763,330559.0
2014-03-31,188.97000122070312,194.9900054931641,178.69000244140625,184.83999633789065,142.67031860351562,700542.8571428572,-6.113,1.2291,50.0805,0.1871,11.6657,14.418,5.0016,126.549,182.049,4.1318,126.549,186.0292,177.5611,184.84,3.628,0.83,14.418,53.0586,265092.0
2014-04-30,185.47999572753903,188.6199951171875,169.9499969482422,187.80999755859375,144.96275329589844,1049723.8095238095,-0.576,1.2291,64.857,0.1871,11.6657,14.418,5.0016,126.549,181.342,4.1318,126.407,183.742,176.7163,187.81,3.628,0.83,8.462,73.9592,255882.0
2014-05-31,188.0099945068359,200.4600067138672,182.2899932861328,198.75,153.40692138671875,698252.380952381,13.705,1.2291,67.9178,0.1871,11.6657,14.418,5.0016,126.549,196.689,4.1318,127.786,185.7668,177.5642,198.75,3.628,0.83,11.14,70.057,177545.0
2014-06-30,199.11000061035156,211.86000061035156,196.0,210.08999633789065,162.15982055664062,868633.3333333334,11.785,1.0907,72.3952,0.1251,15.1221,7.975,5.1565,127.65,208.789,5.6206,127.65,196.5568,181.0083,210.09,3.9013,0.22,7.975,73.7514,180615.0
2014-07-31,211.0099945068359,220.8500061035156,207.02999877929688,214.52000427246097,165.5791473388672,598522.7272727273,8.942,1.0907,58.3155,0.1251,15.1221,7.975,5.1565,127.65,214.756,5.6206,131.173,207.448,185.1425,214.52,3.9013,0.22,9.008,54.6738,372821.0
2014-08-31,213.55999755859375,224.47999572753903,207.5500030517578,218.2599945068359,168.46585083007812,463480.95238095237,6.126,1.0907,55.3894,0.1251,15.1221,7.975,5.1565,127.65,219.811,5.6206,122.914,213.6569,190.5323,218.26,3.9013,0.22,10.641,53.1314,162772.0
2014-09-30,217.6499938964844,221.38999938964844,205.5099945068359,212.47999572753903,164.00454711914062,610385.7142857143,8.993,1.1409,45.7015,0.2186,14.244,6.665,5.351,123.054,212.744,5.5732,123.054,215.6874,196.0134,212.48,4.3511,0.81,6.665,46.1909,207526.0
2014-10-31,212.41000366210935,212.41000366210935,189.5500030517578,208.8999938964844,167.5692138671875,894434.7826086957,6.967,1.1409,56.3922,0.2186,14.244,6.665,5.351,123.054,199.746,5.5732,123.228,208.9212,198.9549,208.9,4.3511,0.81,3.06,62.1497,259614.0
2014-11-30,208.83999633789065,229.16000366210935,208.0399932861328,227.1699981689453,182.2245178222656,567568.4210526316,4.673,1.1409,68.8896,0.2186,14.244,6.665,5.351,123.054,224.806,5.5732,114.602,209.9195,202.4663,227.17,4.3511,0.81,7.583,74.5501,106233.0
2014-12-31,227.1499938964844,235.83999633789065,217.67999267578125,226.72999572753903,181.8715362548828,559086.3636363636,4.925,1.0105,49.5316,0.4025,13.0064,6.211,5.082,114.136,230.486,-10.9764,114.136,220.4568,206.7794,226.73,5.4863,-6.42,6.211,43.9354,125685.0
2015-01-31,228.5099945068359,233.6000061035156,214.5500030517578,216.86000061035156,173.95433044433594,620785.0,1.108,1.0105,42.0153,0.4025,13.0064,6.211,5.082,114.136,223.3,-10.9764,114.492,225.3928,211.0013,216.86,5.4863,-6.42,5.692,39.3718,147772.0
2015-02-28,218.0500030517578,238.80999755859375,213.88999938964844,224.17999267578125,179.82606506347656,603231.5789473684,-1.502,1.0105,47.7231,0.4025,13.0064,6.211,5.082,114.136,229.0675,-10.9764,118.929,224.8973,214.8242,224.175,5.4863,-6.42,3.852,44.1577,206337.0
2015-03-31,224.92999267578125,244.97000122070312,219.3000030517578,232.8500061035156,188.13064575195312,1301922.7272727273,3.249,1.0363,52.684,0.2114,10.8819,1.493,4.8068,109.049,233.4865,-9.5958,109.049,227.7976,218.4276,232.85,6.0831,1.35,1.493,52.1418,280019.0
2015-04-30,233.30999755859375,262.0,230.61000061035156,255.92999267578125,206.77810668945312,634461.9047619047,11.715,1.0363,71.9845,0.2114,10.8819,1.493,4.8068,109.049,244.952,-9.5958,108.643,235.4284,221.7218,255.93,6.0831,1.35,3.622,76.974,533275.0
2015-05-31,258.92999267578125,270.5199890136719,256.0400085449219,268.07000732421875,217.95994567871097,828795.0,15.457,1.0363,64.6191,0.2114,10.8819,1.493,4.8068,109.049,266.653,-9.5958,116.686,248.8611,226.8268,268.07,6.0831,1.35,3.761,62.954,295758.0
2015-06-30,274.1300048828125,274.1300048828125,249.9600067138672,254.0,206.52001953125,721218.1818181818,10.968,0.9786,42.9663,0.2934,9.9843,4.566,4.9519,118.996,257.646,-7.2191,118.996,259.358,231.3725,254.0,6.5643,1.04,4.566,40.6856,338878.0
2015-07-31,255.5399932861328,288.1199951171875,251.4499969482422,278.9100036621094,226.77359008789065,566654.5454545454,16.503,0.9786,69.2633,0.2934,9.9843,4.566,4.9519,118.996,275.063,-7.2191,122.458,263.6754,237.7415,278.91,6.5643,1.04,6.315,71.2084,195548.0
2015-08-31,279.7699890136719,288.5,250.86000061035156,269.7699890136719,220.7169647216797,912480.9523809524,25.215,0.9786,47.9224,0.2934,9.9843,4.566,4.9519,118.996,269.641,-7.2191,129.383,268.785,245.1224,269.77,6.5643,1.04,3.064,47.8708,3663148.0
2015-09-30,265.0899963378906,294.489990234375,260.42999267578125,273.3999938964844,223.68695068359375,938047.619047619,28.631,0.8717,44.4376,0.3198,10.6711,5.317,4.9896,135.213,281.678,-8.7149,135.213,278.0404,250.8349,273.4,10.4608,0.72,5.317,40.2258,318214.0
2015-10-31,274.8599853515625,301.7699890136719,262.6000061035156,296.67999267578125,252.48814392089844,813613.6363636364,20.741,0.8717,61.5318,0.3198,10.6711,5.317,4.9896,135.213,294.728,-8.7149,133.14,279.7804,257.3255,296.68,10.4608,0.72,5.212,63.8063,203388.0
2015-11-30,297.7699890136719,304.7300109863281,282.79998779296875,296.5,252.33493041992188,789860.0,13.288,0.8717,53.2581,0.3198,10.6711,5.317,4.9896,135.213,295.258,-8.7149,131.918,287.956,264.5991,296.5,10.4608,0.72,5.019,52.8222,277459.0
2015-12-31,297.70001220703125,305.0,287.29998779296875,302.3999938964844,258.80828857421875,710890.9090909091,17.565,0.8332,57.1744,0.251,14.4708,7.448,4.7824,133.663,298.095,7.4877,133.663,296.1948,271.9993,302.4,6.8258,0.18,7.448,60.012,166460.0
2016-01-31,299.75,318.3599853515625,281.8500061035156,310.57000732421875,265.800537109375,1355378.9473684211,23.283,0.8332,57.8305,0.251,14.4708,7.448,4.7824,133.663,299.342,7.4877,130.661,299.0582,278.4056,310.57,6.8258,0.18,4.354,61.234,395538.0
2016-02-29,310.04998779296875,315.80999755859375,255.4499969482422,303.69000244140625,259.9123229980469,1244135.0,13.806,0.8332,55.4567,0.251,14.4708,7.448,4.7824,133.663,297.648,7.4877,119.718,298.2006,282.5917,303.69,6.8258,0.18,3.09,58.6325,402139.0
2016-03-31,306.239990234375,331.79998779296875,294.04998779296875,330.7099914550781,284.6456298828125,805631.8181818182,7.022,0.815,68.6719,0.2795,31.2485,4.627,8.5231,119.024,322.121,2.298,119.024,303.777,288.1077,330.71,4.7369,-0.46,4.627,75.6418,323145.0
2016-04-30,328.30999755859375,334.6199951171875,316.29998779296875,330.3500061035156,284.3357849121094,509514.28571428574,12.282,0.815,59.8875,0.2795,31.2485,4.627,8.5231,119.024,326.48,2.298,119.134,317.4414,295.3049,330.35,4.7369,-0.46,5.68,60.9827,219507.0
