Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,24.950000762939453,26.690000534057617,24.69499969482422,25.815000534057617,19.28351402282715,3003852.6315789474,9.6711,1.0076,58.4205,0.0147,8.5169,7.043,-0.2018,91.154,25.9355,27.8562,92.817,24.3544,22.052,51.63,8.8667,0.33,13.08,54.8723,563728.0
2013-03-31,25.78499984741211,26.174999237060547,24.864999771118164,25.665000915527344,19.171464920043945,2447090.0,10.5702,0.9776,54.0888,0.0195,4.8709,15.936,-0.3762,94.221,25.4098,27.0071,94.221,25.2803,22.4604,51.35,9.2808,0.37,15.936,54.9463,459313.0
2013-04-30,25.770000457763672,25.770000457763672,23.5049991607666,24.524999618530273,18.39358901977539,3556918.1818181816,1.4243,0.9776,47.7315,0.0195,4.8709,15.936,-0.3762,94.221,24.417,27.0071,94.959,25.1572,22.9859,49.05,9.2808,0.37,10.398,48.1268,843073.0
2013-05-31,24.469999313354492,26.559999465942383,23.86000061035156,26.09000015258789,19.567323684692383,3166963.6363636362,3.0668,0.9776,61.0163,0.0195,4.8709,15.936,-0.3762,94.221,25.821,27.0071,93.934,24.958,23.3808,52.18,9.2808,0.37,11.615,63.8594,644238.0
2013-06-30,26.229999542236328,26.239999771118164,22.19499969482422,22.895000457763672,17.171096801757812,3853860.0,-4.6393,0.9425,38.4687,0.0144,5.3058,8.016,-0.2937,94.257,22.9975,26.4953,94.257,24.5096,23.5861,45.85,7.9734,0.41,8.016,38.6439,1216197.0
2013-07-31,23.0,24.670000076293945,22.450000762939453,24.51499938964844,18.485177993774418,3578827.272727273,-13.7691,0.9425,63.1468,0.0144,5.3058,8.016,-0.2937,94.257,23.5165,26.4953,95.562,23.8876,23.7595,49.01,7.9734,0.41,13.048,70.7442,698206.0
2013-08-31,24.725000381469727,25.1299991607666,21.875,21.9950008392334,16.585002899169922,2763372.727272727,-18.406,0.9425,36.1781,0.0144,5.3058,8.016,-0.2937,94.257,22.269,26.4953,93.697,23.1825,23.8915,43.99,7.9734,0.41,13.75,33.2211,392648.0
2013-09-30,22.30500030517578,25.739999771118164,22.18000030517578,25.135000228881836,18.952672958374023,3209400.0,-10.2093,0.9123,61.9671,0.018,6.9585,14.264,-0.2193,93.348,25.085,26.252,93.348,23.8243,24.286,50.25,8.5261,0.4,14.264,62.9343,572859.0
2013-10-31,25.059999465942383,25.799999237060547,22.924999237060547,24.915000915527344,18.88138008117676,4008695.652173913,-7.0322,0.9123,52.0547,0.018,6.9585,14.264,-0.2193,93.348,24.93,26.252,93.144,24.4082,24.481,49.8,8.5261,0.4,14.876,51.1345,572280.0
2013-11-30,24.90999984741211,25.979999542236328,22.93000030517578,23.26499938964844,17.63096046447754,3970930.0,-13.9263,0.9123,42.4017,0.018,6.9585,14.264,-0.2193,93.348,23.3595,26.252,93.847,24.3602,24.3638,46.53,8.5261,0.4,15.132,41.3953,306292.0
2013-12-31,23.354999542236328,24.114999771118164,22.0049991607666,23.7549991607666,18.002296447753906,4007676.1904761903,-9.7327,0.9264,52.5353,0.0137,7.4647,11.853,-0.1417,92.636,23.544,26.9204,92.636,23.8398,24.1321,47.51,7.953,0.33,11.853,55.305,484334.0
2014-01-31,23.7549991607666,24.219999313354492,21.7549991607666,21.96500015258789,16.740013122558594,5960352.380952381,-9.7867,0.9264,35.5009,0.0137,7.4647,11.853,-0.1417,92.636,22.845,26.9204,92.539,23.3162,23.9393,43.93,7.953,0.33,9.036,30.065,836271.0
2014-02-28,21.8799991607666,23.834999084472656,21.239999771118164,23.594999313354492,17.98227882385254,4728389.47368421,-9.7268,0.9264,63.3511,0.0137,7.4647,11.853,-0.1417,92.636,22.9785,26.9204,101.776,22.986,23.7546,47.19,7.953,0.33,17.267,71.5216,1033693.0
2014-03-31,23.524999618530273,25.405000686645508,22.899999618530273,24.649999618530273,18.786306381225582,4166304.761904762,-10.8255,0.9758,59.26,0.0172,8.7031,15.152,-0.2241,95.042,24.6435,26.242,95.042,23.4051,23.6719,49.32,8.1301,0.38,15.152,58.4188,660044.0
2014-04-30,24.81999969482422,26.104999542236328,24.315000534057617,25.040000915527344,19.178422927856445,4916866.666666667,-5.988,0.9758,53.8422,0.0172,8.7031,15.152,-0.2241,95.042,24.9355,26.242,95.551,24.4985,23.8829,50.08,8.1301,0.38,17.334,53.4381,798373.0
2014-05-31,24.969999313354492,25.149999618530273,23.68000030517578,24.375,18.669095993041992,2747419.0476190476,-2.8931,0.9758,50.0923,0.0172,8.7031,15.152,-0.2241,95.042,24.2115,26.242,99.216,24.6595,23.9316,48.75,8.1301,0.38,26.301,52.862,533888.0
2014-06-30,24.420000076293945,25.489999771118164,24.3799991607666,24.7450008392334,18.95248031616211,2326285.714285714,-1.7958,0.987,50.6542,0.0153,12.0744,29.908,-0.0856,98.98,24.778,25.7975,98.98,24.6073,24.1175,49.49,7.8585,0.44,29.908,49.3067,476060.0
2014-07-31,24.78499984741211,25.11000061035156,22.075000762939453,22.18000030517578,17.08297348022461,5415300.0,-7.2345,0.987,27.2788,0.0153,12.0744,29.908,-0.0856,98.98,22.4678,25.7975,104.053,24.0435,23.927,44.35,7.8585,0.44,11.696,24.5515,1305094.0
2014-08-31,22.170000076293945,22.98500061035156,21.704999923706055,22.63999938964844,17.43726348876953,3198704.761904762,-8.0727,0.987,49.4668,0.0153,12.0744,29.908,-0.0856,98.98,22.677,25.7975,98.898,23.092,23.7035,45.28,7.8585,0.44,28.344,52.1019,324752.0
2014-09-30,22.69499969482422,23.709999084472656,22.36000061035156,22.450000762939453,17.290925979614258,2732980.9523809524,-12.7632,1.0219,42.6647,0.0123,14.2575,22.966,-0.0261,99.019,22.8053,26.0181,99.019,22.6362,23.6521,44.9,7.0073,0.45,22.966,39.2833,648334.0
2014-10-31,22.5,23.15999984741211,20.09000015258789,22.020000457763672,17.059879302978516,4589947.826086956,-17.1711,1.0219,54.449,0.0123,14.2575,22.966,-0.0261,99.019,21.3293,26.0181,99.597,22.2801,23.437,44.04,7.0073,0.45,16.555,60.8376,741372.0
