Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,101.88999938964844,107.5,101.4499969482422,105.43000030517578,92.36328887939452,2138657.8947368423,10.2362,1.0066,57.9535,0.0346,3.6823,1.847,-0.2357,86.672,105.414,11.0645,87.725,99.9666,91.6619,105.43,1.8557,1.14,3.363,54.6045,505067.0
2013-03-31,105.11000061035156,109.66000366210938,95.3000030517578,98.1999969482422,86.1409683227539,2850865.0,11.8994,1.0066,36.5978,0.0274,3.6823,0.799,-0.2357,86.442,100.752,11.0645,86.442,103.9066,93.3165,98.2,1.9313,1.14,0.799,33.4838,661540.0
2013-04-30,98.41000366210938,99.52999877929688,90.61000061035156,94.01000213623048,82.46549987792969,2381536.3636363638,-3.6958,1.0066,40.1957,0.0274,3.6823,0.799,-0.2357,86.442,93.475,11.0645,88.703,100.1982,93.9051,94.01,1.9313,1.14,1.478,42.9256,516996.0
2013-05-31,93.66000366210938,103.0500030517578,91.83999633789062,96.33999633789062,84.50939178466797,2693640.909090909,-6.2611,1.0249,44.091,0.0274,3.879,0.799,-0.411,86.442,98.591,9.7183,89.769,96.7206,94.8244,96.34,1.9313,0.96,1.564,39.0393,588250.0
2013-06-30,96.51000213623048,103.47000122070312,94.5999984741211,98.58000183105467,86.60758972167969,2490730.0,-5.2677,1.0249,51.6907,0.0368,3.879,1.375,-0.411,89.573,98.001,9.7183,89.573,97.4624,95.8052,98.58,1.7994,0.96,1.375,52.5672,843957.0
2013-07-31,98.72000122070312,108.9800033569336,97.54000091552734,106.0,93.12641143798828,3236954.5454545454,-7.253,1.0249,59.5243,0.0368,3.879,1.375,-0.411,89.573,105.951,9.7183,89.545,100.4782,97.6622,106.0,1.7994,0.96,1.973,59.8348,923297.0
2013-08-31,106.79000091552734,113.33999633789062,106.54000091552734,107.36000061035156,94.32125854492188,1737954.5454545454,-6.4449,1.0107,48.1815,0.0368,2.1497,1.375,-0.4461,89.573,109.218,9.7371,88.79,105.2042,99.5857,107.36,1.7994,1.54,3.577,42.2325,418996.0
2013-09-30,108.4499969482422,118.30999755859376,106.37999725341795,114.11000061035156,100.38957977294922,2235405.0,0.0241,1.0107,59.6808,0.0598,2.1497,2.014,-0.4461,88.173,114.523,9.7371,88.173,109.4682,101.8918,114.11,2.0466,1.54,2.014,59.4283,491486.0
2013-10-31,114.23999786376952,133.83999633789062,111.25,131.0,115.2487335205078,2385591.304347826,19.4071,1.0107,73.9059,0.0598,2.1497,2.014,-0.4461,88.173,130.647,9.7371,87.819,116.3498,105.1727,131.0,2.0466,1.54,1.788,72.5211,724125.0
2013-11-30,131.77000427246094,140.5500030517578,130.25,138.6999969482422,122.02288818359376,2685545.0,26.3512,0.9401,63.444,0.0598,2.665,2.014,-0.2064,88.173,137.341,10.3519,89.625,126.6824,108.4023,138.7,2.0466,1.7746,2.205,61.8322,308139.0
