Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,60.22999954223633,70.75,59.34000015258789,69.80999755859375,69.80999755859375,785263.1578947369,45.711,0.9273,76.872,0.0409,44.5612,2.224,4.8851,76.12,68.164,25.0628,100.958,59.5958,46.6824,69.81,4.9625,0.72,2.61,76.9518,212644.0
2013-03-31,69.56999969482422,77.45999908447266,67.33000183105469,76.66999816894531,76.66999816894531,863125.0,51.231,0.9156,74.6872,0.0453,32.4879,1.738,3.287,93.02,73.062,25.5922,93.02,66.6466,50.0612,76.67,6.3314,0.8,1.738,76.269,144317.0
2013-04-30,76.7300033569336,78.87000274658203,70.08999633789062,76.9000015258789,76.9000015258789,835454.5454545454,50.086,0.9156,57.5391,0.0453,32.4879,1.738,3.287,93.02,75.122,25.5922,97.24,73.1356,54.4696,76.9,6.3314,0.8,1.29,58.2519,221985.0
2013-05-31,76.58000183105469,88.83000183105469,74.66999816894531,87.08000183105469,87.08000183105469,970077.2727272727,41.412,0.9156,67.8073,0.0453,32.4879,1.738,3.287,93.02,84.066,25.5922,95.556,78.7414,59.5012,87.08,6.3314,0.8,0.796,71.0711,214403.0
2013-06-30,87.0999984741211,89.75,80.27999877929688,81.30000305175781,81.30000305175781,902905.0,44.524,0.9036,40.2171,0.0755,28.5467,0.882,2.9069,102.314,84.824,25.8523,102.314,82.6464,63.7881,81.3,6.3029,0.9,0.882,33.6612,714063.0
2013-07-31,81.55000305175781,91.62000274658205,81.0999984741211,89.7699966430664,89.7699966430664,489163.63636363635,32.932,0.9036,63.0663,0.0755,28.5467,0.882,2.9069,102.314,88.283,25.8523,103.031,85.818,68.3758,89.77,6.3029,0.9,2.011,66.3706,163435.0
2013-08-31,90.31999969482422,108.37999725341795,90.31999969482422,103.11000061035156,103.11000061035156,682781.8181818182,36.001,0.9036,65.909,0.0755,28.5467,0.882,2.9069,102.314,101.676,25.8523,100.502,91.77,74.1589,103.11,6.3029,0.9,1.067,63.9205,107100.0
2013-09-30,104.33000183105467,112.5,100.87999725341795,110.16000366210938,110.16000366210938,661280.0,36.766,0.862,64.9357,0.1207,20.4449,1.268,2.5401,96.419,110.461,25.0299,96.419,101.184,79.8472,110.16,7.6677,0.96,1.268,61.2801,141637.0
2013-10-31,110.37000274658205,120.51000213623048,98.41000366210938,115.3499984741211,115.3499984741211,894904.3478260869,32.229,0.862,60.6184,0.1207,20.4449,1.268,2.5401,96.419,111.147,25.0299,96.402,108.265,86.2625,115.35,7.6677,0.96,0.525,62.725,495738.0
2013-11-30,115.08000183105467,122.79000091552734,110.5,121.77999877929688,121.77999877929688,801065.0,29.714,0.862,66.2922,0.1207,20.4449,1.268,2.5401,96.419,119.38,25.0299,98.671,112.8596,91.8673,121.78,7.6677,0.96,0.399,70.8327,81993.0
2013-12-31,122.4000015258789,123.95999908447266,113.01000213623048,117.16999816894533,117.16999816894533,689957.1428571428,24.33,0.9341,48.8266,0.1344,26.1005,0.58,3.0565,94.602,117.483,26.3706,94.602,116.6126,97.0031,117.17,7.7475,0.83,0.58,47.7795,92128.0
2014-01-31,116.79000091552734,119.37999725341795,101.4800033569336,106.31999969482422,106.31999969482422,1201057.142857143,15.739,0.9341,41.2662,0.1344,26.1005,0.58,3.0565,94.602,106.125,26.3706,95.193,115.4576,100.7031,106.32,7.7475,0.83,0.189,42.5686,179509.0
2014-02-28,105.9800033569336,132.22000122070312,103.36000061035156,129.92999267578125,129.92999267578125,1185815.7894736843,7.307,0.9341,74.1994,0.1344,26.1005,0.58,3.0565,94.602,123.461,26.3706,99.294,114.957,104.5089,129.93,7.7475,0.83,0.505,81.298,132822.0
2014-03-31,127.66999816894533,131.19000244140625,112.08999633789062,115.0999984741211,115.0999984741211,912504.7619047619,0.441,1.0153,41.9547,0.1183,31.1163,0.708,2.5017,99.365,116.789,23.555,99.365,116.687,108.2244,115.1,6.9489,0.91,0.708,38.7816,184793.0
2014-04-30,115.3499984741211,118.3499984741211,106.12999725341795,114.12999725341795,114.12999725341795,829404.7619047619,-4.903,1.0153,50.5189,0.1183,31.1163,0.708,2.5017,99.365,112.843,23.555,99.904,117.9328,111.1688,114.13,6.9489,0.91,0.594,53.5701,196579.0
2014-05-31,113.6500015258789,128.72999572753906,113.5,126.41000366210938,126.41000366210938,799790.4761904762,-1.373,1.0153,62.4334,0.1183,31.1163,0.708,2.5017,99.365,124.218,23.555,102.658,117.5542,114.3972,126.41,6.9489,0.91,0.806,64.6281,213678.0
2014-06-30,126.41000366210938,134.02000427246094,125.16999816894533,131.8000030517578,131.8000030517578,593919.0476190476,3.104,1.0268,57.2163,0.0878,23.83,1.512,2.6042,101.891,132.349,23.1338,101.891,124.602,117.3985,131.8,7.4079,1.07,1.512,53.1814,102816.0
2014-07-31,132.02000427246094,138.19000244140625,125.0500030517578,132.7899932861328,132.7899932861328,488363.63636363635,10.423,1.0268,53.2446,0.0878,23.83,1.512,2.6042,101.891,132.51,23.1338,103.46,130.5576,119.8396,132.79,7.4079,1.07,0.88,51.9816,195996.0
2014-08-31,131.25999450683594,149.9199981689453,125.02999877929688,143.69000244140625,143.69000244140625,758623.8095238095,9.318,1.0268,58.3462,0.0878,23.83,1.512,2.6042,101.891,146.694,23.1338,103.861,135.2984,122.7914,143.69,7.4079,1.07,1.289,54.2463,114223.0
2014-09-30,143.3000030517578,146.2899932861328,137.14999389648438,142.1199951171875,142.1199951171875,601880.9523809524,11.412,1.014,52.5329,0.1386,31.1495,1.811,2.1656,103.934,141.097,22.616,103.934,139.6402,125.1229,142.12,7.5899,1.14,1.811,53.264,274745.0
2014-10-31,141.36000061035156,153.52000427246094,121.41999816894533,150.55999755859375,150.55999755859375,840239.1304347826,15.374,1.014,70.587,0.1386,31.1495,1.811,2.1656,103.934,139.505,22.616,103.273,139.5634,127.3977,150.56,7.5899,1.14,1.473,79.5706,243734.0
2014-11-30,151.9499969482422,160.39999389648438,146.13999938964844,151.88999938964844,151.88999938964844,619036.8421052631,12.893,1.014,58.6273,0.1386,31.1495,1.811,2.1656,103.934,152.214,22.616,112.477,142.2996,131.3394,151.89,7.5899,1.14,0.88,55.1422,103680.0
2014-12-31,151.35000610351562,153.8699951171875,135.35000610351562,148.7100067138672,148.7100067138672,725381.8181818182,5.977,1.2408,53.036,0.1491,47.4346,1.466,5.1233,112.98,148.885,18.1457,112.98,147.1338,133.9368,148.71,4.7609,1.25,1.466,54.1383,84871.0
2015-01-31,149.0399932861328,150.7100067138672,135.72999572753906,140.5,140.5,803800.0,4.513,1.2408,44.9883,0.1491,47.4346,1.466,5.1233,112.98,140.448,18.1457,113.05,145.8952,136.6532,140.5,4.7609,1.25,1.082,45.1794,206800.0
2015-02-28,141.0,158.4499969482422,138.35000610351562,153.42999267578125,153.42999267578125,718263.1578947369,0.908,1.2408,58.7347,0.1491,47.4346,1.466,5.1233,112.98,154.524,18.1457,103.664,146.6188,139.898,153.43,4.7609,1.25,2.78,56.5668,127657.0
2015-03-31,153.6999969482422,155.97000122070312,147.1199951171875,150.9199981689453,150.9199981689453,596554.5454545454,2.281,1.257,51.1396,0.1938,63.9042,1.854,4.9603,103.914,150.595,18.7032,103.914,149.1426,142.6099,150.92,4.9766,1.03,1.854,51.7064,225005.0
2015-04-30,151.02000427246094,165.6699981689453,150.13999938964844,160.88999938964844,160.88999938964844,530390.4761904762,7.368,1.257,59.4363,0.1938,63.9042,1.854,4.9603,103.914,160.5,18.7032,103.907,154.6458,145.3756,160.89,4.9766,1.03,2.638,57.2638,135221.0
2015-05-31,161.75,164.6199951171875,150.60000610351562,152.13999938964844,152.13999938964844,561850.0,-0.549,1.257,41.7712,0.1938,63.9042,1.854,4.9603,103.914,153.48,18.7032,94.612,155.0992,147.6114,152.14,4.9766,1.03,2.282,38.6864,158651.0
