Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,68.51000213623047,71.47000122070312,68.22000122070312,71.02999877929688,51.81669998168945,850252.6315789474,1.4357,0.9511,64.0241,0.0463,3.478,8.126,0.1069,83.038,69.781,22.5724,90.291,66.9342,63.4653,71.03,3.2901,1.03,4.96,65.0485,560574.0
2013-03-31,70.80000305175781,78.12000274658203,70.43000030517578,78.0,57.3243522644043,940210.0,12.574,0.9558,74.3519,0.0429,0.5505,6.882,0.0857,91.015,76.754,21.7243,91.015,71.242,64.7921,78.0,3.942,0.93,6.882,75.138,261714.0
2013-04-30,77.37000274658203,78.2699966430664,71.87000274658203,76.33000183105469,56.0970344543457,954618.1818181818,12.7817,0.9558,54.9158,0.0429,0.5505,6.882,0.0857,91.015,74.759,21.7243,92.604,74.7192,66.4835,76.33,3.942,0.93,5.418,57.1082,429707.0
2013-05-31,76.19000244140625,84.2699966430664,74.5199966430664,77.73999786376953,57.13328552246094,634063.6363636364,7.8029,0.9558,44.5584,0.0429,0.5505,6.882,0.0857,91.015,80.834,21.7243,82.478,77.5952,68.224,77.74,3.942,0.93,8.643,36.546,338120.0
2013-06-30,78.12999725341797,79.77999877929688,75.12000274658203,78.06999969482422,57.779781341552734,615085.0,6.7239,0.9583,51.5636,0.0595,10.1311,9.624,0.7386,82.245,77.528,23.1375,82.245,77.7382,69.6349,78.07,3.9326,1.4,9.624,53.6509,424741.0
2013-07-31,78.11000061035156,85.41000366210938,77.62000274658203,81.98999786376953,60.68096160888672,1159222.7272727273,11.2575,0.9583,52.6402,0.0595,10.1311,9.624,0.7386,82.245,81.892,23.1375,85.464,80.3222,71.9293,81.99,3.9326,1.4,8.61,49.5559,199418.0
2013-08-31,82.66000366210938,84.66999816894531,76.55000305175781,77.01000213623047,56.995262145996094,706386.3636363636,4.1906,0.9583,32.3634,0.0595,10.1311,9.624,0.7386,82.245,78.442,23.1375,84.648,81.0488,73.967,77.01,3.9326,1.4,10.081,26.8587,209491.0
2013-09-30,77.80000305175781,82.45999908447266,76.4000015258789,80.88999938964844,60.28749084472656,566155.0,-2.6973,1.0155,54.5158,0.0465,9.1672,13.541,0.524,84.456,80.983,22.4143,84.456,80.5208,75.6818,80.89,3.9855,1.12,13.541,56.1373,293220.0
2013-10-31,80.73999786376953,81.43000030517578,76.26000213623047,78.83000183105469,58.75214767456055,774400.0,-3.9825,1.0155,46.0331,0.0465,9.1672,13.541,0.524,84.456,78.777,22.4143,83.863,79.5488,77.4089,78.83,3.9855,1.12,7.71,45.2743,265694.0
2013-11-30,79.0199966430664,83.29000091552734,78.33999633789062,82.83999633789062,61.7408332824707,770640.0,-5.6782,1.0155,61.7755,0.0465,9.1672,13.541,0.524,84.456,81.953,22.4143,88.412,80.4098,78.7276,82.84,3.9855,1.12,8.587,65.4862,160163.0
2013-12-31,82.91000366210938,84.88999938964844,80.18000030517578,83.19000244140625,62.406375885009766,705342.8571428572,-6.503,0.9747,60.19,0.0487,12.7874,12.193,0.5373,83.153,82.33,21.5838,83.153,81.176,79.7531,83.19,3.8342,0.98,12.193,64.9676,125727.0
2014-01-31,83.0999984741211,84.80999755859375,81.0199966430664,82.25,61.70122146606445,824052.380952381,-7.7639,0.9747,47.3061,0.0487,12.7874,12.193,0.5373,83.153,83.129,21.5838,83.133,82.3768,80.3745,82.25,3.8342,0.98,7.223,45.0533,262293.0
2014-02-28,81.95999908447266,90.0,76.5,88.08999633789062,66.08220672607422,932194.7368421053,-3.5327,0.9747,66.2557,0.0487,12.7874,12.193,0.5373,83.153,86.998,21.5838,86.346,83.2982,81.1419,88.09,3.8342,0.98,6.17,70.5556,295809.0
2014-03-31,86.80000305175781,88.30999755859375,83.51000213623047,86.8499984741211,65.58081817626953,643247.619047619,-3.0973,0.9987,59.0138,0.0484,13.3205,8.237,0.7962,78.468,84.946,21.5912,78.468,84.6704,81.8442,86.85,3.9248,1.02,8.237,64.1293,264427.0
2014-04-30,86.7699966430664,89.05000305175781,83.72000122070312,87.12000274658203,65.78472900390625,738971.4285714285,0.7147,0.9987,54.7501,0.0484,13.3205,8.237,0.7962,78.468,86.717,21.5912,78.143,86.2512,82.4653,87.12,3.9248,1.02,6.3,56.3721,304591.0
2014-05-31,87.08000183105469,87.5,83.43000030517578,86.33000183105469,65.18820190429688,536747.619047619,-1.221,0.9987,55.1503,0.0484,13.3205,8.237,0.7962,78.468,85.321,21.5912,76.252,85.639,82.7452,86.33,3.9248,1.02,11.344,59.1856,137623.0
2014-06-30,86.37000274658203,87.94000244140625,84.80999755859375,87.80000305175781,66.74649047851562,502728.5714285714,-2.0423,1.0618,61.2802,0.0412,6.3218,10.576,0.683,75.839,86.849,20.5776,75.839,85.9216,83.5356,87.8,3.8236,1.29,10.576,66.1228,287603.0
2014-07-31,87.0,89.9000015258789,82.81999969482422,82.81999969482422,62.96065902709961,619627.2727272727,-3.8194,1.0618,32.3273,0.0412,6.3218,10.576,0.683,75.839,85.336,20.5776,80.415,86.3228,84.2082,82.82,3.8236,1.29,7.379,26.5776,261732.0
2014-08-31,82.73999786376953,88.45999908447266,82.1500015258789,87.73999786376953,66.70085906982422,506490.4761904762,-6.0281,1.0618,61.4459,0.0412,6.3218,10.576,0.683,75.839,87.446,20.5776,77.503,86.159,84.8308,87.74,3.8236,1.29,11.814,65.4546,146121.0
2014-09-30,87.94999694824219,90.1999969482422,86.4800033569336,87.70999908447266,67.1166763305664,464157.14285714284,-3.8389,1.0871,49.4476,0.0561,8.1586,10.624,0.8656,77.615,88.414,20.969,77.615,86.5114,85.4845,87.71,3.8395,1.25,10.624,46.1195,261810.0
2014-10-31,86.0,97.12999725341795,84.98999786376953,97.08000183105467,74.28669738769531,711239.1304347826,0.7575,1.0871,78.2266,0.0561,8.1586,10.624,0.8656,77.615,93.496,20.969,77.618,88.9626,86.3511,97.08,3.8395,1.25,7.085,85.136,369086.0
2014-11-30,96.95999908447266,103.54000091552734,96.3499984741211,102.77999877929688,78.6484146118164,572147.3684210526,8.4217,1.0871,79.4317,0.0561,8.1586,10.624,0.8656,77.615,101.029,20.969,78.299,93.5538,88.0594,102.78,3.8395,1.25,12.873,80.9696,114785.0
2014-12-31,102.62000274658205,109.0,101.37999725341795,106.56999969482422,82.00865173339844,557740.9090909091,14.855,1.034,63.6263,0.0564,8.6603,10.004,0.7945,78.277,106.765,21.391,78.277,100.9422,90.0096,106.57,4.942,1.08,10.004,59.3784,173999.0
2015-01-31,107.4000015258789,108.06999969482422,92.83000183105467,92.94000244140624,71.51995849609375,1262990.0,11.5638,1.034,27.6606,0.0564,8.6603,10.004,0.7945,78.277,96.926,21.391,78.519,101.718,91.3417,92.94,4.942,1.08,3.983,21.7701,1082856.0
2015-02-28,93.33999633789062,98.4800033569336,91.83999633789062,96.08000183105467,73.9363021850586,1132573.6842105263,6.0978,1.034,44.7696,0.0564,8.6603,10.004,0.7945,78.277,96.335,21.391,87.288,99.4858,92.3122,96.08,4.942,1.08,3.636,45.1833,180392.0
2015-03-31,96.1500015258789,97.29000091552734,91.73999786376952,93.19000244140624,72.17710876464844,649086.3636363636,2.362,1.0575,43.1461,0.0751,3.0664,3.259,0.8526,77.417,94.202,21.7212,77.417,95.4958,93.2706,93.19,4.4749,1.05,3.259,42.4347,426334.0
2015-04-30,92.81999969482422,94.41000366210938,89.47000122070312,89.8499984741211,69.59020233154297,687895.2380952381,-5.7943,1.0575,31.6203,0.0751,3.0664,3.259,0.8526,77.417,91.842,21.7212,77.65,93.7384,93.807,89.85,4.4749,1.05,3.316,24.6993,629853.0
2015-05-31,90.58999633789062,94.73999786376952,90.11000061035156,90.47000122070312,70.07042694091797,660530.0,-10.2178,1.0575,35.4715,0.0751,3.0664,3.259,0.8526,77.417,93.048,21.7212,76.826,92.906,94.645,90.47,4.4749,1.05,5.438,27.5545,363096.0
2015-06-30,90.54000091552734,92.9499969482422,89.16999816894531,89.52999877929688,69.81768035888672,526550.0,-15.0871,1.0003,37.7631,0.0431,0.8191,6.102,0.7139,76.813,91.481,21.0444,76.813,91.9636,95.0705,89.53,4.2008,1.28,6.102,33.5611,283619.0
2015-07-31,89.45999908447266,91.0199966430664,85.80000305175781,88.94999694824219,69.3653793334961,723913.6363636364,-12.4403,1.0003,48.811,0.0431,0.8191,6.102,0.7139,76.813,87.861,21.0444,76.92,90.3122,95.1874,88.95,4.2008,1.28,3.692,52.8413,291709.0
2015-08-31,88.7699966430664,89.45999908447266,78.76000213623047,83.48999786376953,65.10753631591797,581500.0,-8.3683,1.0003,40.1359,0.0431,0.8191,6.102,0.7139,76.813,83.692,21.0444,79.249,88.08,94.2828,83.49,4.2008,1.28,3.549,41.7622,221069.0
2015-09-30,82.05999755859375,86.25,80.48999786376953,82.88999938964844,65.1329574584961,654895.2380952381,-5.5923,0.982,45.7585,0.0331,-1.6083,4.977,0.3881,79.38,83.281,21.333,79.38,85.1362,92.3179,82.89,3.9781,1.24,4.977,46.1128,403943.0
2015-10-31,82.55999755859375,91.37999725341795,79.7699966430664,90.76000213623048,71.3169937133789,964422.7272727273,-3.539,0.982,68.3101,0.0331,-1.6083,4.977,0.3881,79.38,88.353,21.333,79.1,84.2268,90.3759,90.76,3.9781,1.24,3.84,73.5636,300070.0
2015-11-30,90.76000213623048,92.31999969482422,85.70999908447266,90.62999725341795,71.21485900878906,742970.0,-1.8436,0.982,58.1691,0.0331,-1.6083,4.977,0.3881,79.38,89.57,21.333,81.274,86.946,89.6839,90.63,3.9781,1.24,6.477,59.5308,232937.0
2015-12-31,91.02999877929688,91.41999816894533,83.0999984741211,85.88999938964844,67.95149993896484,590845.4545454546,-2.7867,1.0508,45.2207,0.0674,-3.6799,8.752,0.3565,82.496,85.759,21.8887,82.496,88.3512,88.7722,85.89,4.1153,1.07,8.752,44.8619,154941.0
2016-01-31,84.80999755859375,86.26000213623047,76.5,86.16999816894531,68.17300415039062,989678.947368421,-0.7035,1.0508,63.5748,0.0674,-3.6799,8.752,0.3565,82.496,80.766,21.8887,82.376,85.0384,87.5612,86.17,4.1153,1.07,7.043,74.162,490143.0
2016-02-29,83.38999938964844,93.13999938964844,82.02999877929688,90.1500015258789,71.32176971435547,1063425.0,9.6887,1.0508,59.7049,0.0674,-3.6799,8.752,0.3565,82.496,91.095,21.8887,91.157,84.837,87.1539,90.15,4.1153,1.07,4.691,57.2523,322083.0
2016-03-31,90.97000122070312,99.58999633789062,90.77999877929688,99.36000061035156,79.16815185546875,696231.8181818182,10.9843,1.0731,74.4098,0.0467,-0.476,5.378,0.4223,82.15,98.12,21.919,82.15,90.5534,87.6006,99.36,4.5969,1.06,5.378,77.9784,288301.0
2016-04-30,98.62999725341795,100.0,95.58000183105467,95.97000122070312,76.46708679199219,780909.5238095238,10.9374,1.0731,44.8823,0.0467,-0.476,5.378,0.4223,82.15,97.283,21.919,80.955,96.1036,88.3543,95.97,4.5969,1.06,4.747,39.1248,436598.0
2016-05-31,96.16000366210938,98.06999969482422,92.25,96.91999816894533,77.22403717041016,607300.0,7.99,1.0731,54.1109,0.0467,-0.476,5.378,0.4223,82.15,95.175,21.919,81.535,97.0424,89.1518,96.92,4.5969,1.06,6.681,57.9945,278568.0
2016-06-30,96.05999755859376,101.27999877929688,94.0999984741211,101.25,81.22555541992188,565318.1818181818,10.6464,1.0691,64.2736,0.0508,-1.0345,6.327,0.4381,80.31,97.943,21.5595,80.31,96.654,90.639,101.25,4.6792,1.28,6.327,68.2032,459763.0
2016-07-31,101.25,105.97000122070312,98.33000183105467,102.23999786376952,82.01976776123047,775915.0,13.0686,1.0691,56.048,0.0508,-1.0345,6.327,0.4381,80.31,100.85,21.5595,79.457,98.9152,92.4882,102.24,4.6792,1.28,5.007,56.5355,436500.0
