Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,27.969999313354492,31.694000244140625,27.711999893188477,30.964000701904297,27.050989151000977,6701763.157894737,3.281,0.9855,66.8009,0.0959,-0.9825,1.729,-0.6548,101.256,30.8944,16.3211,110.131,27.543,26.6202,154.82,2.4707,1.78,12.147,63.6841,128329.0
2013-03-31,30.86599922180176,32.762001037597656,30.461999893188477,32.61399841308594,28.49247932434082,3066500.0,8.862,1.0011,65.3042,0.0973,-3.6129,20.066,-0.6888,111.853,32.2448,15.2047,111.853,30.1739,27.3421,163.07,3.1844,1.86,20.066,64.4679,200305.0
2013-04-30,32.49399948120117,32.70399856567383,30.02400016784668,32.58599853515625,28.468015670776367,3043863.6363636362,10.229,1.0011,63.5581,0.0973,-3.6129,20.066,-0.6888,111.853,31.5146,15.2047,119.419,31.5701,27.8836,162.93,3.1844,1.86,18.963,70.1848,187779.0
2013-05-31,31.899999618530273,35.81999969482422,31.690000534057617,34.242000579833984,29.914745330810547,3663386.3636363638,12.005,1.0011,53.0977,0.0973,-3.6129,20.066,-0.6888,111.853,34.436,15.2047,119.378,32.8727,28.7504,171.21,3.1844,1.86,12.528,50.1986,210532.0
2013-06-30,34.284000396728516,36.82400131225586,32.59000015258789,35.551998138427734,31.059192657470703,3796850.0,19.135,1.0291,55.4554,0.1744,5.9186,12.283,-0.9217,119.362,35.424,15.2315,119.362,34.1471,29.5139,177.76,3.3623,2.11,12.283,55.4244,262157.0
2013-07-31,35.91999816894531,36.77799987792969,34.70800018310547,36.4900016784668,31.878660202026367,3149909.090909091,20.069,1.0291,59.7918,0.1744,5.9186,12.283,-0.9217,119.362,35.784,15.2315,119.414,35.1162,30.4796,182.45,3.3623,2.11,23.002,63.6509,176772.0
2013-08-31,36.801998138427734,37.75600051879883,35.7140007019043,35.95000076293945,31.406892776489254,2656500.0,9.502,1.0291,45.0529,0.1744,5.9186,12.283,-0.9217,119.362,36.4202,15.2315,120.407,36.0884,31.64,179.75,3.3623,2.11,22.736,40.1216,129624.0
2013-09-30,36.44599914550781,36.9900016784668,35.45199966430664,36.28400039672851,31.69869613647461,2744975.0,4.165,0.9913,50.8093,0.1571,4.5834,23.696,-1.0843,118.52,36.2354,14.7025,118.52,36.3451,32.6576,181.42,3.2696,1.94,23.696,52.1103,137249.0
2013-10-31,36.21799850463867,39.70600128173828,35.81999969482422,38.54600143432617,33.674842834472656,3596152.1739130435,11.329,0.9913,52.9586,0.1571,4.5834,23.696,-1.0843,118.52,39.0214,14.7025,118.549,37.3582,34.1744,192.73,3.2696,1.94,21.342,48.0242,163734.0
2013-11-30,38.93600082397461,43.625999450683594,38.44200134277344,42.65800094604492,37.2672004699707,4799350.0,9.724,0.9913,66.0749,0.1571,4.5834,23.696,-1.0843,118.52,42.309,14.7025,74.917,39.2589,35.4532,213.29,3.2696,1.94,1.592,65.0848,107849.0
2013-12-31,42.76599884033203,45.41400146484375,42.07400131225586,44.98400115966797,39.41650390625,4482166.666666667,12.334,0.9602,66.4005,0.248,65.4321,1.332,5.4735,74.667,44.8914,3.1764,74.667,41.9495,36.7849,224.92,2.0954,-1.85,1.332,64.7936,132953.0
2014-01-31,44.832000732421875,45.900001525878906,40.20199966430664,41.757999420166016,36.58976745605469,5460738.095238095,10.167,0.9602,42.4575,0.248,65.4321,1.332,5.4735,74.667,41.3806,3.1764,74.907,43.4087,37.9682,208.79,2.0954,-1.85,0.828,43.5882,267920.0
2014-02-28,41.63600158691406,43.96599960327149,40.58000183105469,41.76800155639648,36.59853744506836,4632894.736842105,6.289,0.9602,44.1881,0.248,65.4321,1.332,5.4735,74.667,42.462,3.1764,92.677,43.1624,38.8622,208.84,2.0954,-1.85,1.7,41.4496,200795.0
2014-03-31,41.48199844360352,43.86800003051758,39.06800079345703,39.56600189208984,34.777156829833984,4850642.857142857,2.84,0.9979,34.7355,0.1644,126.4205,1.12,3.4964,93.486,40.2664,4.5686,93.486,41.7064,39.5809,197.83,1.7623,2.28,1.12,30.9789,253900.0
2014-04-30,39.51800155639648,41.24599838256836,37.65999984741211,40.88800048828125,35.93915557861328,5017714.285714285,-5.716,0.9979,56.7206,0.1644,126.4205,1.12,3.4964,93.486,40.4522,4.5686,93.661,40.6948,40.0151,204.44,1.7623,2.28,2.151,62.0421,154609.0
