Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,47.81999969482422,48.1150016784668,45.375,46.060001373291016,46.060001373291016,725557.8947368421,-7.0013,0.9667,44.0388,0.2432,4.0159,15.624,-0.0412,110.063,45.9245,30.3226,114.863,47.1862,46.5874,92.12,7.9746,0.79,11.823,44.744,135009.0
2013-03-31,45.915000915527344,47.1349983215332,45.095001220703125,46.19499969482422,46.19499969482422,577320.0,-13.0466,0.9469,51.1038,0.2278,2.9224,17.885,0.1435,114.21,45.9565,30.4448,114.21,46.5466,46.9273,92.39,7.9681,0.82,17.885,53.6072,68934.0
2013-04-30,46.029998779296875,46.20000076293945,41.525001525878906,43.97999954223633,43.97999954223633,1190136.3636363635,-16.158,0.9469,45.105,0.2278,2.9224,17.885,0.1435,114.21,44.0525,30.4448,114.466,45.3277,46.7257,87.96,7.9681,0.82,4.785,46.3112,248233.0
2013-05-31,43.7599983215332,44.52000045776367,40.78499984741211,41.220001220703125,41.220001220703125,812263.6363636364,-20.999,0.9469,35.4562,0.2278,2.9224,17.885,0.1435,114.21,42.1545,30.4448,106.163,43.9412,46.4865,82.44,7.9681,0.82,9.299,31.4584,120540.0
2013-06-30,41.38999938964844,46.29999923706055,41.11000061035156,44.845001220703125,44.845001220703125,1039670.0,-18.7563,0.8889,58.404,0.1073,5.0452,9.585,0.4666,106.154,44.9695,32.4819,106.154,43.3545,46.1243,89.78,8.8389,1.01,9.585,58.8375,170325.0
2013-07-31,45.220001220703125,49.45000076293945,43.994998931884766,48.994998931884766,48.994998931884766,865000.0,-12.4032,0.8889,68.278,0.1073,5.0452,9.585,0.4666,106.154,48.4885,32.4819,103.396,45.0223,45.9085,97.99,8.8389,1.01,12.909,69.8585,78644.0
2013-08-31,49.14500045776367,50.185001373291016,46.849998474121094,46.90999984741211,46.90999984741211,421972.7272727273,-5.2004,0.8889,38.1319,0.1073,5.0452,9.585,0.4666,106.154,48.013,32.4819,110.382,47.4799,45.9959,93.82,8.8389,1.01,33.673,29.3595,76775.0
2013-09-30,47.130001068115234,50.17499923706055,46.04499816894531,49.82500076293945,49.82500076293945,470340.0,-2.267,0.8528,64.3184,0.1798,7.2342,21.978,0.5208,109.969,49.216,32.611,109.969,48.4973,46.2271,99.65,9.7896,0.87,21.978,68.4461,161401.0
2013-10-31,49.834999084472656,54.38999938964844,49.564998626708984,53.93000030517578,53.93000030517578,661956.5217391305,8.9143,0.8528,65.8796,0.1798,7.2342,21.978,0.5208,109.969,53.0275,32.611,112.211,50.2055,46.7722,107.86,9.7896,0.87,14.284,66.4287,110385.0
2013-11-30,54.0,56.55500030517578,51.88999938964844,52.08000183105469,52.08000183105469,619890.0,15.63,0.8528,40.9189,0.1798,7.2342,21.978,0.5208,109.969,52.9535,32.611,113.261,52.3317,47.3792,104.16,9.7896,0.87,16.117,32.2948,61721.0
2013-12-31,51.97999954223633,53.59000015258789,50.665000915527344,53.185001373291016,53.185001373291016,897961.9047619047,5.4401,0.9037,58.5743,0.1143,10.8078,6.431,0.6071,114.238,52.7125,32.5363,114.238,52.869,48.0423,106.37,10.6525,0.83,6.431,63.3044,88815.0
2014-01-31,52.994998931884766,57.5,52.31999969482422,57.130001068115234,57.130001068115234,631552.380952381,6.8759,0.9037,70.7947,0.1143,10.8078,6.431,0.6071,114.238,56.8855,32.5363,114.169,53.7121,49.1125,114.26,10.6525,0.83,9.714,72.6976,277869.0
2014-02-28,56.845001220703125,63.494998931884766,54.290000915527344,62.95000076293945,62.95000076293945,712336.8421052631,15.639,0.9037,71.1543,0.1143,10.8078,6.431,0.6071,114.238,62.751,32.5363,113.31,57.071,50.7746,125.9,10.6525,0.83,14.786,70.1505,100493.0
2014-03-31,62.345001220703125,64.63500213623047,60.025001525878906,60.70000076293945,60.70000076293945,608142.8571428572,15.4153,0.8456,42.7663,0.1864,8.4603,9.141,0.6962,105.474,61.1985,33.1493,105.474,60.7412,52.8632,121.4,12.207,0.9,9.141,34.9373,192855.0
2014-04-30,61.0,63.415000915527344,57.91999816894531,63.220001220703125,63.220001220703125,610314.2857142857,6.756,0.8456,66.6565,0.1864,8.4603,9.141,0.6962,105.474,60.729,33.1493,106.203,61.6244,54.4496,126.44,12.207,0.9,9.51,75.6104,103447.0
2014-05-31,63.224998474121094,66.69999694824219,62.834999084472656,64.23999786376953,64.23999786376953,541704.7619047619,13.8862,0.8456,56.2718,0.1864,8.4603,9.141,0.6962,105.474,64.008,33.1493,104.291,62.209,56.1082,128.48,12.207,0.9,10.836,54.9105,146424.0
2014-06-30,64.25,68.06500244140625,63.7599983215332,66.78500366210938,66.78500366210938,424828.5714285714,17.2278,0.7304,63.1041,0.1184,10.6469,9.83,0.8847,104.447,66.402,38.457,104.447,64.4794,57.9863,133.57,15.132,1.12,9.83,62.8488,113257.0
2014-07-31,66.78500366210938,70.0,62.220001220703125,62.2400016784668,62.2400016784668,756781.8181818182,8.9164,0.7304,31.9433,0.1184,10.6469,9.83,0.8847,104.447,64.8525,38.457,108.102,65.6931,59.7392,124.48,15.132,1.12,4.778,25.9594,165107.0
2014-08-31,62.21500015258789,64.54499816894531,60.77000045776367,61.98500061035156,61.98500061035156,804371.4285714285,-4.6637,0.7304,41.5538,0.1184,10.6469,9.83,0.8847,104.447,62.377,38.457,101.841,64.7938,60.7216,123.97,15.132,1.12,7.077,41.4021,135856.0
2014-09-30,62.150001525878906,63.880001068115234,56.744998931884766,58.915000915527344,58.915000915527344,1095828.5714285714,-8.4935,0.7072,39.9047,0.0933,13.3687,7.568,1.5779,102.246,58.926,52.1314,102.246,62.2237,61.5789,117.83,25.8223,1.04,7.568,41.1211,288097.0
