Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,31.719039916992188,32.49538040161133,30.8317928314209,31.88539695739746,16.234954833984375,1367898.5789473683,5.8475,0.9002,53.7691,0.0163,2.2417,5.676,8.2766,93.64,32.265,14.3349,102.906,31.1547,29.1861,34.5,5.1265,0.14,3.848,51.0279,655930.0
2013-03-31,31.765249252319336,33.89094161987305,31.63586044311523,33.5582275390625,17.21481704711914,1127092.3,8.4978,0.9227,63.1691,0.0181,0.0714,6.042,7.7934,101.963,33.563,11.4351,101.963,32.5425,29.983,36.31,6.1944,0.1,6.042,64.8699,463303.0
2013-04-30,33.50277328491211,35.0,32.92975997924805,34.99075698852539,17.949676513671875,907989.7272727273,1.5117,0.9227,62.826,0.0181,0.0714,6.042,7.7934,101.963,34.601,11.4351,103.188,33.5875,30.693,37.86,6.1944,0.1,8.122,65.0466,275693.0
2013-05-31,34.926063537597656,36.70055389404297,33.1053581237793,33.123844146728516,16.991987228393555,1033285.4090909091,-1.9186,0.9227,33.7193,0.0181,0.0714,6.042,7.7934,101.963,34.7688,11.4351,104.861,34.7705,31.5694,35.84,6.1944,0.1,5.806,26.2363,398875.0
2013-06-30,33.142330169677734,33.1700553894043,23.94639587402344,24.593345642089844,12.740753173828123,3382494.4,-15.9209,0.9541,19.9485,0.0131,0.2966,4.183,8.4702,104.92,25.5134,10.6949,104.92,32.1301,31.4784,26.61,4.696,0.14,4.183,19.5386,642324.0
2013-07-31,24.62107276916504,26.876155853271484,24.574861526489254,25.693161010742188,13.31052017211914,1314634.9545454546,-26.1574,0.9541,40.2002,0.0131,0.2966,4.183,8.4702,104.92,26.348,10.6949,104.749,27.9029,31.1581,27.8,4.696,0.14,8.314,40.8567,444307.0
2013-08-31,25.37892723083496,26.37707901000977,23.770795822143555,23.8447322845459,12.35293197631836,1318313.7727272727,-28.2294,0.9541,26.0278,0.0131,0.2966,4.183,8.4702,104.92,24.8699,10.6949,104.645,25.6601,30.4788,25.8,4.696,0.14,9.22,19.7995,392084.0
2013-09-30,23.98336410522461,26.913124084472656,23.59519386291504,24.97227478027344,13.060009956359863,2007218.15,-30.2895,1.0229,45.8834,0.0157,0.9609,4.468,8.2485,104.043,26.2128,6.4022,104.043,25.5229,30.0264,27.02,4.8774,0.02,4.468,42.2507,410417.0
2013-10-31,24.95378875732422,25.841035842895508,23.133087158203125,24.528650283813477,12.8280029296875,1662563.652173913,-35.4702,1.0229,49.9921,0.0157,0.9609,4.468,8.2485,104.043,24.8438,6.4022,103.531,24.8412,29.4151,26.54,4.8774,0.02,10.822,51.341,441954.0
2013-11-30,24.50092315673828,28.373382568359375,23.585952758789062,25.988908767700195,13.591686248779297,2213458.2,-32.7241,1.0229,54.2638,0.0157,0.9609,4.468,8.2485,104.043,26.8833,6.4022,102.893,25.2739,28.8038,28.12,4.8774,0.02,9.045,51.551,162682.0
2013-12-31,25.988908767700195,28.465803146362305,25.46210670471191,28.049907684326172,14.802330017089844,1457742.6666666667,-6.5106,1.2471,65.379,0.0154,1.2842,10.61,7.9819,102.862,27.9659,8.8225,102.862,26.3058,28.2319,30.35,5.5736,0.25,10.61,66.7797,268563.0
2014-01-31,27.96672821044922,28.170055389404297,24.31608009338379,24.40850257873535,12.880707740783691,2882932.3333333335,-8.9183,1.2471,25.7843,0.0154,1.2842,10.61,7.9819,102.862,25.4099,8.8225,102.575,26.6182,27.3963,26.41,5.5736,0.25,5.064,17.8012,854230.0
2014-02-28,24.47319793701172,26.977819442749023,23.798521041870117,25.13863182067871,13.266005516052246,1884348.5263157894,-7.1401,1.2471,41.201,0.0154,1.2842,10.61,7.9819,102.862,26.3955,8.8225,106.471,26.2594,26.4672,27.2,5.5736,0.25,6.564,35.5921,675434.0
2014-03-31,24.86136817932129,26.39556312561035,24.602588653564453,25.4805908203125,13.578052520751951,1449091.7142857143,-7.6203,1.2382,49.2505,0.0123,3.0916,8.187,9.1414,106.037,25.7148,11.0264,106.037,25.6835,25.7546,27.57,5.063,0.22,8.187,50.491,529246.0
