Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,48.7599983215332,55.900001525878906,46.97999954223633,54.59000015258789,40.44464111328125,24992027.272727273,54.59,6468059.0,11.3223,1.2992,0.9215,0.0114,1.61,2.1855,-5.0572,-5.0572,70.3305,69.8341,7.1328,44.9247,49.5654,53.773,78.726,77.342,1.766,1.674
2013-06-30,54.599998474121094,55.38999938964844,50.11000061035156,52.790000915527344,39.11106491088867,22010850.0,52.79,4926301.0,12.0036,1.3077,1.0088,0.0145,1.61,0.6134,10.0227,10.0227,49.3266,50.5804,9.2587,46.5027,51.6152,52.739,78.594,78.594,1.721,1.721
2013-07-31,53.220001220703125,56.93000030517578,52.119998931884766,55.72999954223633,41.59032440185547,18845636.363636363,55.73,4897801.0,12.0036,1.3077,1.0088,0.0145,1.61,0.6134,10.0227,10.0227,54.4278,57.3821,5.9018,48.0565,54.2326,56.169,78.849,78.594,2.405,1.721
2013-08-31,56.36000061035156,56.779998779296875,50.130001068115234,50.529998779296875,37.70967483520508,15628695.454545455,50.53,4848213.0,12.0036,1.3077,1.0088,0.0145,1.61,0.6134,10.0227,10.0227,22.3361,27.3383,-0.7796,49.3213,53.9908,51.432,79.172,78.594,2.393,1.721
2013-09-30,51.25,53.93000030517578,50.060001373291016,51.689998626708984,38.57535934448242,21743515.0,51.69,5515339.0,8.7552,1.3644,0.9952,0.0131,-0.17,-0.5255,-8.2557,-8.2557,44.9722,45.1336,-1.8801,50.4532,53.3728,52.135,78.221,78.221,1.909,1.909
2013-10-31,51.63999938964844,54.849998474121094,50.25,51.540000915527344,38.74678039550781,20968056.52173913,51.54,6177891.0,8.7552,1.3644,0.9952,0.0131,-0.17,-0.5255,-8.2557,-8.2557,34.2702,40.9343,0.0842,51.3736,52.3126,52.974,78.792,78.221,1.881,1.909
2013-11-30,51.45000076293945,58.13999938964844,51.29999923706055,57.220001220703125,43.016902923583984,18295640.0,57.22,2368783.0,8.7552,1.3644,0.9952,0.0131,-0.17,-0.5255,-8.2557,-8.2557,71.3209,68.9948,-2.7243,52.0998,53.4018,56.706,78.436,78.221,2.85,1.909
2013-12-31,57.099998474121094,58.54999923706055,55.400001525878906,58.47999954223633,43.964141845703125,15724676.19047619,58.48,3758209.0,8.3639,1.2788,1.0991,0.0107,1.31,-0.4683,-2.4995,-2.4995,69.1987,66.1759,-3.8801,52.904,55.4312,57.715,78.232,78.232,3.125,3.125
2014-01-31,58.310001373291016,59.81999969482422,54.689998626708984,55.36000061035156,41.89078903198242,20257900.0,55.36,4384994.0,8.3639,1.2788,1.0991,0.0107,1.31,-0.4683,-2.4995,-2.4995,34.7364,38.6687,-4.71,53.8697,57.2414,56.315,78.279,78.232,1.802,3.125
2014-02-28,55.5,58.650001525878906,54.20000076293945,56.81999969482422,42.995574951171875,18168584.210526317,56.82,4606006.0,8.3639,1.2788,1.0991,0.0107,1.31,-0.4683,-2.4995,-2.4995,45.6377,47.8717,-1.4008,54.6654,57.3246,57.441,84.685,78.232,2.375,3.125
2014-03-31,56.29999923706055,61.47999954223633,55.689998626708984,60.709999084472656,45.93912124633789,20278695.23809524,60.71,4286680.0,7.6087,1.2608,1.1238,0.0127,1.29,-0.6154,-8.238,-8.238,66.1257,63.381,1.917,55.225,57.622,59.921,77.689,77.689,1.964,1.964
