Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,42.150001525878906,43.43000030517578,39.9900016784668,39.9900016784668,28.279314041137695,13101045.454545455,39.99,7402957.0,26.4664,0.7035,5.5489,0.0122,0.39,1.5701,-0.9159,-0.9159,23.4167,31.71,-3.4278,38.7414,41.6452,41.882,70.361,71.255,2.089,2.031
2013-06-30,39.95000076293945,41.72999954223633,38.970001220703125,40.11000061035156,28.56022071838379,15290400.0,40.11,7390583.0,26.4498,0.7007,5.5439,0.0121,0.6,1.5804,-2.5678,-2.5678,45.7431,44.7246,-4.4244,38.9473,41.5152,40.086,70.168,70.168,1.966,1.966
2013-07-31,40.5,41.25,39.5,40.08000183105469,28.538864135742188,11860050.0,40.08,4958178.0,26.4498,0.7007,5.5439,0.0121,0.6,1.5804,-2.5678,-2.5678,34.9552,40.9298,-3.1239,39.2168,40.7454,40.672,70.565,70.168,2.022,1.966
2013-08-31,40.400001525878906,40.75,37.79999923706055,38.18000030517578,27.185964584350586,13490968.181818182,38.18,4182216.0,26.4498,0.7007,5.5439,0.0121,0.6,1.5804,-2.5678,-2.5678,29.5823,30.7283,-6.6834,39.4416,39.9402,38.344,69.995,70.168,2.266,1.966
2013-09-30,38.27000045776367,39.66999816894531,37.75,37.880001068115234,27.16851806640625,15048000.0,37.88,5909062.0,26.3016,0.7404,5.2262,0.011,0.55,1.4974,-2.5122,-2.5122,35.4468,38.5806,-10.081,39.5688,39.1984,38.76,69.867,69.867,2.385,2.385
2013-10-31,38.0,39.959999084472656,36.83000183105469,39.56999969482422,28.38062286376953,16477347.826086957,39.57,5108002.0,26.3016,0.7404,5.2262,0.011,0.55,1.4974,-2.5122,-2.5122,67.9961,63.3726,-16.0711,39.7125,38.4262,39.221,70.198,69.867,2.417,2.385
2013-11-30,39.56999969482422,40.880001068115234,39.220001220703125,40.189998626708984,29.027233123779297,13397510.0,40.19,3108207.0,26.3016,0.7404,5.2262,0.011,0.55,1.4974,-2.5122,-2.5122,57.827,60.4975,-12.1629,39.9577,39.0404,40.245,69.706,69.867,2.647,2.385
2013-12-31,40.099998474121094,41.38999938964844,38.869998931884766,41.310001373291016,29.836158752441406,14340214.285714285,41.31,4193135.0,25.581,0.8529,5.4991,0.0122,0.39,1.5947,-3.6229,-3.6229,74.6909,68.1157,-11.1391,40.1228,39.9322,40.292,69.82,69.82,3.093,3.093
2014-01-31,41.119998931884766,41.22999954223633,37.720001220703125,37.81999969482422,27.31549835205078,13780995.238095239,37.82,5053059.0,25.581,0.8529,5.4991,0.0122,0.39,1.5947,-3.6229,-3.6229,27.8311,32.1882,-10.3323,40.0043,39.862,38.867,69.868,69.82,3.021,3.093
2014-02-28,38.02000045776367,39.02000045776367,36.88999938964844,38.20000076293945,27.5899600982666,20275363.157894738,38.2,6166727.0,25.581,0.8529,5.4991,0.0122,0.39,1.5947,-3.6229,-3.6229,54.3349,49.4589,-10.8388,39.5845,39.0378,37.739,70.135,69.82,1.9,3.093
