Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,17.190000534057617,17.719999313354492,16.834999084472656,16.834999084472656,13.814495086669922,6630236.363636363,33.67,1325779.0,35.5017,0.7212,4.049,0.0129,0.93,2.3544,3.2066,3.2066,35.7411,43.086,17.3661,13.8947,16.8875,17.2265,91.226,94.01,3.142,2.604
2013-06-30,16.850000381469727,17.81999969482422,16.385000228881836,17.270000457763672,14.1714448928833,8855250.0,34.54,1715554.0,35.5017,0.7212,3.8998,0.0135,0.93,2.3544,3.2066,3.2066,51.7188,51.5826,13.7361,14.4985,17.2165,17.2405,91.759,91.759,2.436,2.436
2013-07-31,17.344999313354492,19.989999771118164,17.295000076293945,19.635000228881836,16.112119674682617,8095763.636363637,39.27,1453419.0,35.5017,0.7212,3.8998,0.0135,0.93,2.3544,3.2066,3.2066,66.927,68.7388,26.2993,15.2834,17.9631,19.623,91.641,91.759,2.266,2.436
2013-08-31,19.75,19.8799991607666,17.954999923706055,18.299999237060547,15.074686050415039,6385336.363636363,36.6,1073798.0,36.5512,0.7511,3.8998,0.0135,0.61,2.1087,4.4187,4.4187,32.0275,37.1171,21.4258,16.0192,18.8006,18.549,92.818,91.759,2.551,2.436
2013-09-30,18.485000610351562,20.709999084472656,18.354999542236328,20.170000076293945,16.61509895324707,8807570.0,40.34,1207017.0,36.5512,0.7511,4.3393,0.0116,0.61,2.1087,4.4187,4.4187,59.4746,61.5157,14.3332,16.7014,19.4006,20.3425,90.877,90.877,1.827,1.827
2013-10-31,20.174999237060547,21.924999237060547,19.860000610351562,21.420000076293945,17.644794464111328,5773547.826086956,42.84,1191884.0,36.5512,0.7511,4.3393,0.0116,0.61,2.1087,4.4187,4.4187,61.3233,63.4119,13.5671,17.5984,20.0345,21.444,91.056,90.877,2.525,1.827
2013-11-30,21.420000076293945,21.549999237060547,20.604999542236328,20.875,17.263818740844727,6438950.0,41.75,566523.0,35.6547,0.8608,4.3393,0.0116,0.58,2.2011,3.2008,3.2008,44.1252,47.3844,12.7788,18.3131,20.869,21.0,89.517,90.877,2.37,1.827
2013-12-31,20.864999771118164,21.125,19.43000030517578,19.764999389648438,16.3458309173584,7424571.428571428,39.53,579410.0,35.6547,0.8608,4.0968,0.0121,0.58,2.2011,3.2008,3.2008,32.3534,35.3275,3.8156,18.8649,20.7362,19.8815,89.972,89.972,3.571,3.571
2014-01-31,19.6299991607666,19.829999923706055,17.854999542236328,18.049999237060547,14.927515029907227,8860742.857142856,36.1,2238123.0,35.6547,0.8608,4.0968,0.0121,0.58,2.2011,3.2008,3.2008,30.1058,30.1467,-9.7709,19.1354,19.7257,18.1885,90.493,89.972,1.816,3.571
2014-02-28,18.049999237060547,20.979999542236328,17.565000534057617,20.969999313354492,17.41988182067871,8266757.894736842,41.94,1819288.0,31.6755,0.9321,4.0968,0.0121,0.82,3.0532,-3.7231,-3.7231,87.6316,78.5998,-8.6649,19.3029,19.1034,19.7085,90.624,89.972,2.615,3.571
2014-03-31,20.84000015258789,22.625,20.600000381469727,21.825000762939453,18.130128860473633,10279571.42857143,43.65,871881.0,31.6755,0.9321,4.1185,0.0141,0.82,3.0532,-3.7231,-3.7231,58.0351,62.8667,0.124,19.785,19.9944,21.8635,92.159,92.159,2.64,2.64
2014-04-30,21.864999771118164,23.020000457763672,21.665000915527344,23.020000457763672,19.122821807861328,7698133.333333333,46.04,1105927.0,31.6755,0.9321,4.1185,0.0141,0.82,3.0532,-3.7231,-3.7231,71.5529,67.9065,-1.1328,20.2701,21.738,22.5795,92.295,92.159,4.24,2.64
2014-05-31,23.05500030517578,23.950000762939453,22.655000686645508,23.8700008392334,19.899242401123047,6740523.80952381,47.74,887292.0,32.9586,0.9129,4.1185,0.0141,0.99,2.9811,9.881,9.881,68.0638,66.0921,4.6864,20.6633,22.6847,23.431,90.585,92.159,4.406,2.64
2014-06-30,23.899999618530273,25.100000381469727,23.385000228881836,24.71500015258789,20.603681564331055,6602314.285714285,49.43,995017.0,32.9586,0.9129,5.0481,0.0143,0.99,2.9811,9.881,9.881,61.8597,62.4313,12.3682,21.2364,23.5788,24.5095,95.352,95.352,2.795,2.795
