Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,55.099998474121094,57.099998474121094,53.150001525878906,53.15999984741211,41.93000793457031,6101300.0,53.16,2029404.0,31.061,0.6999,4.3097,0.0157,1.42,0.1505,0.0,0.0,31.6133,36.2667,-2.4258,51.447,55.8702,54.539,74.257,81.169,3.239,3.635
2013-06-30,53.08000183105469,53.41999816894531,48.68000030517578,49.119998931884766,38.743446350097656,5313045.0,49.12,3079823.0,33.232,0.7118,3.634,0.0141,1.12,0.1168,5.8743,5.8743,28.6521,30.2275,-8.1787,52.1599,53.6986,50.231,74.061,74.061,3.387,3.387
2013-07-31,49.349998474121094,53.97999954223633,49.27000045776367,53.11000061035156,41.89056396484375,4574190.909090909,53.11,1669497.0,33.232,0.7118,3.634,0.0141,1.12,0.1168,5.8743,5.8743,66.1344,61.0066,-13.5731,52.559,51.8324,52.063,74.12,74.061,3.927,3.387
2013-08-31,53.43000030517578,56.5,51.0,51.400001525878906,40.91270065307617,5900959.090909091,51.4,1253079.0,33.232,0.7118,3.634,0.0141,1.12,0.1168,5.8743,5.8743,31.1037,38.3558,-11.1707,52.8599,51.91,52.073,74.759,74.061,5.228,3.387
2013-09-30,51.77000045776367,54.25,50.06999969482422,50.33000183105469,40.06101608276367,4304095.0,50.33,1537300.0,29.0396,0.735,3.3578,0.0114,1.11,-0.0172,6.0496,6.0496,22.5087,30.2024,-12.7556,53.2932,52.7622,52.573,74.005,74.005,3.325,3.325
2013-10-31,50.40999984741211,51.13999938964844,47.529998779296875,49.81999969482422,39.65506362915039,6718782.608695652,49.82,1774206.0,29.0396,0.735,3.3578,0.0114,1.11,-0.0172,6.0496,6.0496,48.0911,46.8104,-19.75,53.1853,51.0422,50.099,73.902,74.005,3.538,3.325
2013-11-30,49.90999984741211,51.619998931884766,49.27000045776367,50.220001220703125,40.368595123291016,7470775.0,50.22,820075.0,29.0396,0.735,3.3578,0.0114,1.11,-0.0172,6.0496,6.0496,42.7308,46.2914,-14.7653,52.8853,50.2688,50.783,73.859,74.005,5.513,3.325
2013-12-31,50.29999923706055,51.380001068115234,48.880001068115234,51.0,40.99559020996094,4118490.476190476,51.0,899553.0,28.9216,0.8499,3.2589,0.0163,0.67,-0.0322,-2.4927,-2.4927,60.5399,57.1446,-11.6112,52.4182,50.3758,50.577,73.098,73.098,5.819,5.819
2014-01-31,50.970001220703125,55.790000915527344,50.52000045776367,54.0099983215332,43.41512680053711,6454342.857142857,54.01,1918722.0,28.9216,0.8499,3.2589,0.0163,0.67,-0.0322,-2.4927,-2.4927,55.9037,58.9334,-5.4498,52.0715,51.5754,54.517,72.853,73.098,3.348,5.819
2014-02-28,54.11000061035156,60.119998931884766,52.290000915527344,59.61000061035156,48.35124588012695,6033731.578947368,59.61,1444282.0,28.9216,0.8499,3.2589,0.0163,0.67,-0.0322,-2.4927,-2.4927,83.1656,77.528,-3.7267,52.0665,53.6198,57.787,81.048,73.098,3.577,5.819
