Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,13.710000038146973,14.5600004196167,13.399999618530273,14.170000076293945,12.817116737365723,7931995.454545454,14.17,2325080.0,5.4204,1.0215,1.41,0.0138,0.08,-0.0806,2.3302,2.3302,51.6417,54.923,31.0591,10.9599,13.5564,14.246,86.716,86.599,3.321,2.413
2013-06-30,14.180000305175781,14.279999732971191,12.789999961853027,12.890000343322754,11.692331314086914,7543725.0,12.89,2195872.0,5.5356,1.0354,1.373,0.011,0.31,-0.1868,0.5849,0.5849,23.6474,30.9719,18.4363,11.4102,13.8208,13.39,87.371,87.371,2.075,2.075
2013-07-31,12.960000038146973,14.020000457763672,12.579999923706055,13.829999923706055,12.544992446899414,5433454.545454546,13.83,1291669.0,5.5356,1.0354,1.373,0.011,0.31,-0.1868,0.5849,0.5849,62.8337,58.7712,6.7751,11.905,13.6424,13.806,87.582,87.371,2.452,2.075
2013-08-31,13.90999984741211,14.239999771118164,12.640000343322754,12.8100004196167,11.652844429016113,5409436.363636363,12.81,1140367.0,5.5356,1.0354,1.373,0.011,0.31,-0.1868,0.5849,0.5849,27.871,32.5392,5.1058,12.3987,13.402,13.021,87.429,87.371,2.483,2.075
2013-09-30,12.970000267028809,14.819999694824219,12.729999542236328,14.5600004196167,13.244763374328613,6230320.0,14.56,1808019.0,8.8477,0.9452,1.4662,0.0114,0.37,-0.1871,5.4769,5.4769,67.0354,66.4866,2.1374,12.8528,13.711,14.504,86.185,86.185,3.036,3.036
2013-10-31,14.579999923706055,17.34000015258789,14.479999542236328,17.219999313354492,15.66447925567627,6602430.434782608,17.22,1756887.0,8.8477,0.9452,1.4662,0.0114,0.37,-0.1871,5.4769,5.4769,89.0324,86.6102,9.1666,13.4487,14.6916,16.773,85.046,86.185,2.533,3.036
2013-11-30,17.260000228881836,18.979999542236328,17.200000762939453,18.59000015258789,16.91072654724121,7527260.0,18.59,874076.0,8.8477,0.9452,1.4662,0.0114,0.37,-0.1871,5.4769,5.4769,65.6466,70.5761,17.592,14.1194,16.5658,18.412,86.032,86.185,2.868,3.036
2013-12-31,18.6200008392334,19.0,17.729999542236328,18.84000015258789,17.17527961730957,5851328.571428572,18.84,986368.0,10.5248,0.9109,1.7893,0.0108,0.3,-0.1333,6.1107,6.1107,56.9763,58.2493,23.6258,14.814,18.0798,18.762,85.762,85.762,2.79,2.79
2014-01-31,18.850000381469727,22.100000381469727,18.780000686645508,20.950000762939453,19.098840713500977,9316019.047619049,20.95,2056794.0,10.5248,0.9109,1.7893,0.0108,0.3,-0.1333,6.1107,6.1107,52.8033,55.8562,40.0304,15.6294,19.4506,21.107,87.526,85.762,1.322,2.79
2014-02-28,20.979999542236328,22.6299991607666,20.229999542236328,22.440000534057617,20.45718002319336,8129573.684210527,22.44,2167922.0,10.5248,0.9109,1.7893,0.0108,0.3,-0.1333,6.1107,6.1107,71.9272,66.9006,47.5194,16.3631,20.5952,21.852,85.513,85.762,1.872,2.79
