Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,52.08100128173828,52.64899826049805,50.73600006103515,51.78200149536133,48.467044830322266,6389210.52631579,13.943,1.0073,51.2229,0.3309,9.6644,2.456,-1.6805,97.52,51.7809,43.16,106.28,51.3648,46.0415,517.82,8.8256,4.9,2.296,50.3167,223891.0
2013-03-31,51.5,54.19599914550781,50.81600189208984,54.112998962402344,50.648826599121094,5798300.0,9.344,0.9975,65.3034,0.2806,8.4187,2.339,-1.4795,105.835,52.3073,43.3582,105.835,52.1207,47.1787,541.13,9.8524,6.248,2.339,70.8201,326394.0
2013-04-30,54.24399948120117,55.292999267578125,51.85599899291992,55.292999267578125,51.81147003173828,5185318.181818182,4.026,0.9975,66.4236,0.2806,8.4187,2.339,-1.4795,105.835,53.1626,43.3582,107.174,52.6793,48.3332,552.93,9.8524,6.248,2.333,73.401,239878.0
2013-05-31,53.87699890136719,58.900001525878906,53.37900161743164,57.025001525878906,53.43441390991211,5503181.818181818,1.372,0.9975,56.27,0.2806,8.4187,2.339,-1.4795,105.835,57.6603,43.3582,98.877,54.6358,49.8614,570.25,9.8524,6.248,2.591,52.2964,202498.0
2013-06-30,57.13399887084961,59.18899917602539,55.70600128173828,57.45000076293945,53.83264923095703,6979100.0,2.949,0.9413,54.2951,0.4275,15.1648,1.475,-1.4568,98.477,57.3734,45.035,98.477,56.211,51.3025,574.5,9.9517,7.0,1.475,54.6719,394514.0
2013-07-31,57.86100006103515,62.62300109863281,56.70199966430664,61.06100082397461,57.27491760253906,7167818.181818182,1.556,0.9413,64.5513,0.4275,15.1648,1.475,-1.4568,98.477,59.8802,45.035,98.781,58.1748,52.8144,610.61,9.9517,7.0,1.403,67.9337,463847.0
2013-08-31,61.874000549316406,65.697998046875,60.35900115966797,60.608001708984375,56.85000991821289,6437000.0,9.583,0.9413,42.7522,0.4275,15.1648,1.475,-1.4568,98.477,61.6116,45.035,98.062,60.629,54.5786,606.08,9.9517,7.0,2.521,35.9609,180950.0
2013-09-30,61.20000076293945,69.5009994506836,61.04899978637695,67.27799987792969,63.106422424316406,6125000.0,16.172,1.0995,59.5486,0.7122,15.6413,2.848,-1.58,97.609,68.1143,42.5287,97.609,63.7752,56.435,672.78,10.5986,7.3,2.848,54.8241,143605.0
2013-10-31,67.44200134277344,73.78299713134766,64.74400329589844,71.70999908447266,67.32362365722656,5411869.565217392,19.739,1.0995,61.2062,0.7122,15.6413,2.848,-1.58,97.609,72.1631,42.5287,97.648,67.2142,58.6493,717.1,10.5986,7.3,2.701,57.6005,245778.0
2013-11-30,72.3949966430664,76.51499938964844,71.96299743652344,76.08100128173828,71.4272232055664,4496150.0,20.696,1.0995,68.0094,0.7122,15.6413,2.848,-1.58,97.609,75.3588,42.5287,96.417,71.3445,60.8954,760.81,10.5986,7.3,3.619,70.853,87265.0
