Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,103.4800033569336,107.02999877929688,101.45999908447266,106.12999725341795,97.44605255126952,1792747.3684210526,10.269,0.8069,61.8482,0.0355,0.8431,2.455,1.1609,90.808,103.93,21.185,98.516,102.084,93.4307,106.13,2.9921,1.27,1.646,64.3887,501864.0
2013-03-31,106.0199966430664,111.5500030517578,104.5199966430664,107.95999908447266,99.1263198852539,1548615.0,15.73,0.8044,54.1009,0.0306,-3.4039,3.136,0.9734,98.222,108.005,19.2504,98.222,105.863,95.5006,107.96,3.5563,1.12,3.136,51.1924,476459.0
2013-04-30,107.7699966430664,109.66999816894533,102.68000030517578,105.81999969482422,97.16143035888672,1096336.3636363635,7.75,0.8044,46.6734,0.0306,-3.4039,3.136,0.9734,98.222,105.714,19.2504,99.32,107.023,97.1042,105.82,3.5563,1.12,3.278,47.0534,481766.0
2013-05-31,105.80999755859376,119.31999969482422,105.19000244140624,113.86000061035156,104.5435791015625,1246786.3636363635,4.182,0.8044,51.7483,0.0306,-3.4039,3.136,0.9734,98.222,116.494,19.2504,94.554,110.1318,99.5699,113.86,3.5563,1.12,2.297,44.3408,534832.0
2013-06-30,114.27999877929688,117.20999908447266,109.81999969482422,114.5,105.31876373291016,1302240.0,2.634,0.8305,54.076,0.0594,5.0165,1.333,0.5249,93.712,113.255,18.9173,93.712,112.3872,102.1155,114.5,3.5316,1.86,1.333,55.2704,823017.0
2013-07-31,115.7699966430664,126.36000061035156,113.26000213623048,122.66000366210938,112.82445526123048,968318.1818181818,2.2,0.8305,65.8944,0.0594,5.0165,1.333,0.5249,93.712,120.587,18.9173,93.663,116.0204,105.5351,122.66,3.5316,1.86,1.37,66.8952,389965.0
2013-08-31,123.26000213623048,124.6500015258789,120.16999816894533,121.41000366210938,111.89627075195312,839095.4545454546,6.846,0.8305,49.0424,0.0594,5.0165,1.333,0.5249,93.712,121.95,18.9173,91.447,119.7222,108.9097,121.41,3.5316,1.86,1.413,43.9233,421143.0
2013-09-30,122.7699966430664,133.3300018310547,121.37999725341795,128.3000030517578,118.24634552001952,1064350.0,8.456,0.8291,56.5613,0.0727,10.8553,1.667,0.6747,90.42,129.789,17.6388,90.42,124.4526,112.2816,128.3,3.6716,1.76,1.667,51.5377,295690.0
2013-10-31,128.97000122070312,158.3800048828125,128.83999633789062,156.33999633789062,144.08909606933594,2241134.782608696,21.9,0.8291,81.2375,0.0727,10.8553,1.667,0.6747,90.42,149.417,17.6388,90.134,133.1818,117.1379,156.34,3.6716,1.76,1.055,83.6272,661299.0
2013-11-30,156.2899932861328,166.57000732421875,154.02000427246094,165.88999938964844,153.11436462402344,1390615.0,28.401,0.8291,75.9513,0.0727,10.8553,1.667,0.6747,90.42,162.192,17.6388,89.775,147.1918,122.7376,165.89,3.6716,1.76,2.069,77.1044,370227.0
2013-12-31,165.88999938964844,166.25,156.0,161.39999389648438,148.97012329101562,1285185.7142857143,26.486,0.7421,55.8934,0.0543,10.4087,1.694,0.9119,89.776,160.665,14.6976,89.776,158.636,128.3771,161.4,4.6188,0.28,1.694,55.8076,244448.0
2014-01-31,160.85000610351562,177.5,159.4499969482422,174.41000366210938,160.97817993164062,2691857.1428571427,30.678,0.7421,61.3933,0.0543,10.4087,1.694,0.9119,89.776,172.56,14.6976,90.401,164.725,134.8831,174.41,4.6188,0.28,0.995,60.3831,524859.0
2014-02-28,174.69000244140625,179.39999389648438,167.02000427246094,177.0500030517578,163.63963317871094,1557436.8421052631,30.838,0.7421,59.1646,0.0543,10.4087,1.694,0.9119,89.776,176.398,14.6976,89.866,169.703,141.15,177.05,4.6188,0.28,1.261,59.4968,541272.0
2014-03-31,175.33999633789062,188.02000427246097,171.58999633789062,176.57000732421875,163.19602966308594,1267771.4285714286,27.368,0.7369,47.005,0.1041,23.5532,1.653,2.0411,89.287,178.422,16.2006,89.287,176.5076,147.9921,176.57,4.7681,1.61,1.653,44.5318,326295.0
2014-04-30,177.25999450683594,178.2100067138672,162.89999389648438,169.19000244140625,156.3749542236328,1377590.4761904762,10.0,0.7369,44.5556,0.1041,23.5532,1.653,2.0411,89.287,169.798,16.2006,89.449,175.268,153.7857,169.19,4.7681,1.61,1.507,45.557,343553.0
2014-05-31,166.97000122070312,189.7400054931641,164.5800018310547,189.63999938964844,175.27593994140625,1556928.5714285714,4.204,0.7369,74.9304,0.1041,23.5532,1.653,2.0411,89.287,183.364,16.2006,90.32,174.1854,159.6068,189.64,4.7681,1.61,1.129,81.6275,481979.0
2014-06-30,189.83999633789065,192.02999877929688,181.27999877929688,186.2100067138672,172.32374572753906,1113433.3333333333,8.224,0.8133,54.2176,0.0932,34.8553,1.589,2.5242,89.485,186.189,15.1584,89.485,179.878,166.2715,186.21,4.8029,1.75,1.589,51.4456,371463.0
2014-07-31,186.5,195.88999938964844,185.66000366210935,191.86000061035156,177.55242919921875,991036.3636363636,2.694,0.8133,57.8791,0.0932,34.8553,1.589,2.5242,89.485,191.238,15.1584,92.193,187.9226,172.7278,191.86,4.8029,1.75,1.637,58.0111,434227.0
2014-08-31,193.0099945068359,196.44000244140625,185.83999633789065,195.02999877929688,180.71188354492188,926304.7619047619,1.966,0.8133,58.2578,0.0932,34.8553,1.589,2.5242,89.485,193.315,15.1584,89.824,190.4592,176.9853,195.03,4.8029,1.75,1.984,60.7309,243466.0
2014-09-30,195.0,200.0,190.3000030517578,194.6699981689453,180.3783264160156,839914.2857142857,1.943,0.8262,50.3348,0.1101,33.879,1.46,2.7203,89.55,195.362,15.4492,89.55,193.3732,180.5422,194.67,5.0482,2.02,1.46,48.6159,226145.0
2014-10-31,194.9199981689453,206.91000366210935,178.27999877929688,203.41000366210935,188.47666931152344,1294847.8260869565,11.506,0.8262,60.6554,0.1101,33.879,1.46,2.7203,89.55,199.441,15.4492,89.544,195.2732,184.27,203.41,5.0482,2.02,1.076,64.0502,492590.0
2014-11-30,204.0,211.25,198.16000366210935,210.7599945068359,195.5116424560547,873521.052631579,6.316,0.8262,65.0499,0.1101,33.879,1.46,2.7203,89.55,207.172,15.4492,89.197,199.1512,187.3395,210.76,5.0482,2.02,1.652,68.4862,206714.0
2014-12-31,210.36000061035156,214.3699951171875,201.30999755859375,207.5800018310547,192.5616912841797,857881.8181818182,6.995,0.8853,48.7745,0.1544,35.3798,1.422,1.4917,89.119,209.649,20.0339,89.119,206.0318,190.6497,207.58,5.2988,2.03,1.422,44.8952,208627.0
2015-01-31,209.05999755859375,222.92999267578125,205.72000122070312,212.6499938964844,197.2649078369141,1002205.0,9.329,0.8853,47.5143,0.1544,35.3798,1.422,1.4917,89.119,216.741,20.0339,89.135,211.2532,194.7498,212.65,5.2988,2.03,1.38,41.9913,352814.0
2015-02-28,212.8300018310547,231.5500030517578,209.0,228.6999969482422,212.375732421875,1158594.7368421052,9.806,0.8853,64.1705,0.1544,35.3798,1.422,1.4917,89.119,227.887,20.0339,95.545,216.762,199.8418,228.7,5.2988,2.03,1.837,65.3068,187525.0
2015-03-31,228.6999969482422,232.69000244140625,218.0,226.1999969482422,210.05413818359375,885381.8181818182,11.063,0.8937,50.1162,0.1941,18.7487,1.199,1.447,89.533,227.631,17.866,89.533,223.7692,204.4728,226.2,6.5829,0.57,1.199,47.6473,294076.0
2015-04-30,226.02999877929688,231.8999938964844,219.5099945068359,223.3999938964844,207.45399475097656,1015280.9523809524,6.718,0.8937,42.2218,0.1941,18.7487,1.199,1.447,89.533,228.262,17.866,89.355,226.7852,208.521,223.4,6.5829,0.57,1.073,36.1562,268263.0
2015-05-31,224.3300018310547,243.61000061035156,221.0399932861328,237.22999572753903,220.29684448242188,1020620.0,10.228,0.8937,57.3136,0.1941,18.7487,1.199,1.447,89.533,239.926,17.866,90.202,229.4688,212.8305,237.23,6.5829,0.57,1.133,54.2544,348679.0
2015-06-30,237.42999267578125,239.19000244140625,223.0,224.80999755859375,208.9749298095703,889068.1818181818,9.255,0.8752,31.093,0.1254,9.3615,1.337,1.2296,89.755,231.382,18.4948,89.755,232.884,217.1903,224.81,5.8995,2.49,1.337,23.0207,384119.0
2015-07-31,226.8999938964844,236.86000061035156,215.6000061035156,220.57000732421875,205.03363037109375,1226322.7272727273,2.812,0.8752,37.2084,0.1254,9.3615,1.337,1.2296,89.755,227.459,18.4948,89.775,231.9998,220.8992,220.57,5.8995,2.49,1.28,34.5786,456647.0
2015-08-31,221.5399932861328,224.72999572753903,160.10000610351562,197.5800018310547,183.92193603515625,1670423.8095238095,-3.934,0.8752,33.4327,0.1254,9.3615,1.337,1.2296,89.755,202.542,18.4948,90.295,221.1882,222.1483,197.58,5.8995,2.49,0.983,34.1328,519741.0
2015-09-30,195.0,208.02999877929688,182.66000366210935,185.02999877929688,172.23951721191406,1946542.857142857,-7.646,0.932,29.795,0.1837,10.4189,1.37,0.9597,90.438,195.046,20.2833,90.438,206.8894,220.8241,185.03,4.8932,2.66,1.37,24.9406,448214.0
2015-10-31,184.7599945068359,196.67999267578125,169.0,178.8000030517578,166.44012451171875,2298050.0,-14.004,0.932,38.3794,0.1837,10.4189,1.37,0.9597,90.438,185.788,20.2833,89.903,192.4774,218.2996,178.8,4.8932,2.66,0.87,36.737,646606.0
2015-11-30,179.91000366210938,191.91000366210935,178.8000030517578,189.3500061035156,176.5215301513672,1743195.0,-19.986,0.932,54.0055,0.1837,10.4189,1.37,0.9597,90.438,188.092,20.2833,90.05,187.5296,215.0438,189.35,4.8932,2.66,1.407,57.3207,332379.0
2015-12-31,190.1499938964844,202.1999969482422,185.9199981689453,197.22999572753903,183.86767578125,1524154.5454545454,-14.853,0.8555,58.7549,0.1319,3.0441,1.531,2.169,90.834,197.249,21.8151,90.834,188.6026,211.3064,197.23,5.1132,2.76,1.531,58.0622,267131.0
2016-01-31,193.58999633789065,196.83999633789065,152.22000122070312,160.97999572753906,150.07362365722656,2951147.3684210526,-17.309,0.8555,30.2033,0.1319,3.0441,1.531,2.169,90.834,167.425,21.8151,99.045,184.5026,206.2678,160.98,5.1132,2.76,1.461,27.4044,661597.0
2016-02-29,159.8000030517578,160.4499969482422,148.2899932861328,155.6199951171875,145.3386993408203,2037360.0,-21.388,0.8555,42.8593,0.1319,3.0441,1.531,2.169,90.834,155.125,21.8151,98.282,170.4612,198.9321,155.62,5.1132,2.76,1.33,47.8746,787520.0
2016-03-31,154.67999267578125,167.1300048828125,149.60000610351562,157.25,146.86099243164062,1509722.7272727273,-21.369,0.9413,47.9214,0.1494,3.9021,1.342,1.1073,90.539,156.617,26.6824,90.539,158.3654,190.2612,157.25,4.0279,1.9,1.342,48.4008,346899.0
