Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,110.16000366210938,120.69999694824219,106.38999938964844,111.16999816894531,111.16999816894531,860181.8181818182,111.17,225686.0,7.1902,1.2495,2.1063,0.0938,0.73,2.0002,5.5201,5.5201,34.3112,40.9297,15.38,95.0791,113.6158,114.632,101.231,111.3,1.265,1.748
2013-06-30,111.58999633789062,117.4800033569336,103.73999786376953,112.48999786376953,112.48999786376953,791640.0,112.49,288195.0,7.1781,1.3032,1.9909,0.1088,1.17,3.9031,34.461,34.461,54.1028,51.9935,13.39,98.8037,112.8648,111.428,101.779,101.779,1.239,1.239
2013-07-31,112.8499984741211,120.11000061035156,108.88999938964844,118.98999786376953,118.98999786376953,722927.2727272727,118.99,252149.0,7.1781,1.3032,1.9909,0.1088,1.17,3.9031,34.461,34.461,65.4696,61.2589,5.1,102.7533,112.977,116.549,101.741,101.779,1.611,1.239
2013-08-31,119.9800033569336,134.2100067138672,117.22000122070312,117.48999786376953,117.48999786376953,828722.7272727273,117.49,206361.0,7.1781,1.3032,1.9909,0.1088,1.17,3.9031,34.461,34.461,37.5146,42.6196,7.123,107.2971,118.5232,121.559,98.707,101.779,2.018,1.239
2013-09-30,118.86000061035156,134.75,115.98999786376953,130.25,130.25,718280.0,130.25,180638.0,8.0946,1.3595,2.1841,0.1353,1.64,3.7058,33.1215,33.1215,60.1578,59.4347,4.282,111.5984,124.0314,130.324,98.27,98.27,1.84,1.84
2013-10-31,130.08999633789062,135.16000366210938,119.58999633789062,132.4199981689453,132.4199981689453,1020108.695652174,132.42,200586.0,8.0946,1.3595,2.1841,0.1353,1.64,3.7058,33.1215,33.1215,61.6253,59.0119,5.064,116.0933,127.2018,130.039,98.065,98.27,0.917,1.84
2013-11-30,137.0,145.33999633789062,132.05999755859375,140.02000427246094,140.02000427246094,695175.0,140.02,60486.0,8.0946,1.3595,2.1841,0.1353,1.64,3.7058,33.1215,33.1215,52.3663,55.8664,10.89,119.7865,133.2374,141.508,101.388,98.27,2.791,1.84
2013-12-31,140.33999633789062,149.00999450683594,134.0399932861328,148.89999389648438,148.89999389648438,1087961.9047619049,148.9,175167.0,8.5271,1.4007,2.4241,0.104,1.3,4.2005,34.0224,34.0224,68.334,64.5434,14.723,123.2779,138.884,145.245,101.426,101.426,1.151,1.151
2014-01-31,148.72000122070312,155.47999572753906,138.41000366210938,142.17999267578125,142.17999267578125,879814.2857142857,142.18,227725.0,8.5271,1.4007,2.4241,0.104,1.3,4.2005,34.0224,34.0224,40.2099,44.0827,14.863,126.8147,143.6328,143.965,101.886,101.426,1.783,1.151
2014-02-28,142.07000732421875,148.42999267578125,137.22000122070312,141.52999877929688,141.52999877929688,1160805.2631578948,141.53,231821.0,8.5271,1.4007,2.4241,0.104,1.3,4.2005,34.0224,34.0224,43.7546,45.4887,6.399,129.6269,144.9538,143.404,111.223,101.426,1.039,1.151
2014-03-31,140.02999877929688,145.50999450683594,132.8699951171875,135.97999572753906,135.97999572753906,981680.9523809524,135.98,232158.0,9.2438,1.3651,2.2044,0.1075,1.11,4.855,21.9449,21.9449,39.3385,40.3008,-0.602,132.5189,142.139,137.748,109.54,109.54,1.392,1.392
2014-04-30,136.8000030517578,139.89999389648438,128.5399932861328,132.41000366210938,132.41000366210938,881295.2380952381,132.41,210280.0,9.2438,1.3651,2.2044,0.1075,1.11,4.855,21.9449,21.9449,39.6167,41.7416,-3.665,134.8639,138.161,135.036,109.021,109.54,2.059,1.392
2014-05-31,132.30999755859375,143.5,131.19000244140625,135.66000366210938,135.66000366210938,834957.1428571428,135.66,207698.0,9.2438,1.3651,2.2044,0.1075,1.11,4.855,21.9449,21.9449,49.7295,49.6342,-7.601,136.4112,135.5516,135.101,109.962,109.54,2.031,1.392
2014-06-30,135.92999267578125,138.77000427246094,129.7899932861328,138.33999633789062,138.33999633789062,726866.6666666666,138.34,170726.0,10.2177,1.3258,2.1599,0.0974,2.1,4.6291,3.6405,3.6405,71.8843,62.8433,-12.326,137.747,135.3692,134.826,109.488,109.488,2.337,2.337
2014-07-31,138.39999389648438,141.0,123.80999755859375,124.7699966430664,124.7699966430664,1012272.7272727273,124.77,161556.0,10.2177,1.3258,2.1599,0.0974,2.1,4.6291,3.6405,3.6405,24.0264,29.5638,-16.506,138.0047,133.7674,129.224,111.744,109.488,2.31,2.337
2014-08-31,130.3000030517578,147.64999389648438,126.27999877929688,146.02000427246094,146.02000427246094,917019.0476190476,146.02,87335.0,10.2177,1.3258,2.1599,0.0974,2.1,4.6291,3.6405,3.6405,76.1177,72.1508,-10.567,138.7821,135.4978,145.652,108.304,109.488,3.753,2.337
2014-09-30,146.05999755859375,149.83999633789062,134.58999633789062,134.82000732421875,134.82000732421875,687152.380952381,134.82,154741.0,10.7867,1.3492,2.1484,0.0876,2.08,4.3802,1.4847,1.4847,24.8437,32.8097,-4.839,138.914,138.4724,138.04,107.659,107.659,2.329,2.329
2014-10-31,134.6699981689453,147.02999877929688,120.37000274658203,142.0399932861328,142.0399932861328,854173.9130434783,142.04,335129.0,10.7867,1.3492,2.1484,0.0876,2.08,4.3802,1.4847,1.4847,71.5105,64.6327,-5.503,137.3223,137.8892,135.232,107.34,107.659,2.408,2.329
2014-11-30,142.44000244140625,155.07000732421875,138.22000122070312,153.58999633789062,153.58999633789062,632326.3157894737,153.59,73013.0,10.7867,1.3492,2.1484,0.0876,2.08,4.3802,1.4847,1.4847,75.9734,72.5268,-1.316,137.4675,137.9992,148.59,108.857,107.659,2.126,2.329
2014-12-31,152.38999938964844,158.5800018310547,143.22000122070312,155.36000061035156,155.36000061035156,694245.4545454546,155.36,79912.0,11.9825,1.2355,2.5634,0.143,2.01,3.2552,1.421,1.421,56.699,57.8046,8.667,138.7421,147.5582,154.673,107.758,107.758,1.754,1.754
2015-01-31,156.66000366210938,170.05999755859375,151.14999389648438,165.0399932861328,165.0399932861328,944515.0,165.04,104603.0,11.9825,1.2355,2.5634,0.143,2.01,3.2552,1.421,1.421,52.876,56.3115,20.701,141.4313,156.861,167.183,97.705,107.758,2.272,1.754
2015-02-28,166.9600067138672,187.4499969482422,162.41000366210938,184.35000610351562,184.35000610351562,805968.4210526316,184.35,479852.0,11.9825,1.2355,2.5634,0.143,2.01,3.2552,1.421,1.421,73.7617,71.9562,17.348,145.0149,164.9884,179.618,98.565,107.758,1.342,1.754
2015-03-31,184.35000610351562,188.2899932861328,175.67999267578125,185.75,185.75,644763.6363636364,185.75,118045.0,11.9825,1.2355,3.0696,0.1891,2.01,3.2552,1.421,1.421,67.8286,63.7605,23.614,150.1665,176.1778,181.693,99.658,99.658,2.821,2.821
