Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,104.77999877929688,112.37999725341797,104.41999816894531,110.2699966430664,77.40814208984375,2832872.727272727,110.27,1405992.0,25.9631,0.9841,4.0567,0.0184,1.63,0.0198,1.977,1.977,49.8537,54.591,4.309,98.4056,107.657,111.1,73.718,78.425,4.069,4.214
2013-06-30,110.69999694824219,113.25,107.1500015258789,109.3499984741211,76.76233673095703,2664805.0,109.35,1361177.0,26.1245,0.9674,4.222,0.0263,1.74,0.0264,2.8935,2.8935,46.9946,48.2127,4.601,100.1528,109.2526,109.983,73.677,73.677,4.26,4.26
2013-07-31,108.37000274658203,118.5999984741211,108.20999908447266,117.43000030517578,82.43437957763672,2387259.090909091,117.43,1031986.0,26.1245,0.9674,4.222,0.0263,1.74,0.0264,2.8935,2.8935,75.1014,70.1013,3.501,102.4737,112.1164,116.537,73.711,73.677,5.198,4.26
2013-08-31,118.37999725341797,119.26000213623047,112.36000061035156,113.58000183105469,80.17280578613281,2002154.5454545454,113.58,965246.0,26.1245,0.9674,4.222,0.0263,1.74,0.0264,2.8935,2.8935,37.0722,40.7956,2.258,105.2834,114.5044,114.048,74.39,73.677,5.766,4.26
2013-09-30,114.56999969482422,122.2699966430664,112.8499984741211,119.41000366210938,84.28804016113281,2660875.0,119.41,843874.0,25.6603,0.9098,4.586,0.0257,1.81,0.1652,5.5889,5.5889,51.7213,55.6404,3.584,108.1088,117.1892,120.52,73.842,73.842,3.689,3.689
2013-10-31,119.69000244140625,126.37999725341797,116.6500015258789,125.8499984741211,88.83384704589844,2363313.0434782607,125.85,1253841.0,25.6603,0.9098,4.586,0.0257,1.81,0.1652,5.5889,5.5889,73.9063,69.9979,5.25,111.229,119.297,124.184,73.738,73.842,4.513,3.689
2013-11-30,126.76000213623047,134.16000366210938,124.86000061035156,133.50999450683594,94.70323181152344,2291395.0,133.51,648659.0,25.6603,0.9098,4.586,0.0257,1.81,0.1652,5.5889,5.5889,85.9096,81.5922,7.925,114.0425,124.4962,131.097,73.321,73.842,4.473,3.689
2013-12-31,131.6699981689453,140.42999267578125,125.1500015258789,140.25,99.48411560058594,3494380.9523809524,140.25,723061.0,26.5644,0.9408,5.3308,0.0178,1.65,0.2096,2.4638,2.4638,85.8477,79.3714,7.272,116.9547,129.5138,137.142,73.178,73.178,2.089,2.089
2014-01-31,138.0500030517578,139.2899932861328,126.41999816894531,128.19000244140625,90.92955780029297,2874733.3333333335,128.19,1049855.0,26.5644,0.9408,5.3308,0.0178,1.65,0.2096,2.4638,2.4638,25.6192,32.6032,7.512,119.9726,133.0586,132.097,73.72,73.178,1.922,2.089
2014-02-28,128.22000122070312,135.1999969482422,123.61000061035156,134.72999572753906,96.19656372070312,3280510.5263157897,134.73,1174512.0,26.5644,0.9408,5.3308,0.0178,1.65,0.2096,2.4638,2.4638,68.8563,60.8608,3.445,122.2237,133.7068,132.467,79.275,73.178,2.252,2.089
2014-03-31,133.07000732421875,135.8699951171875,129.6999969482422,135.66000366210938,96.86055755615234,2867585.714285714,135.66,857976.0,26.6648,0.9715,5.1145,0.027,1.83,0.4063,2.5806,2.5806,65.194,60.5424,1.417,124.5559,131.8876,133.179,73.466,73.466,2.784,2.784
2014-04-30,135.8800048828125,139.52000427246094,132.02000427246094,139.08999633789062,99.30957794189453,2495771.4285714286,139.09,918013.0,26.6648,0.9715,5.1145,0.027,1.83,0.4063,2.5806,2.5806,66.6685,63.0721,3.261,127.1908,134.2262,137.708,73.533,73.466,3.596,2.784
2014-05-31,139.5,143.3699951171875,138.64999389648438,142.5500030517578,102.4043960571289,2309247.619047619,142.55,1797437.0,26.6648,0.9715,5.1145,0.027,1.83,0.4063,2.5806,2.5806,65.6663,63.0378,3.124,129.7238,137.8606,141.295,72.965,73.466,4.092,2.784
2014-06-30,142.27000427246094,145.52999877929688,141.61000061035156,143.24000549316406,102.90003967285156,1697819.0476190476,143.24,722597.0,27.2892,0.9894,5.4004,0.0483,1.94,0.4697,4.9278,4.9278,46.1624,51.3576,0.714,132.7271,141.7386,143.916,72.228,72.228,4.579,4.579
2014-07-31,143.41000366210938,146.42999267578125,140.60000610351562,140.88999938964844,101.21188354492188,1968777.2727272727,140.89,1012531.0,27.2892,0.9894,5.4004,0.0483,1.94,0.4697,4.9278,4.9278,27.5329,34.9473,-0.526,135.4571,143.8006,144.336,75.373,72.228,3.591,4.579
2014-08-31,140.14999389648438,145.38999938964844,138.42999267578125,144.0,104.06279754638672,1953942.857142857,144.0,661785.0,27.2892,0.9894,5.4004,0.0483,1.94,0.4697,4.9278,4.9278,56.5996,54.7095,0.982,137.3027,143.5568,144.282,72.408,72.228,5.095,4.579
2014-09-30,143.3000030517578,147.8699951171875,140.66000366210938,141.67999267578125,102.38627624511719,2465604.761904762,141.68,783495.0,28.7321,1.0083,5.6764,0.0234,2.02,0.5505,2.7918,2.7918,29.6947,36.5379,1.355,138.8781,143.4966,144.263,72.398,72.398,2.694,2.694
2014-10-31,141.16000366210938,154.44000244140625,130.60000610351562,153.77000427246094,111.12318420410156,3694765.217391304,153.77,812636.0,28.7321,1.0083,5.6764,0.0234,2.02,0.5505,2.7918,2.7918,80.0314,72.8597,-0.563,139.463,142.9546,146.862,72.297,72.398,3.157,2.694
2014-11-30,153.13999938964844,160.86000061035156,152.97999572753906,160.08999633789062,116.31137084960938,2161226.3157894737,160.09,570104.0,28.7321,1.0083,5.6764,0.0234,2.02,0.5505,2.7918,2.7918,67.7959,68.8704,3.27,142.0648,148.0506,159.238,72.232,72.398,5.151,2.694
2014-12-31,158.35000610351562,168.16000366210938,155.58999633789062,164.32000732421875,119.3846206665039,2429081.8181818184,164.32,634291.0,32.3805,1.1146,8.0326,0.0332,1.85,0.5222,1.9818,1.9818,53.9827,58.2247,7.424,145.352,158.0834,165.561,71.843,71.843,3.93,3.93
2015-01-31,164.7100067138672,166.57000732421875,157.74000549316406,162.3000030517578,117.91697692871094,2736265.0,162.3,1224122.0,32.3805,1.1146,8.0326,0.0332,1.85,0.5222,1.9818,1.9818,46.5946,49.2431,9.301,148.1688,161.8756,163.663,71.639,71.843,3.196,3.93
2015-02-28,162.1199951171875,169.97999572753906,160.88999938964844,168.64999389648438,123.29259490966797,1966605.2631578948,168.65,720374.0,32.3805,1.1146,8.0326,0.0332,1.85,0.5222,1.9818,1.9818,60.6363,59.7074,10.624,150.7834,164.5932,168.055,78.287,71.843,4.052,3.93
2015-03-31,168.16000366210938,170.5,161.2100067138672,164.9499969482422,120.58769989013672,2188368.1818181816,164.95,738241.0,31.5511,1.0659,7.53,0.0341,1.88,0.5699,-3.2307,-3.2307,49.5356,49.2585,9.899,153.3046,165.615,165.086,71.564,71.564,3.085,3.085
2015-04-30,164.2899932861328,167.6999969482422,156.00999450683594,156.38999938964844,114.32988739013672,2535271.4285714286,156.39,1241467.0,31.5511,1.0659,7.53,0.0341,1.88,0.5699,-3.2307,-3.2307,25.9727,32.1916,6.151,155.2767,164.8306,160.321,71.413,71.564,2.377,3.085
2015-05-31,156.7899932861328,163.77000427246094,156.5500030517578,159.0800018310547,117.03179931640625,2140870.0,159.08,1294026.0,31.5511,1.0659,7.53,0.0341,1.88,0.5699,-3.2307,-3.2307,38.615,42.1693,-1.617,157.0566,162.3916,161.479,71.807,71.564,3.082,3.085
2015-06-30,159.10000610351562,160.8699951171875,153.9199981689453,154.3000030517578,113.51526641845703,2205327.272727273,154.3,906714.0,32.7192,1.1056,7.4757,0.0384,2.06,0.7952,-5.5077,-5.5077,35.3172,38.195,-5.257,158.5734,159.1606,157.384,71.764,71.764,3.181,3.181
2015-07-31,156.1300048828125,157.94000244140625,147.6999969482422,151.33999633789062,111.337646484375,2489527.272727273,151.34,605630.0,32.7192,1.1056,7.4757,0.0384,2.06,0.7952,-5.5077,-5.5077,39.7306,40.1347,-8.285,159.9654,156.4264,152.13,71.848,71.764,3.532,3.181
2015-08-31,150.7899932861328,153.24000549316406,134.0,142.13999938964844,105.29716491699219,2820257.1428571427,142.14,1152408.0,32.7192,1.1056,7.4757,0.0384,2.06,0.7952,-5.5077,-5.5077,39.7861,38.5808,-10.383,159.7018,151.1466,142.881,71.79,71.764,2.985,3.181
2015-09-30,139.47999572753906,145.5500030517578,135.38999938964844,141.77000427246094,105.02302551269531,3107223.8095238097,141.77,1096644.0,35.0788,1.0709,7.2682,0.0356,2.09,1.5135,-5.2231,-5.2231,54.721,50.0237,-8.808,157.706,144.6692,139.713,71.785,71.785,3.697,3.697
2015-10-31,142.2100067138672,158.67999267578125,138.57000732421875,157.2100067138672,116.46097564697266,2471263.6363636362,157.21,1075191.0,35.0788,1.0709,7.2682,0.0356,2.09,1.5135,-5.2231,-5.2231,76.2691,71.9208,-4.028,156.37,145.1594,154.489,71.428,71.785,3.577,3.697
2015-11-30,157.50999450683594,160.08999633789062,155.60000610351562,156.5800018310547,116.75641632080078,2120250.0,156.58,1114311.0,35.0788,1.0709,7.2682,0.0356,2.09,1.5135,-5.2231,-5.2231,44.9339,51.5528,-0.104,155.7152,151.7662,157.856,71.835,71.785,3.784,3.697
2015-12-31,156.41000366210938,158.69000244140625,146.69000244140625,150.63999938964844,112.32713317871094,2778036.3636363638,150.64,564873.0,39.392,1.0259,8.1154,0.0339,1.69,1.3819,-5.4541,-5.4541,44.1714,44.4487,-0.77,154.2059,155.4662,150.123,71.76,71.76,2.879,2.879
2016-01-31,148.0500030517578,151.0,134.63999938964844,151.0,112.59558868408203,3357005.263157895,151.0,1419664.0,39.392,1.0259,8.1154,0.0339,1.69,1.3819,-5.4541,-5.4541,70.4752,61.5699,0.991,152.0018,149.6884,141.754,71.706,71.76,2.108,2.879
2016-02-29,149.3300018310547,159.5,146.0500030517578,156.8699951171875,117.81776428222656,2639425.0,156.87,820286.0,39.392,1.0259,8.1154,0.0339,1.69,1.3819,-5.4541,-5.4541,58.6555,59.5015,13.094,151.4544,148.8504,157.06,76.465,71.76,3.301,2.879
2016-03-31,158.75,167.5,157.61000061035156,166.6300048828125,125.14806365966797,2208531.8181818184,166.63,562018.0,38.2768,0.9861,8.6036,0.0339,2.1,1.4562,-2.2301,-2.2301,69.2157,68.7165,11.062,151.7635,156.2522,165.161,70.756,70.756,2.399,2.399
2016-04-30,165.6300048828125,170.77000427246094,164.64999389648438,167.3800048828125,125.71131134033203,1848676.1904761905,167.38,807560.0,38.2768,0.9861,8.6036,0.0339,2.1,1.4562,-2.2301,-2.2301,49.1222,54.0737,8.426,152.9641,164.0824,168.216,70.452,70.756,3.059,2.399
2016-05-31,167.3000030517578,171.27000427246094,163.1699981689453,168.32000732421875,127.25912475585938,1735380.9523809524,168.32,935377.0,38.2768,0.9861,8.6036,0.0339,2.1,1.4562,-2.2301,-2.2301,51.3611,51.9778,7.378,154.7232,167.5496,167.56,70.115,70.756,3.826,2.399
2016-06-30,167.77999877929688,175.13999938964844,165.16000366210938,175.1199951171875,132.4002685546875,2134281.8181818184,175.12,845711.0,39.2204,0.9666,8.9299,0.0423,2.13,1.5076,-0.3123,-0.3123,65.1261,62.1843,9.827,157.7218,168.8884,170.942,69.776,69.776,3.086,3.086
2016-07-31,175.13999938964844,182.27000427246094,173.50999450683594,178.36000061035156,134.84991455078125,1929260.0,178.36,766580.0,39.2204,0.9666,8.9299,0.0423,2.13,1.5076,-0.3123,-0.3123,51.0796,56.1572,12.104,161.271,173.0488,179.637,69.82,69.776,3.775,3.086
2016-08-31,177.0800018310547,181.47000122070312,177.0800018310547,179.24000549316406,136.35963439941406,1342552.1739130435,179.24,737215.0,39.2204,0.9666,8.9299,0.0423,2.13,1.5076,-0.3123,-0.3123,47.4033,51.2424,1.089,164.0264,177.9064,179.592,70.876,69.776,5.63,3.086
2016-09-30,179.30999755859375,181.66000366210938,174.38999938964844,176.22999572753906,134.0697021484375,1816347.619047619,176.23,790316.0,40.7888,0.9641,8.8746,0.0283,2.2,1.4256,-0.0389,-0.0389,44.8892,45.5255,2.224,166.2179,178.5436,177.259,70.359,70.359,3.589,3.589
2016-10-31,175.3300018310547,175.9499969482422,165.11000061035156,165.3000030517578,125.75457000732422,1994480.9523809524,165.3,919688.0,40.7888,0.9641,8.8746,0.0283,2.2,1.4256,-0.0389,-0.0389,23.7758,27.6637,-2.128,168.6775,174.6228,168.006,70.049,70.359,4.005,3.589
2016-11-30,165.39999389648438,175.50999450683594,163.85000610351562,171.74000549316406,131.49154663085938,2087842.857142857,171.74,987215.0,40.7888,0.9641,8.8746,0.0283,2.2,1.4256,-0.0389,-0.0389,49.249,50.4532,-2.704,171.0882,171.5278,172.392,68.011,70.359,4.895,3.589
2016-12-31,171.63999938964844,180.05999755859375,171.08999633789062,178.57000732421875,136.7209014892578,1855938.0952380951,178.57,605334.0,46.4859,0.9122,10.4296,0.055,1.9247,1.3442,0.4248,0.4248,60.0194,60.1406,-3.94,172.9093,172.9938,178.462,68.225,68.225,5.392,5.392
2017-01-31,178.8300018310547,180.0,173.80999755859375,174.82000732421875,133.84976196289062,1899145.0,174.82,549739.0,46.4859,0.9122,10.4296,0.055,1.9247,1.3442,0.4248,0.4248,32.8454,39.4916,-6.003,174.0053,176.2814,177.141,76.193,68.225,3.337,5.392
2017-02-28,175.1699981689453,188.41000366210938,173.5500030517578,186.35000610351562,143.60679626464844,2048068.4210526317,186.35,790080.0,46.4859,0.9122,10.4296,0.055,1.9247,1.3442,0.4248,0.4248,75.6782,73.0521,-5.835,175.1876,178.9128,184.693,77.182,68.225,3.409,5.392
2017-03-31,188.0800018310547,193.5,188.00999450683594,191.3300018310547,147.44451904296875,1946100.0,191.33,557715.0,44.8728,0.9221,10.4048,0.0316,2.21,1.4679,3.7252,3.7252,57.0857,61.3448,-1.844,177.772,184.816,191.572,70.771,70.771,3.953,3.953
2017-04-30,191.8699951171875,197.1199951171875,188.6199951171875,195.8300018310547,150.912353515625,1841805.2631578948,195.83,943356.0,44.8728,0.9221,10.4048,0.0316,2.21,1.4679,3.7252,3.7252,77.06,72.4652,2.48,179.4944,190.2254,192.937,70.538,70.771,3.662,3.953
2017-05-31,195.5,204.47000122070312,193.5399932861328,204.47000122070312,158.51170349121094,1819122.7272727273,204.47,1291474.0,44.8728,0.9221,10.4048,0.0316,2.21,1.4679,3.7252,3.7252,78.944,74.3208,4.572,181.5423,194.3592,198.673,70.232,70.771,4.854,3.953
2017-06-30,204.25,214.57000732421875,203.67999267578125,208.19000244140625,161.39552307128906,1841618.1818181819,208.19,613201.0,45.9016,0.9338,10.7272,0.0378,2.65,1.2583,1.9316,1.9316,43.3821,52.3995,9.226,184.8584,202.5974,211.375,70.286,70.286,4.619,4.619
2017-07-31,209.13999938964844,213.41000366210938,197.1699981689453,201.1699981689453,155.95338439941406,1776040.0,201.17,764130.0,45.9016,0.9338,10.7272,0.0378,2.65,1.2583,1.9316,1.9316,30.6106,34.7564,8.788,188.172,207.2314,205.638,70.171,70.286,3.611,4.619
2017-08-31,202.2899932861328,208.6300048828125,201.3300018310547,204.32000732421875,159.30645751953125,1516278.2608695652,204.32,651953.0,45.9016,0.9338,10.7272,0.0378,2.65,1.2583,1.9316,1.9316,50.0975,47.6794,6.908,192.3257,207.0366,203.385,70.97,70.286,5.677,4.619
2017-09-30,204.61000061035156,214.64999389648438,200.50999450683594,209.89999389648438,163.65711975097656,1787310.0,209.9,687406.0,45.4696,0.9382,10.313,0.0386,2.39,1.2489,6.006,6.006,52.8779,54.9706,3.676,195.8477,206.3708,210.972,70.981,70.981,4.928,4.928
2017-10-31,210.72999572753906,238.89999389648438,210.02999877929688,230.19000244140625,179.47703552246094,2098613.6363636362,230.19,652901.0,45.4696,0.9382,10.313,0.0386,2.39,1.2489,6.006,6.006,62.832,65.8763,6.481,200.6811,213.7152,228.16,70.916,70.981,2.701,4.928
2017-11-30,231.0,243.4499969482422,226.0399932861328,243.13999938964844,190.5303955078125,1654923.8095238095,243.14,1647424.0,45.4696,0.9382,10.313,0.0386,2.39,1.2489,6.006,6.006,80.6532,75.6597,7.637,206.3735,224.3132,233.81,70.917,70.981,3.399,4.928
