Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,33.20000076293945,38.7400016784668,32.93000030517578,37.79999923706055,37.79999923706055,646918.1818181818,37.8,101306.0,2.8082,1.2017,1.824,0.0208,0.65,-2.7364,15.7844,15.7844,56.5091,61.5675,15.573,29.0444,34.247,38.041,141.073,133.753,9.734,6.14
2013-06-30,37.779998779296875,38.43000030517578,35.369998931884766,37.18000030517578,37.18000030517578,504850.0,37.18,300731.0,10.2925,1.2132,1.9267,0.0444,0.54,-13202.3208,8.5637,8.5637,53.398,53.0552,15.8432,30.2719,36.2192,36.921,144.615,144.615,11.177,11.177
2013-07-31,37.34000015258789,40.900001525878906,37.09000015258789,37.119998931884766,37.119998931884766,521390.9090909091,37.12,147900.0,10.2925,1.2132,1.9267,0.0444,0.54,-13202.3208,8.5637,8.5637,30.3802,39.1939,24.0786,31.8974,37.9616,39.26,146.935,144.615,9.257,11.177
2013-08-31,37.20000076293945,37.650001525878906,33.310001373291016,33.38999938964844,33.38999938964844,513263.63636363635,33.39,81001.0,10.2925,1.2132,1.9267,0.0444,0.54,-13202.3208,8.5637,8.5637,20.4968,25.6038,1.2916,33.063,37.1144,34.544,139.637,144.615,12.019,11.177
2013-09-30,33.790000915527344,39.54999923706055,33.45000076293945,35.599998474121094,35.599998474121094,669265.0,35.6,138498.0,10.6439,1.2892,1.8216,0.0383,0.17,-4.2021,9.5399,9.5399,42.0202,45.0751,4.0654,33.9128,36.3956,36.593,140.313,140.313,6.762,6.762
2013-10-31,35.65999984741211,37.38999938964844,31.56999969482422,31.639999389648438,31.639999389648438,615030.4347826086,31.64,411212.0,10.6439,1.2892,1.8216,0.0383,0.17,-4.2021,9.5399,9.5399,17.3287,25.3424,-1.8545,34.8434,35.62,34.628,138.579,140.313,7.664,6.762
2013-11-30,31.579999923706055,33.9900016784668,31.100000381469727,33.599998474121094,33.599998474121094,574995.0,33.6,80724.0,10.6439,1.2892,1.8216,0.0383,0.17,-4.2021,9.5399,9.5399,65.6669,55.6778,-20.1836,35.1073,34.1994,32.426,137.799,140.313,10.165,6.762
2013-12-31,33.630001068115234,34.88999938964844,31.600000381469727,34.75,34.75,442357.14285714284,34.75,130805.0,6.3189,0.9149,1.7808,0.0293,-0.2,-4.4726,8.0903,8.0903,69.5248,62.9724,-19.9235,35.1662,33.0534,33.134,137.88,137.88,15.971,15.971
2014-01-31,35.0,39.209999084472656,34.88999938964844,36.0,36.0,619780.9523809524,36.0,86216.0,6.3189,0.9149,1.7808,0.0293,-0.2,-4.4726,8.0903,8.0903,42.7524,48.9857,-11.8815,35.6992,34.7156,36.782,135.44,137.88,11.947,15.971
2014-02-28,35.97999954223633,38.119998931884766,32.40999984741211,37.68000030517578,37.68000030517578,719673.6842105263,37.68,78893.0,6.3189,0.9149,1.7808,0.0293,-0.2,-4.4726,8.0903,8.0903,63.7973,60.1005,-5.9214,35.8781,35.8856,36.852,133.782,137.88,11.802,15.971
