Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,33.93000030517578,35.470001220703125,33.540000915527344,33.54999923706055,17.421560287475586,9472947.368421054,-7.7325,0.5551,41.7358,0.0124,2.6231,3.169,2.8127,62.526,34.524,121.7874,67.351,33.3376,33.5411,33.55,20.0849,0.55,1.709,34.31,4342040.0
2013-03-31,33.529998779296875,34.540000915527344,33.34000015258789,34.38999938964844,18.09076881408691,13315305.0,-6.4376,0.562,56.666,0.0107,-0.5258,3.315,2.7086,68.914,33.969,119.945,68.914,34.031,33.7386,34.39,19.3665,0.69,3.315,61.1788,4030241.0
2013-04-30,34.189998626708984,36.61000061035156,34.08000183105469,36.5099983215332,19.20598793029785,8775118.181818182,-1.7992,0.562,65.9243,0.0107,-0.5258,3.315,2.7086,68.914,35.631,119.945,64.815,34.7018,33.8711,36.51,19.3665,0.69,2.286,69.7578,2654121.0
2013-05-31,36.5099983215332,37.61000061035156,36.0099983215332,36.099998474121094,18.99030876159668,7853681.818181818,-3.3284,0.562,43.8816,0.0107,-0.5258,3.315,2.7086,68.914,36.859,119.945,62.745,35.847,34.0005,36.1,19.3665,0.69,2.594,34.6697,3588757.0
2013-06-30,36.060001373291016,36.599998474121094,34.25,34.9900016784668,18.633132934570312,12320910.0,-4.1853,0.6081,42.8068,0.0116,-1.179,1.633,2.7778,62.776,35.167,112.4011,62.776,36.1324,34.1005,34.99,19.7147,0.63,1.633,42.4882,5272855.0
2013-07-31,35.220001220703125,37.47999954223633,35.0099983215332,35.060001373291016,18.670406341552734,7675940.909090909,-2.6961,0.6081,36.6365,0.0116,-1.179,1.633,2.7778,62.776,36.069,112.4011,63.698,36.031,34.3739,35.06,19.7147,0.63,2.044,29.0045,2878383.0
2013-08-31,35.27000045776367,35.689998626708984,33.119998931884766,33.880001068115234,18.042022705078125,8137068.181818182,-8.9324,0.6081,38.864,0.0116,-1.179,1.633,2.7778,62.776,33.846,112.4011,63.227,35.3546,34.6372,33.88,19.7147,0.63,2.015,39.8052,2288149.0
2013-09-30,34.06999969482422,36.0,33.720001220703125,34.349998474121094,18.543678283691406,10011350.0,-5.7366,0.6842,42.631,0.0109,6.5831,2.173,2.2975,62.792,35.168,131.1584,62.792,34.9098,34.8356,34.35,17.295,0.7,2.173,37.782,2466974.0
2013-10-31,34.27000045776367,37.54999923706055,34.22999954223633,37.22999954223633,20.09842872619629,7350926.0869565215,-8.1081,0.6842,67.1908,0.0109,6.5831,2.173,2.2975,62.792,36.541,131.1584,62.654,35.1324,35.2225,37.23,17.295,0.7,1.721,69.8554,2621116.0
2013-11-30,37.25,38.099998474121094,36.68000030517578,36.97999954223633,19.963470458984375,6350355.0,-5.9531,0.6842,48.5617,0.0109,6.5831,2.173,2.2975,62.792,37.413,131.1584,62.661,36.3114,35.5789,36.98,17.295,0.7,2.747,41.3721,1685198.0
2013-12-31,37.0099983215332,38.58000183105469,36.84000015258789,38.38999938964844,20.985815048217773,9002261.904761905,-4.8508,0.8124,62.1584,0.0108,-1.2556,1.961,2.5925,61.151,38.193,124.3584,61.151,37.4162,35.9476,38.39,18.6815,0.24,1.961,64.4838,1903402.0
2014-01-31,38.27000045776367,38.380001068115234,34.33000183105469,35.220001220703125,19.252946853637695,9549566.666666666,-5.6853,0.8124,24.2294,0.0108,-1.2556,1.961,2.5925,61.151,36.725,124.3584,61.195,37.3472,36.1837,35.22,18.6815,0.24,1.804,16.8283,3354207.0
2014-02-28,35.16999816894531,36.40999984741211,33.79999923706055,36.2599983215332,19.821455001831055,9116973.684210526,-6.2414,0.8124,56.6047,0.0108,-1.2556,1.961,2.5925,61.151,35.561,124.3584,66.734,36.5594,36.0936,36.26,18.6815,0.24,2.266,64.6132,3039188.0
2014-03-31,36.06999969482422,37.4900016784668,35.84000015258789,37.43000030517578,20.731748580932617,7852109.523809524,-4.6943,0.8303,63.9059,0.0108,0.8809,2.403,2.1447,61.535,36.804,112.4935,61.535,36.1322,36.1103,37.43,18.127,0.59,2.403,69.0689,1700088.0
2014-04-30,37.45000076293945,40.2400016784668,37.130001068115234,40.11000061035156,22.216144561767575,8274647.619047619,-1.1059,0.8303,78.8317,0.0108,0.8809,2.403,2.1447,61.535,38.985,112.4935,61.746,37.2166,36.3947,40.11,18.127,0.59,1.736,83.52,2687699.0
