Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,24.09000015258789,24.850000381469727,23.170000076293945,24.56999969482422,22.36023712158203,212168.18181818182,24.57,106113.0,5.7467,1.3109,3.2193,0.1159,0.07,-6.8923,1.9531,1.9531,59.3126,58.0341,4.6515,22.0785,23.4876,24.307,116.385,117.192,16.055,13.959
2013-06-30,24.6299991607666,25.5,23.469999313354492,24.110000610351562,21.941612243652344,371580.0,24.11,317851.0,5.0273,1.3129,2.9938,0.051,0.15,-5.443,-1.5237,-1.5237,46.319,47.9308,-0.8035,22.3701,24.0608,24.273,116.035,116.035,9.012,9.012
2013-07-31,24.200000762939453,26.799999237060547,23.719999313354492,26.18000030517578,23.825435638427734,261122.72727272726,26.18,73998.0,5.0273,1.3129,2.9938,0.051,0.15,-5.443,-1.5237,-1.5237,63.6364,62.4879,-1.628,23.0024,24.8752,26.148,115.299,116.035,10.709,9.012
2013-08-31,26.309999465942383,30.709999084472656,25.790000915527344,30.6200008392334,27.86611557006836,368068.1818181818,30.62,185440.0,5.0273,1.3129,2.9938,0.051,0.15,-5.443,-1.5237,-1.5237,77.2719,74.0351,5.3489,24.0539,26.6438,29.127,111.724,116.035,11.27,9.012
2013-09-30,30.899999618530273,31.440000534057617,29.149999618530273,30.280000686645508,27.55669403076172,245630.0,30.28,150228.0,5.1946,1.1398,3.5913,0.0456,0.2,-4.9004,15.642,15.642,51.1348,55.2389,16.954,25.0576,28.9336,30.39,111.496,111.496,13.296,13.296
2013-10-31,30.299999237060547,32.900001525878906,27.25,31.84000015258789,28.97638702392578,498017.39130434784,31.84,177626.0,5.1946,1.1398,3.5913,0.0456,0.2,-4.9004,15.642,15.642,57.6397,56.5434,23.7704,26.0328,30.415,30.528,112.095,111.496,3.62,13.296
2013-11-30,31.84000015258789,33.790000915527344,30.84000015258789,33.400001525878906,30.396085739135742,311275.0,33.4,143235.0,5.1946,1.1398,3.5913,0.0456,0.2,-4.9004,15.642,15.642,67.2364,62.5839,22.2837,26.8796,31.2684,32.501,111.927,111.496,9.264,13.296
2013-12-31,33.47999954223633,34.7599983215332,31.5,34.65999984741211,31.54276466369629,308095.2380952381,34.66,119662.0,7.8725,0.9157,4.0948,0.0544,0.2,-3.7297,31.8289,31.8289,75.6221,68.18,21.4642,27.7716,32.2862,33.522,112.881,112.881,8.183,8.183
2014-01-31,34.4900016784668,34.75,32.599998474121094,32.689998626708984,29.749935150146484,235180.95238095237,32.69,121643.0,7.8725,0.9157,4.0948,0.0544,0.2,-3.7297,31.8289,31.8289,33.7669,40.4426,21.0584,28.8911,33.2896,33.795,114.046,112.881,12.09,8.183
2014-02-28,32.65999984741211,36.88999938964844,30.790000915527344,35.84000015258789,32.616634368896484,329710.5263157895,35.84,127234.0,7.8725,0.9157,4.0948,0.0544,0.2,-3.7297,31.8289,31.8289,61.9436,60.9389,9.1418,29.942,33.9968,35.407,112.904,112.881,8.705,8.183
2014-03-31,35.529998779296875,39.15999984741211,34.97999954223633,38.77000045776367,35.28311538696289,315019.04761904763,38.77,222283.0,9.6292,0.8151,4.4817,0.0541,0.23,-3.4659,16.6913,16.6913,67.1177,65.2027,11.0295,31.3051,35.5596,37.877,110.998,110.998,6.819,6.819
2014-04-30,38.970001220703125,39.79999923706055,34.970001220703125,37.099998474121094,33.763309478759766,369252.38095238095,37.1,158848.0,9.6292,0.8151,4.4817,0.0541,0.23,-3.4659,16.6913,16.6913,50.6611,50.7149,11.7897,32.6363,36.9965,36.9965,110.876,110.998,6.017,6.819
2014-05-31,36.97999954223633,40.0,35.81999969482422,39.290000915527344,35.756351470947266,308723.8095238095,39.29,58238.0,9.6292,0.8151,4.4817,0.0541,0.23,-3.4659,16.6913,16.6913,64.3421,61.5072,10.5372,33.7933,37.5239,38.642,113.471,110.998,7.858,6.819
2014-06-30,39.540000915527344,42.86000061035156,38.5099983215332,42.349998474121094,38.679622650146484,300309.5238095238,42.35,168202.0,9.6483,0.757,4.8859,0.0461,0.17,-3.167,18.5778,18.5778,64.314,64.9016,15.9047,35.0148,39.2025,42.101,110.67,110.67,7.12,7.12
2014-07-31,42.5,44.77000045776367,40.459999084472656,41.2400016784668,37.66582107543945,287713.63636363635,41.24,145034.0,9.6483,0.757,4.8859,0.0461,0.17,-3.167,18.5778,18.5778,44.4415,47.2093,14.3262,36.2663,41.2558,41.907,112.881,110.67,5.39,7.12
2014-08-31,41.33000183105469,47.849998474121094,40.709999084472656,47.779998779296875,43.63901138305664,297642.85714285716,47.78,65692.0,9.6483,0.757,4.8859,0.0461,0.17,-3.167,18.5778,18.5778,78.3888,74.1075,19.0157,37.6581,42.9596,46.197,108.606,110.67,6.195,7.12
