Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,27.670000076293945,28.200000762939453,27.100000381469727,27.799999237060547,22.867467880249023,41083526.315789476,-15.3894,0.9188,53.7021,0.0103,2.734,1.905,-1.7725,77.671,27.759,22.6179,77.348,27.397,28.8979,27.8,3.0998,0.76,2.37,53.8466,11704613.0
2013-03-31,27.719999313354492,28.65999984741211,27.520000457763672,28.61000061035156,23.53375244140625,42247300.0,-14.6619,0.9119,64.7509,0.0103,17.7055,2.732,-1.9697,76.916,28.23,22.5749,76.916,27.8456,28.7643,28.61,3.1249,0.72,2.732,70.2458,13604868.0
2013-04-30,28.63999938964844,33.11000061035156,28.11000061035156,33.099998474121094,27.22709274291992,66625327.27272727,-5.9169,0.9119,78.814,0.0103,17.7055,2.732,-1.9697,76.916,31.0035,22.5749,79.106,28.8325,28.7468,33.1,3.1249,0.72,1.308,82.8001,22097781.0
2013-05-31,32.93000030517578,35.279998779296875,32.31999969482422,34.900001525878906,28.909027099609375,48720909.09090909,4.5442,0.9119,67.0379,0.0103,17.7055,2.732,-1.9697,76.916,34.761,22.5749,78.034,31.4755,29.2141,34.88,3.1249,0.72,2.002,65.0723,20628174.0
2013-06-30,34.91999816894531,35.779998779296875,32.56999969482422,34.540000915527344,28.610824584960938,47257775.0,12.7697,0.9107,53.1763,0.0103,10.1722,1.596,-2.1303,77.771,34.217,30.0921,77.771,33.8364,29.616,34.53,3.6528,0.59,1.596,52.946,27555165.0
2013-07-31,34.75,36.43000030517578,31.020000457763672,31.84000015258789,26.37430763244629,50505936.36363637,9.4876,0.9107,37.053,0.0103,10.1722,1.596,-2.1303,77.771,32.0855,30.0921,78.158,34.2123,29.977,31.83,3.6528,0.59,0.978,34.7477,12633640.0
2013-08-31,32.060001373291016,35.20000076293945,30.84000015258789,33.400001525878906,27.861474990844727,47784772.72727273,6.1992,0.9107,54.2836,0.0103,10.1722,1.596,-2.1303,77.771,32.917,30.0921,80.625,33.1827,30.3804,33.4,3.6528,0.59,1.098,56.2278,15443098.0
2013-09-30,31.75,33.75,30.950000762939453,33.279998779296875,27.761375427246097,62148075.0,6.1966,0.8763,56.0438,0.0102,15.7484,1.272,-2.2673,79.757,32.965,30.0923,79.757,32.382,30.9437,33.31,3.3987,0.63,1.272,59.815,12370379.0
2013-10-31,33.349998474121094,36.290000915527344,32.79999923706055,35.40999984741211,29.538162231445312,41970934.782608695,2.5447,0.8763,61.644,0.0102,15.7484,1.272,-2.2673,79.757,34.98,30.0923,79.231,33.5146,31.7911,35.35,3.3987,0.63,1.423,62.0676,12899992.0
2013-11-30,35.66999816894531,38.290000915527344,35.38999938964844,38.130001068115234,32.048343658447266,40021580.0,0.7846,0.8763,64.4275,0.0102,15.7484,1.272,-2.2673,79.757,37.457,30.0923,79.212,35.3569,32.763,38.13,3.3987,0.63,2.248,65.5273,8093154.0
2013-12-31,38.09000015258789,38.97999954223633,35.529998779296875,37.40999984741211,31.443208694458008,39362747.61904762,-2.7342,0.9726,53.2707,0.0101,14.2757,2.357,-2.163,78.875,36.93,28.948,78.875,36.9721,33.7645,37.43,3.6717,0.79,2.357,54.8193,6385557.0
2014-01-31,37.349998474121094,37.88999938964844,34.630001068115234,37.84000015258789,31.804615020751953,44296485.71428572,0.8797,0.9726,60.4768,0.0101,14.2757,2.357,-2.163,78.875,36.5025,28.948,79.31,36.9889,34.5704,37.85,3.6717,0.79,1.583,66.3877,24644473.0
2014-02-28,37.7400016784668,38.459999084472656,35.689998626708984,38.310001373291016,32.441097259521484,37121289.473684214,5.0963,0.9726,62.6369,0.0101,14.2757,2.357,-2.163,78.875,37.715,28.948,79.131,36.8071,35.0462,38.31,3.6717,0.79,2.326,68.1599,14449240.0
2014-03-31,37.91999816894531,41.5,37.4900016784668,40.9900016784668,34.71052932739258,37067890.47619048,8.2217,0.9008,67.2673,0.0103,-0.4197,1.933,-2.2972,78.711,40.059,27.3313,78.711,37.8269,35.4818,40.99,3.8919,0.68,1.933,69.5134,12813510.0
2014-04-30,41.150001525878906,41.65999984741211,38.900001525878906,40.400001525878906,34.21091842651367,35529166.666666664,7.6122,0.9008,55.5469,0.0103,-0.4197,1.933,-2.2972,78.711,40.158,27.3313,79.246,39.2722,36.0755,40.4,3.8919,0.68,2.207,55.8137,11369067.0
2014-05-31,40.2400016784668,40.970001220703125,38.5099983215332,40.939998626708984,34.91276931762695,27350614.285714287,0.5473,0.9008,61.6187,0.0103,-0.4197,1.933,-2.2972,78.711,40.131,27.3313,79.483,40.0576,36.8548,40.94,3.8919,0.68,3.183,67.3234,12087109.0
2014-06-30,40.95000076293945,42.290000915527344,39.86000061035156,41.70000076293945,35.560882568359375,26465109.523809522,2.9252,0.8753,55.8486,0.0102,17.5211,3.015,-1.9566,79.232,41.794,26.1652,79.232,40.561,37.7974,41.7,3.8365,0.56,3.015,53.7151,10815895.0
2014-07-31,41.86000061035156,45.709999084472656,41.04999923706055,43.15999984741211,36.805931091308594,33255295.454545453,9.8052,0.8753,50.4815,0.0102,17.5211,3.015,-1.9566,79.232,44.274,26.1652,85.328,42.0275,38.8892,43.16,3.8365,0.56,2.144,41.5618,10417363.0
2014-08-31,43.209999084472656,45.470001220703125,42.209999084472656,45.43000030517578,38.98371505737305,24472366.666666668,10.0353,0.8753,67.0161,0.0102,17.5211,3.015,-1.9566,79.232,45.1125,26.1652,80.086,43.4668,39.7849,45.43,3.8365,0.56,3.808,69.746,8362127.0
2014-09-30,45.43000030517578,47.56999969482422,44.529998779296875,46.36000061035156,39.78176498413086,40991776.190476194,10.4275,0.8891,53.3186,0.0102,25.2145,2.113,-2.022,80.167,46.667,24.8762,80.167,45.1469,40.686,46.36,4.2364,0.55,2.113,49.6,10440504.0
2014-10-31,46.27000045776367,46.970001220703125,42.099998474121094,46.95000076293945,40.28803253173828,37098300.0,8.8479,0.8891,60.0557,0.0102,25.2145,2.113,-2.022,80.167,45.651,24.8762,80.057,45.6936,41.6772,46.95,4.2364,0.55,2.221,64.5898,12945290.0
2014-11-30,46.88999938964844,50.04999923706055,46.72999954223633,47.810001373291016,41.284759521484375,27526626.315789472,11.8675,0.8891,51.7826,0.0102,25.2145,2.113,-2.022,80.167,48.33,24.8762,80.717,46.6536,42.7982,47.81,4.2364,0.55,2.35,47.2332,9305670.0
2014-12-31,47.880001068115234,49.060001373291016,44.900001525878906,46.45000076293945,40.110382080078125,28489600.0,8.6087,0.8842,42.345,0.0106,7.9571,2.159,-1.9173,80.522,47.429,23.3644,80.522,47.5395,43.8484,46.45,4.1672,0.71,2.159,38.1704,8978376.0
2015-01-31,46.65999984741211,47.90999984741211,40.349998474121094,40.400001525878906,34.886104583740234,45948340.0,1.7643,0.8842,27.8112,0.0106,7.9571,2.159,-1.9173,80.522,44.613,23.3644,83.082,46.7874,44.3884,40.4,4.1672,0.71,0.899,23.6699,23455391.0
2015-02-28,40.59000015258789,44.29999923706055,40.22999954223633,43.849998474121094,38.13471221923828,34553142.10526316,-8.4387,0.8842,49.5503,0.0106,7.9571,2.159,-1.9173,80.522,43.847,23.3644,86.845,44.9639,44.6871,43.85,4.1672,0.71,2.25,53.57,9886325.0
2015-03-31,43.66999816894531,44.189998626708984,40.540000915527344,40.65999984741211,35.3604850769043,37469786.36363637,-13.2374,1.0766,33.7942,0.0103,6.499,2.108,-2.0004,80.424,41.8675,22.5281,80.424,42.9049,44.87,40.655,3.7004,0.61,2.108,28.9037,12327604.0
2015-04-30,40.599998474121094,49.540000915527344,40.119998931884766,48.63999938964844,42.30039596557617,41644538.0952381,-11.0142,1.0766,77.8054,0.0103,6.499,2.108,-2.0004,80.424,45.6235,22.5281,81.629,42.9426,45.0397,48.64,3.7004,0.61,1.683,82.0963,19791842.0
2015-05-31,48.58000183105469,48.90999984741211,46.02000045776367,46.86000061035156,41.017242431640625,31653640.0,-4.786,1.0766,51.2337,0.0103,6.499,2.108,-2.0004,80.424,47.4295,22.5281,81.842,44.7905,45.4097,46.86,3.7004,0.61,2.579,45.871,13713040.0
2015-06-30,47.060001373291016,47.77000045776367,43.939998626708984,44.150001525878906,38.6451301574707,30220609.09090909,-5.0241,1.1389,33.2562,0.0102,-5.1407,1.981,-2.1033,81.574,45.5995,14.3559,81.574,46.67,45.4695,44.15,4.4598,-0.4,1.981,25.4568,12092646.0
2015-07-31,44.459999084472656,47.400001525878906,43.31999969482422,46.70000076293945,40.8771858215332,32975368.181818184,-2.3496,1.1389,57.1109,0.0102,-5.1407,1.981,-2.1033,81.574,46.235,14.3559,81.411,45.9497,45.4213,46.7,4.4598,-0.4,1.539,59.6068,11174848.0
2015-08-31,46.97999954223633,48.40999984741211,39.720001220703125,43.52000045776367,38.34489440917969,36975252.38095238,7.8058,1.1389,42.2644,0.0102,-5.1407,1.981,-2.1033,81.574,43.882,14.3559,87.163,45.526,45.3351,43.52,4.4598,-0.4,1.547,42.3726,14335347.0
2015-09-30,42.16999816894531,45.0,41.65999984741211,44.2599983215332,38.99689483642578,32051423.80952381,11.4526,1.1722,52.132,0.0106,-9.8746,2.288,-2.0709,87.208,43.845,15.18,87.208,44.7716,44.8509,44.26,4.5709,0.63,2.288,56.1023,13202250.0
2015-10-31,44.75,54.369998931884766,43.75,52.63999938964844,46.38040542602539,38941672.72727273,14.1313,1.1722,70.281,0.0106,-9.8746,2.288,-2.0709,87.208,51.141,15.18,87.291,45.7098,45.0567,52.64,4.5709,0.63,1.17,69.6194,14619673.0
2015-11-30,52.849998474121094,54.97999954223633,52.529998779296875,54.349998474121094,48.20983123779297,33131330.0,15.4808,1.1722,62.8461,0.0106,-9.8746,2.288,-2.0709,87.208,53.9125,15.18,83.057,49.9967,46.0951,54.35,4.5709,0.63,1.594,61.4853,18448868.0
2015-12-31,54.40999984741211,56.849998474121094,53.68000030517578,55.47999954223633,49.21216583251953,36037313.63636363,24.1641,1.1884,53.3633,0.0104,-4.5977,1.532,-1.9004,83.517,55.579,15.175,83.517,54.2485,47.4622,55.48,5.7719,0.75,1.532,50.3743,8189821.0
2016-01-31,54.31999969482422,55.38999938964844,49.099998474121094,55.09000015258789,48.866233825683594,48837615.78947368,25.0116,1.1884,59.0576,0.0104,-4.5977,1.532,-1.9004,83.517,51.7435,15.175,90.172,53.9947,48.4878,55.09,5.7719,0.75,1.13,65.0032,25137962.0
2016-02-29,54.880001068115234,55.09000015258789,48.189998626708984,50.880001068115234,45.45589828491211,40738545.0,21.1083,1.1884,45.5842,0.0104,-4.5977,1.532,-1.9004,83.517,51.699,15.175,90.85,52.7039,48.996,50.88,5.7719,0.75,1.722,44.5255,10189744.0
2016-03-31,50.970001220703125,55.63999938964844,50.58000183105469,55.22999954223633,49.3421630859375,29141404.545454547,16.7885,1.2161,61.9592,0.0104,-0.9757,1.762,-1.8823,84.824,54.279,14.6928,84.824,52.3589,49.7063,55.23,5.8395,0.55,1.762,66.2628,7162516.0
2016-04-30,55.04999923706055,56.77000045776367,49.349998474121094,49.869998931884766,44.553565979003906,33286938.095238097,7.9126,1.2161,29.2812,0.0104,-0.9757,1.762,-1.8823,84.824,53.026,14.6928,84.542,53.4176,50.6337,49.87,5.8395,0.55,0.934,21.2328,14577077.0
2016-05-31,50.0,53.0,49.459999084472656,53.0,47.68109130859375,25271657.14285714,-5.1439,1.2161,58.4723,0.0104,-0.9757,1.762,-1.8823,84.824,51.321,14.6928,83.9,52.8028,51.0949,53.0,5.8395,0.55,1.657,65.282,15909807.0
2016-06-30,52.439998626708984,52.95000076293945,48.040000915527344,51.16999816894531,46.03473281860352,37437590.90909091,-9.7854,1.2443,51.7917,0.0103,5.8341,1.028,-1.6803,83.367,50.37,25.1745,83.367,51.0484,51.8702,51.17,4.8408,0.67,1.028,54.5526,10210171.0
2016-07-31,51.130001068115234,57.290000915527344,50.38999938964844,56.68000030517578,50.99177169799805,32379390.0,-8.1343,1.2443,70.1605,0.0103,5.8341,1.028,-1.6803,83.367,55.79,25.1745,83.739,52.2834,52.7726,56.68,4.8408,0.67,1.163,73.5613,9566553.0
2016-08-31,56.599998474121094,58.70000076293945,56.13999938964844,57.459999084472656,52.01567459106445,20307778.260869566,-0.8376,1.2443,55.2661,0.0103,5.8341,1.028,-1.6803,83.367,57.838,25.1745,83.298,55.237,53.4542,57.46,4.8408,0.67,2.463,45.4924,7259616.0
2016-09-30,57.0099983215332,58.189998626708984,55.61000061035156,57.599998474121094,52.14240264892578,25067990.476190478,0.3946,1.2376,52.8813,0.0102,4.8685,1.857,-1.611,83.247,57.463,26.4366,83.247,57.3944,53.74,57.6,5.4431,0.73,1.857,52.6507,10922316.0
2016-10-31,57.40999984741211,61.369998931884766,56.31999969482422,59.91999816894531,54.24258804321289,29278180.95238095,5.91,1.2376,61.9263,0.0102,4.8685,1.857,-1.611,83.247,59.461,26.4366,83.312,57.8518,54.1661,59.92,5.4431,0.73,1.385,62.4901,9184245.0
2016-11-30,59.970001220703125,61.40999984741211,57.279998779296875,60.2599983215332,54.91888427734375,29193180.95238095,11.7622,1.2376,53.3449,0.0102,4.8685,1.857,-1.611,83.247,60.551,26.4366,82.61,58.9134,55.0553,60.26,5.4431,0.73,2.16,51.2986,12976124.0
2016-12-31,60.11000061035156,64.0999984741211,58.79999923706055,62.13999938964844,56.63225936889648,24456176.19047619,13.4862,1.2473,51.6211,0.0103,2.269,2.332,-0.8881,82.741,63.11,27.0678,82.741,60.8466,56.0787,62.14,5.9045,0.81,2.332,44.3582,10347444.0
2017-01-31,62.790000915527344,65.91000366210938,61.95000076293945,64.6500015258789,58.91978454589844,24672675.0,9.1693,1.2473,62.6913,0.0103,2.269,2.332,-0.8881,82.741,63.753,27.0678,90.817,62.2836,56.9329,64.65,5.9045,0.81,1.462,63.2595,5998934.0
2017-02-28,64.36000061035156,65.23999786376953,62.75,63.97999954223633,58.66268539428711,23197052.63157895,4.0321,1.2473,50.0438,0.0103,2.269,2.332,-0.8881,82.741,64.454,27.0678,91.411,63.5136,58.1012,63.98,5.9045,0.81,1.948,44.2423,7712935.0
2017-03-31,64.12999725341797,66.19000244140625,63.619998931884766,65.86000061035156,60.386436462402344,21268247.826086957,3.2083,1.146,64.3258,0.0101,7.8775,1.901,-0.978,84.995,65.145,28.6133,84.995,64.4448,59.6466,65.86,6.0957,0.71,1.901,69.6308,7860346.0
2017-04-30,65.80999755859375,69.13999938964844,64.8499984741211,68.45999908447266,62.770355224609375,22799536.842105262,2.8308,1.146,76.1147,0.0101,7.8775,1.901,-0.978,84.995,66.782,28.6133,85.146,65.281,61.0789,68.46,6.0957,0.71,1.524,81.638,11007269.0
2017-05-31,68.68000030517578,70.73999786376953,67.13999938964844,69.83999633789062,64.40270233154297,23509931.818181816,4.3385,1.146,62.1864,0.0101,7.8775,1.901,-0.978,84.995,68.861,28.6133,84.682,67.1992,62.4531,69.84,6.0957,0.71,1.751,62.382,11819288.0
2017-06-30,70.23999786376953,72.88999938964844,68.08999633789062,68.93000030517578,63.56354141235352,28623490.90909091,4.5463,1.1178,44.5911,0.0103,9.0781,1.615,-0.9344,84.726,69.948,29.8464,84.726,69.4798,63.8826,68.93,6.0674,1.05,1.615,41.1679,10057793.0
2017-07-31,69.33000183105469,74.41999816894531,68.0199966430664,72.69999694824219,67.0400390625,23492560.0,5.6096,1.1178,55.2021,0.0103,9.0781,1.615,-0.9344,84.726,73.591,29.8464,85.545,70.9006,65.3374,72.7,6.0674,1.05,1.69,51.1244,7711207.0
2017-08-31,73.0999984741211,74.95999908447266,71.27999877929688,74.7699966430664,69.31622314453125,19307413.04347826,8.3397,1.1178,64.8872,0.0103,9.0781,1.615,-0.9344,84.726,73.069,29.8464,85.83,72.0686,66.9102,74.77,6.0674,1.05,2.705,71.0614,9085910.0
2017-09-30,74.70999908447266,75.97000122070312,72.91999816894531,74.48999786376953,69.05664825439453,18799195.0,8.6207,1.1051,54.35,0.0102,11.9026,2.47,-1.0329,85.673,74.289,30.6759,85.673,73.5242,68.2822,74.49,6.4,0.85,2.47,54.766,6755785.0
2017-10-31,74.70999908447266,86.19999694824219,73.70999908447266,83.18000030517578,77.11279296875,20452272.727272727,7.9311,1.1051,81.8516,0.0102,11.9026,2.47,-1.0329,85.673,80.029,30.6759,85.658,75.7522,69.9422,83.18,6.4,0.85,2.118,83.9007,9691082.0
2017-11-30,83.68000030517578,85.05999755859375,82.23999786376953,84.16999816894531,78.4224624633789,20091714.285714287,12.0093,1.1051,60.3671,0.0102,11.9026,2.47,-1.0329,85.673,83.448,30.6759,85.46,79.8018,72.0313,84.17,6.4,0.85,2.221,57.8376,13554217.0
2017-12-31,83.5999984741211,87.5,80.69999694824219,85.54000091552734,79.69892883300781,23310165.0,10.0159,1.0923,57.0988,0.0105,11.9724,2.311,-0.9846,85.176,85.796,17.2659,85.176,83.5184,74.0548,85.54,8.4215,-0.82,2.311,55.6276,8353567.0
2018-01-31,86.12999725341797,95.4499969482422,85.5,95.01000213623048,88.52224731445312,27345638.095238097,9.7172,1.0923,75.3772,0.0105,11.9724,2.311,-0.9846,85.176,92.349,17.2659,85.21,86.7606,76.6565,95.01,8.4215,-0.82,1.572,77.004,13078854.0
2018-02-28,94.79000091552734,96.06999969482422,83.83000183105469,93.7699966430664,87.77734375,38192805.2631579,13.5677,1.0923,56.8591,0.0105,11.9724,2.311,-0.9846,85.176,92.886,17.2659,91.678,89.7106,78.8761,93.77,8.4215,-0.82,1.959,57.4081,12089250.0
2018-03-31,93.98999786376952,97.23999786376952,87.08000183105469,91.2699966430664,85.43709564208984,35750228.571428575,15.3408,1.0538,48.1506,0.0107,15.5394,1.223,-0.9733,91.595,91.398,19.3781,91.595,92.2072,81.2895,91.27,8.8689,0.96,1.223,47.9382,14985082.0
2018-04-30,90.47000122070312,97.9000015258789,87.51000213623047,93.5199966430664,87.54330444335938,31815747.61904762,14.7743,1.0538,50.2729,0.0107,15.5394,1.223,-0.9733,91.595,94.8,19.3781,91.65,93.0756,83.7379,93.52,8.8689,0.96,1.568,48.7151,13908265.0
2018-05-31,93.20999908447266,99.98999786376952,92.4499969482422,98.83999633789062,92.9243392944336,23155359.09090909,11.6526,1.0538,60.8556,0.0107,15.5394,1.223,-0.9733,91.595,97.877,19.3781,84.883,94.4892,86.3715,98.84,8.8689,0.96,2.409,63.9499,12462470.0
2018-06-30,99.27999877929688,102.69000244140624,97.26000213623048,98.61000061035156,92.70812225341795,28694533.333333332,14.7791,1.0545,46.4492,0.0104,17.4966,1.659,-1.0188,84.808,99.739,19.4462,84.808,98.0954,89.2111,98.61,9.1593,1.15,1.659,42.4469,11518523.0
2018-07-31,98.0999984741211,111.1500015258789,98.0,106.08000183105467,99.73103332519533,27112014.285714287,15.745,1.0545,55.2865,0.0104,17.4966,1.659,-1.0188,84.808,107.1,19.4462,84.875,101.9088,92.3251,106.08,9.1593,1.15,1.42,51.914,9110048.0
2018-08-31,106.02999877929688,112.77999877929688,104.83999633789062,112.33000183105467,106.01336669921876,19853395.652173914,12.1009,1.0545,68.6815,0.0104,17.4966,1.659,-1.0188,84.808,109.203,19.4462,84.824,105.7962,95.4556,112.33,9.1593,1.15,2.109,74.5499,8711733.0
2018-09-30,110.8499984741211,115.29000091552734,107.2300033569336,114.37000274658205,107.9386749267578,25276605.263157893,12.6294,1.0759,62.2058,0.0103,18.5264,1.796,-1.0279,84.745,113.676,21.4322,84.745,109.8748,98.1951,114.37,10.2018,1.15,1.796,63.0416,7521232.0
2018-10-31,114.75,116.18000030517578,100.11000061035156,106.80999755859376,100.80376434326172,40328173.91304348,10.9969,1.0759,46.5162,0.0103,18.5264,1.796,-1.0279,84.745,106.686,21.4322,84.564,110.4694,100.7735,106.81,10.2018,1.15,0.894,47.5517,16463483.0
2018-11-30,107.0500030517578,112.23999786376952,99.3499984741211,110.88999938964844,105.10645294189452,34296600.0,9.3037,1.0759,56.9932,0.0103,18.5264,1.796,-1.0279,84.745,106.661,21.4322,83.878,109.0234,102.4693,110.89,10.2018,1.15,1.409,61.7763,11726713.0
2018-12-31,113.0,113.41999816894533,93.95999908447266,101.56999969482422,96.27254486083984,49700768.421052635,11.5814,1.0693,45.3019,0.0111,12.2865,0.966,-0.8841,83.528,100.812,39.3471,83.528,106.072,103.4753,101.57,8.521,1.09,0.966,46.2814,11118295.0
2019-01-31,99.5500030517578,107.9000015258789,97.1999969482422,104.43000030517578,98.98339080810548,34010133.333333336,5.9137,1.0693,49.5703,0.0111,12.2865,0.966,-0.8841,83.528,105.842,39.3471,83.561,104.7386,104.792,104.43,8.521,1.09,1.169,48.6341,15567820.0
2019-02-28,103.77999877929688,113.23999786376952,102.3499984741211,112.02999877929688,106.64051055908205,24689257.89473684,2.8998,1.0693,64.8216,0.0111,12.2865,0.966,-0.8841,83.528,109.897,39.3471,90.958,104.9118,105.9936,112.03,8.521,1.09,1.713,70.9696,10347318.0
2019-03-31,112.88999938964844,120.81999969482422,108.8000030517578,117.94000244140624,112.26617431640624,28052180.95238095,5.9291,1.0532,63.8417,0.0105,13.9901,1.639,-0.9299,90.948,117.722,40.1211,90.948,110.5372,107.6662,117.94,9.5385,1.15,1.639,62.9594,11283470.0
2019-04-30,118.9499969482422,131.3699951171875,118.0999984741211,130.60000610351562,124.317138671875,20626557.14285714,7.967,1.0532,84.3504,0.0105,13.9901,1.639,-0.9299,90.948,125.953,40.1211,91.042,117.607,110.0101,130.6,9.5385,1.15,1.915,89.0501,8388154.0
2019-05-31,130.52999877929688,130.64999389648438,123.04000091552734,123.68000030517578,118.16584014892578,24873581.818181816,12.1475,1.0532,44.6425,0.0105,13.9901,1.639,-0.9299,90.948,126.179,40.1211,84.529,123.6558,112.0954,123.68,9.5385,1.15,2.074,38.6431,9589555.0
2019-06-30,123.8499984741211,138.39999389648438,119.01000213623048,133.9600067138672,127.9875030517578,25416215.0,12.1362,1.0464,57.8112,0.0109,12.0725,1.861,-0.8865,84.316,135.087,42.4106,84.316,128.7298,114.3836,133.96,10.0314,1.72,1.861,55.078,13164242.0
2019-07-31,136.6300048828125,141.67999267578125,134.6699981689453,136.27000427246094,130.19454956054688,22003631.818181816,15.7592,1.0464,46.8477,0.0109,12.0725,1.861,-0.8865,84.316,139.066,42.4106,83.948,133.7128,117.171,136.27,10.0314,1.72,2.156,38.9727,12268736.0
2019-08-31,137.0,140.94000244140625,130.77999877929688,137.86000061035156,132.1522216796875,26567363.636363637,19.6646,1.0464,52.8887,0.0109,12.0725,1.861,-0.8865,84.316,136.836,42.4106,84.142,136.9752,120.3064,137.86,10.0314,1.72,2.041,54.5002,9674474.0
2019-09-30,136.61000061035156,142.3699951171875,134.50999450683594,139.02999877929688,133.27377319335938,23627240.0,12.3836,1.0461,53.0127,0.0129,13.6536,2.207,-0.9519,84.034,138.86,42.8,84.034,137.6042,123.3896,139.03,10.0089,1.4,2.207,53.4653,6984232.0
2019-10-31,139.66000366210938,145.6699981689453,133.22000122070312,143.3699951171875,137.43411254882812,23892321.739130434,9.4392,1.0461,58.8602,0.0129,13.6536,2.207,-0.9519,84.034,140.512,42.8,84.075,138.3697,127.6409,143.37,10.0089,1.4,2.34,60.9148,8766790.0
2019-11-30,144.25999450683594,152.5,142.97000122070312,151.3800048828125,145.60626220703125,19618590.0,7.5146,1.0461,69.2797,0.0129,13.6536,2.207,-0.9519,84.034,150.635,42.8,78.228,142.7161,131.8655,151.38,10.0089,1.4,3.056,70.6826,5300098.0
2019-12-31,151.80999755859375,159.5500030517578,146.64999389648438,157.6999969482422,151.68521118164062,21443014.285714287,5.669,1.0465,69.463,0.0116,13.6583,3.014,-0.8488,77.959,156.989,43.8327,77.959,149.3478,136.3032,157.7,10.9261,1.53,3.014,68.2898,7368937.0
2020-01-31,158.77999877929688,174.0500030517578,156.50999450683594,170.22999572753906,163.73728942871094,26596666.666666668,8.2469,1.0465,65.2478,0.0116,13.6583,3.014,-0.8488,77.959,166.985,43.8327,77.892,157.7558,141.0252,170.23,10.9261,1.53,2.08,64.5268,12456873.0
2020-02-29,170.42999267578125,190.6999969482422,152.0,162.00999450683594,156.2564697265625,46711700.0,15.4128,1.0465,37.4647,0.0116,13.6583,3.014,-0.8488,77.959,175.219,43.8327,77.821,168.1908,145.9954,162.01,10.9261,1.53,0.634,31.6563,35460039.0
2020-03-31,165.30999755859375,175.0,132.52000427246094,157.7100067138672,152.10914611816406,73304340.9090909,24.4587,0.9361,51.3514,0.0208,14.5563,0.837,-0.8935,80.333,147.545,44.1965,80.333,165.0922,148.7476,157.71,10.4763,1.41,0.837,54.521,24524047.0
2020-04-30,153.0,180.3999938964844,150.36000061035156,179.2100067138672,172.8456268310547,46890714.28571428,30.8498,0.9361,59.6636,0.0208,14.5563,0.837,-0.8935,80.333,174.147,44.1965,80.215,161.967,152.1857,179.21,10.4763,1.41,1.261,62.8605,16613878.0
2020-05-31,175.8000030517578,187.5099945068359,173.8000030517578,183.25,177.23439025878906,34442250.0,30.7482,0.9361,56.554,0.0208,14.5563,0.837,-0.8935,80.333,183.233,44.1965,76.734,170.6346,156.6447,183.25,10.4763,1.41,1.456,55.8527,16378172.0
2020-06-30,182.5399932861328,204.3999938964844,181.3500061035156,203.5099945068359,196.82931518554688,34771154.54545455,27.7428,0.8774,64.7305,0.0176,12.8007,1.376,-0.8706,76.936,198.465,40.1398,76.936,185.481,162.794,203.51,13.0453,1.48,1.376,66.4387,14138037.0
2020-07-31,203.13999938964844,216.3800048828125,197.5099945068359,205.0099945068359,198.280029296875,35008672.72727273,28.29,0.8774,52.2862,0.0176,12.8007,1.376,-0.8706,76.936,205.478,40.1398,77.109,197.8026,170.3629,205.01,13.0453,1.48,1.12,50.4551,16340261.0
2020-08-31,211.52000427246097,231.1499938964844,203.13999938964844,225.52999877929688,218.65374755859375,32972566.666666668,15.6668,0.8774,65.2102,0.0176,12.8007,1.376,-0.8706,76.936,218.112,40.1398,76.504,209.1226,177.9064,225.53,13.0453,1.48,1.32,68.4259,9454676.0
2020-09-30,225.5099945068359,232.86000061035156,196.25,210.3300018310547,203.9171600341797,36579823.809523806,5.8989,0.8906,51.7241,0.0197,12.4005,1.294,-0.8046,76.526,205.189,41.3993,76.526,210.416,183.9973,210.33,12.8996,1.84,1.294,54.4505,13620169.0
2020-10-31,213.4900054931641,225.2100067138672,199.6199951171875,202.47000122070312,196.2968292236328,28709909.09090909,1.6399,0.8906,39.5628,0.0197,12.4005,1.294,-0.8046,76.526,210.799,41.3993,76.628,212.2778,189.9175,202.47,12.8996,1.84,1.366,33.8847,14124938.0
2020-11-30,204.2899932861328,228.1199951171875,200.1199951171875,214.07000732421875,208.0864715576172,28672150.0,-2.8116,0.8906,51.0172,0.0197,12.4005,1.294,-0.8046,76.526,213.272,41.3993,76.025,212.2992,193.8381,214.07,12.8996,1.84,1.772,51.3383,11100742.0
2020-12-31,214.5099945068359,227.17999267578125,209.11000061035156,222.4199981689453,216.20310974121097,27034622.727272727,-6.9205,0.8916,58.0335,0.0188,16.7181,1.567,-0.7037,76.358,222.152,42.697,76.358,215.1418,199.8741,222.42,12.912,2.05,1.567,58.5577,8115359.0
2021-01-31,222.52999877929688,242.63999938964844,211.94000244140625,231.9600067138672,225.4764404296875,34109284.21052632,-9.2449,0.8916,61.2527,0.0188,16.7181,1.567,-0.7037,76.358,227.0,42.697,76.575,218.5642,206.1299,231.96,12.912,2.05,1.211,62.012,15337528.0
