Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,75.44999694824219,84.05999755859375,75.31999969482422,82.38999938964844,68.59672546386719,1845559.0909090908,82.39,680955.0,19.6002,1.0065,1.7567,0.0231,2.07,0.2746,-1.5166,-1.5166,66.6886,69.4247,2.894,69.0903,74.8576,81.787,103.441,113.743,3.045,6.98
2013-06-30,82.4800033569336,84.33999633789062,80.63999938964844,82.80000305175781,68.93810272216797,1404970.0,82.8,450808.0,19.4249,1.0149,2.0372,0.0299,2.09,0.4663,0.3188,0.3188,55.0195,56.462,7.186,70.5738,79.7578,82.403,103.245,103.245,5.459,5.459
2013-07-31,82.77999877929688,92.98999786376953,81.73999786376953,92.05999755859375,76.6478271484375,1483231.8181818181,92.06,593902.0,19.4249,1.0149,2.0372,0.0299,2.09,0.4663,0.3188,0.3188,82.0823,77.968,15.768,72.803,84.6862,89.934,105.112,103.245,4.348,5.459
2013-08-31,92.44999694824219,96.41999816894531,91.97000122070312,92.2699966430664,77.3301773071289,1604018.1818181819,92.27,296432.0,19.4249,1.0149,2.0372,0.0299,2.09,0.4663,0.3188,0.3188,35.0611,46.9919,30.335,75.6254,89.87,93.584,100.971,103.245,5.463,5.459
2013-09-30,93.43000030517578,99.0999984741211,92.31999969482422,95.26000213623047,79.83604431152344,1171580.0,95.26,384482.0,19.7705,0.9533,2.3435,0.0401,2.18,0.4212,-2.6156,-2.6156,43.9223,50.1551,29.932,78.6,94.2012,96.711,99.604,99.604,6.134,6.134
2013-10-31,95.19000244140625,108.86000061035156,92.51000213623047,107.51000213623047,90.10258483886719,1288130.4347826086,107.51,714452.0,19.7705,0.9533,2.3435,0.0401,2.18,0.4212,-2.6156,-2.6156,73.5064,71.9639,26.239,82.345,97.51,105.594,103.7,99.604,4.903,6.134
2013-11-30,107.56999969482422,114.4800033569336,106.66999816894531,112.68000030517578,94.95277404785156,1228475.0,112.68,256315.0,19.7705,0.9533,2.3435,0.0401,2.18,0.4212,-2.6156,-2.6156,65.2811,66.835,26.971,86.7412,103.7318,111.317,99.011,99.604,3.787,6.134
2013-12-31,112.5999984741211,116.19000244140625,107.20999908447266,114.61000061035156,96.57915496826172,1408085.7142857143,114.61,216584.0,19.3901,0.9956,2.3957,0.0526,2.1727,0.3141,-4.9259,-4.9259,65.3275,63.3365,20.389,91.5013,109.9872,112.917,95.304,95.304,2.939,2.939
2014-01-31,114.18000030517578,123.6500015258789,110.5,115.55000305175781,97.37129211425781,1473690.4761904762,115.55,634013.0,19.3901,0.9956,2.3957,0.0526,2.1727,0.3141,-4.9259,-4.9259,53.4046,53.6304,19.277,96.2574,113.1324,115.434,95.249,95.304,2.414,2.939
2014-02-28,116.08999633789062,123.30000305175781,109.16999816894531,121.02999877929688,102.51588439941406,1498821.0526315789,121.03,473008.0,19.3901,0.9956,2.3957,0.0526,2.1727,0.3141,-4.9259,-4.9259,61.6611,60.4794,14.124,100.2754,115.7524,120.204,99.043,95.304,3.011,2.939
2014-03-31,119.73999786376953,125.37000274658203,119.68000030517578,123.37999725341797,104.50639343261719,1323580.9523809524,123.38,386059.0,20.3813,1.02,2.5301,0.0705,2.68,0.9817,-4.194,-4.194,58.4803,57.3315,15.858,104.5163,119.1394,122.103,98.807,98.807,3.236,3.236
2014-04-30,123.16000366210938,126.0,116.11000061035156,121.51000213623047,102.92245483398438,1371171.4285714286,121.51,441488.0,20.3813,1.02,2.5301,0.0705,2.68,0.9817,-4.194,-4.194,55.8594,53.262,10.211,108.357,121.2086,120.551,99.802,98.807,3.739,3.236
2014-05-31,121.22000122070312,123.4800033569336,117.5,121.55000305175781,103.55906677246094,1015504.7619047619,121.55,356243.0,20.3813,1.02,2.5301,0.0705,2.68,0.9817,-4.194,-4.194,60.6415,55.633,2.853,111.3431,120.5984,119.521,99.308,98.807,4.693,3.236
2014-06-30,121.31999969482422,124.91999816894531,119.30000305175781,119.62999725341797,101.92325592041016,1024552.380952381,119.63,267164.0,20.8312,1.0823,2.4948,0.0561,2.41,1.0546,-4.0515,-4.0515,37.967,42.8004,1.729,114.2824,120.965,121.284,99.249,99.249,5.005,5.005
2014-07-31,119.33000183105469,128.4600067138672,118.2300033569336,123.2699966430664,105.02449798583984,982890.9090909091,123.27,349182.0,20.8312,1.0823,2.4948,0.0561,2.41,1.0546,-4.0515,-4.0515,41.4468,47.7892,-1.583,117.2728,122.2376,126.089,108.272,99.249,3.597,5.005
2014-08-31,122.91000366210938,128.66000366210938,119.97000122070312,127.22000122070312,108.98764038085938,888695.2380952381,127.22,332135.0,20.8312,1.0823,2.4948,0.0561,2.41,1.0546,-4.0515,-4.0515,58.0394,58.122,-1.317,119.2902,123.8584,127.455,100.171,99.249,5.968,5.005
2014-09-30,128.41000366210938,134.24000549316406,126.73999786376953,131.75999450683594,112.8769760131836,1041700.0,131.76,327820.0,21.2063,1.0807,2.7694,0.0524,2.29,1.0941,-1.998,-1.998,57.6187,58.4148,-0.564,121.3435,127.5198,131.397,100.192,100.192,3.924,3.924
2014-10-31,130.61000061035156,139.22000122070312,118.23999786376953,137.9600067138672,118.1884536743164,1326056.5217391304,137.96,447152.0,21.2063,1.0807,2.7694,0.0524,2.29,1.0941,-1.998,-1.998,78.8151,70.8807,2.391,122.9233,128.6606,131.18,103.164,100.192,3.228,3.924
2014-11-30,137.7899932861328,142.50999450683594,134.8300018310547,140.92999267578125,121.3327865600586,1052594.7368421052,140.93,324238.0,21.2063,1.0807,2.7694,0.0524,2.29,1.0941,-1.998,-1.998,68.9952,66.5729,6.308,125.1131,132.1408,138.984,92.326,100.192,3.189,3.924
2014-12-31,140.72000122070312,153.19000244140625,138.67999267578125,147.38999938964844,126.89450073242188,1366263.6363636365,147.39,451992.0,23.1756,1.1324,4.1151,0.0476,2.525,0.7964,-0.7958,-0.7958,49.0685,54.7053,15.062,127.8244,140.5458,149.817,92.157,92.157,2.114,2.114
2015-01-31,148.2899932861328,159.1999969482422,141.5800018310547,156.9499969482422,135.12510681152344,1979275.0,156.95,552878.0,23.1756,1.1324,4.1151,0.0476,2.525,0.7964,-0.7958,-0.7958,63.4687,63.0599,19.368,130.9494,147.6078,154.951,94.878,92.157,1.651,2.114
2015-02-28,157.2899932861328,172.3000030517578,154.69000244140625,165.7100067138672,143.26158142089844,1321357.894736842,165.71,324591.0,23.1756,1.1324,4.1151,0.0476,2.525,0.7964,-0.7958,-0.7958,49.0446,57.1423,24.664,135.2405,156.8366,168.613,100.307,92.157,2.516,2.114
2015-03-31,165.61000061035156,167.72999572753906,156.32000732421875,160.9600067138672,139.1551055908203,1517677.2727272727,160.96,508520.0,22.7984,1.1261,4.7326,0.1244,2.45,1.6113,1.8639,1.8639,47.3684,48.1321,18.717,139.6962,162.0398,161.541,90.677,90.677,1.753,1.753
