Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,27.352941513061523,28.50094985961914,25.834915161132812,25.834915161132812,17.31386947631836,43299105.72727273,27.23,27248851.0,18.7686,0.7945,2.5225,0.0114,0.38,0.3091,-16.6275,-16.6275,21.8448,29.3363,0.5498,25.1556,27.8157,27.1739,77.404,77.81,1.766,1.982
2013-06-30,25.90132713317871,28.282732009887695,25.73055076599121,26.574953079223633,17.809823989868164,116549449.1,28.01,39853658.0,33.3713,0.7739,2.5306,0.0111,2.0,0.1896,-7.1234,-7.1234,40.6008,42.7815,-1.8795,25.5772,27.4158,26.99,77.234,77.234,2.306,2.306
2013-07-31,26.537002563476562,28.870967864990234,25.929790496826172,27.73244857788086,18.737112045288086,36691076.68181818,29.23,10309656.0,33.3713,0.7739,2.5306,0.0111,2.0,0.1896,-7.1234,-7.1234,55.511,56.281,-4.3865,25.9969,27.0876,27.7398,77.146,77.234,2.269,2.306
2013-08-31,27.92220115661621,27.94117546081543,26.33776092529297,26.764705657958984,18.083263397216797,24568883.772727273,28.21,8713421.0,33.3713,0.7739,2.5306,0.0111,2.0,0.1896,-7.1234,-7.1234,40.6548,41.5701,-4.576,26.3819,27.1561,26.7568,80.544,77.234,2.576,2.306
2013-09-30,26.925996780395508,27.770397186279297,26.43263816833496,27.25806427001953,18.41659927368164,26782914.65,28.71,10680441.0,32.2665,0.773,2.4388,0.0105,0.39,0.1698,-2.3933,-2.3933,52.1013,51.7562,-7.0562,26.7419,27.2642,27.263,79.575,79.575,2.149,2.149
2013-10-31,27.11574935913086,29.743833541870117,26.584440231323242,29.117647171020508,19.67300796508789,28525263.56521739,30.68,8295906.0,32.2665,0.773,2.4388,0.0105,0.39,0.1698,-2.3933,-2.3933,61.6325,63.0667,-9.2277,27.1765,27.536,29.103,79.532,79.575,1.973,2.149
2013-11-30,29.127134323120117,30.834915161132812,29.117647171020508,30.1043643951416,20.497133255004883,24360596.25,31.73,4658825.0,32.2665,0.773,2.4388,0.0105,0.39,0.1698,-2.3933,-2.3933,52.4553,58.102,1.3674,27.6094,28.7771,30.2898,75.902,79.575,2.613,2.149
2013-12-31,29.99051284790039,30.294118881225586,28.415559768676758,29.060720443725586,19.78655433654785,26508054.85714286,30.63,4968839.0,27.9387,0.7382,2.6027,0.0107,0.4,0.2308,-2.3972,-2.3972,47.4993,46.5115,-2.8593,27.9143,29.4971,28.9143,75.392,75.392,2.005,2.005
2014-01-31,28.908918380737305,29.81024742126465,28.140417098999023,28.842504501342773,19.63797378540039,27467721.76190476,30.4,13096626.0,27.9387,0.7382,2.6027,0.0107,0.4,0.2308,-2.3972,-2.3972,46.3322,46.5432,-2.1598,28.0598,29.3218,29.0167,75.305,75.392,1.725,2.005
2014-02-28,29.440227508544922,30.74952507019043,29.003795623779297,30.464895248413086,20.915578842163086,29570613.47368421,32.11,9888941.0,27.9387,0.7382,2.6027,0.0107,0.4,0.2308,-2.3972,-2.3972,61.7845,59.6145,0.9579,28.231,29.3822,30.1941,73.18,75.392,2.1,2.005
2014-03-31,29.905122756958008,31.271347045898438,29.25047492980957,30.474382400512695,20.922088623046875,28673819.14285714,32.12,7159536.0,26.9836,0.794,2.6417,0.0106,0.36,0.1685,-8.5173,-8.5173,54.3488,53.6293,1.331,28.5777,29.9214,30.2699,73.823,73.823,1.865,1.865
2014-04-30,30.294118881225586,31.015180587768555,28.064516067504883,29.677419662475586,20.37493896484375,33721746.190476194,31.28,8334281.0,26.9836,0.794,2.6417,0.0106,0.36,0.1685,-8.5173,-8.5173,52.8543,51.0018,-3.8533,28.8422,29.934,29.3542,73.931,73.823,1.62,1.865
2014-05-31,29.4876651763916,29.96204948425293,27.2960147857666,28.111953735351562,19.47220230102539,34478272.38095238,29.63,7574429.0,26.9836,0.794,2.6417,0.0106,0.36,0.1685,-8.5173,-8.5173,50.2887,45.5032,-11.9611,28.8742,28.9597,27.9474,94.809,73.823,2.112,1.865
2014-06-30,28.074003219604492,28.387096405029297,27.656545639038086,28.159393310546875,19.505056381225586,24275707.85714286,29.68,5740817.0,13.4057,0.874,2.468,0.0106,0.46,0.2024,-1.5417,-1.5417,53.2292,50.9562,-10.4464,28.997,28.2523,28.064,94.5,94.5,2.726,2.726
2014-07-31,28.092979431152344,29.705881118774414,27.229602813720703,27.229602813720703,19.027429580688477,25436162.954545453,28.7,8643500.0,13.4057,0.874,2.468,0.0106,0.46,0.2024,-1.5417,-1.5417,20.8787,29.5654,-9.4844,29.1473,28.2942,28.465,98.489,94.5,2.706,2.726
2014-08-31,27.229602813720703,28.149904251098633,26.44212532043457,27.88425064086914,19.484878540039062,23143727.0,29.39,5352962.0,13.4057,0.874,2.468,0.0106,0.46,0.2024,-1.5417,-1.5417,63.5625,56.1554,-15.6438,28.9466,27.9613,27.5654,92.237,94.5,3.615,2.726
2014-09-30,27.713472366333008,29.25996208190918,27.523719787597656,28.055028915405273,19.604215621948242,23793437.57142857,29.57,7830332.0,13.4362,0.9689,2.4051,0.0106,0.42,0.2097,-2.2305,-2.2305,42.2439,47.2635,-12.7929,28.7635,27.8369,28.5247,92.248,92.248,2.395,2.395
