Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,45.959999084472656,47.369998931884766,44.38999938964844,45.720001220703125,40.08619689941406,192810.52631578947,12.1398,1.1404,54.0387,0.0594,13.459,4.26,1.8344,104.056,46.014,29.2043,109.552,44.4308,40.6922,45.72,7.0183,-0.17,5.849,50.9374,81846.0
2013-03-31,45.29999923706055,48.290000915527344,45.29999923706055,48.0,42.22566604614258,160520.0,7.5259,1.1422,60.4371,0.2527,2.3229,8.563,2.3488,110.933,47.099,28.8629,110.933,46.1822,41.7794,48.0,7.8374,0.07,8.563,62.1029,77069.0
2013-04-30,47.79999923706055,49.79999923706055,46.31999969482422,49.02000045776367,43.12296295166016,226663.63636363635,5.0325,1.1422,58.0727,0.2527,2.3229,8.563,2.3488,110.933,48.437,28.8629,113.999,47.444,42.812,49.02,7.8374,0.07,6.574,59.6863,65465.0
2013-05-31,48.79999923706055,53.779998779296875,47.68000030517578,51.45000076293945,45.42688751220703,195563.63636363635,6.2584,1.1422,51.8539,0.2527,2.3229,8.563,2.3488,110.933,52.29,28.8629,104.362,49.6264,44.3287,51.45,7.8374,0.07,8.106,47.1369,73503.0
2013-06-30,51.5099983215332,54.880001068115234,50.0,52.40999984741211,46.274505615234375,299385.0,10.6685,1.114,52.5063,1.1386,4.387,4.835,5.2019,103.962,52.099,25.6865,103.962,51.376,45.7027,52.41,7.036,1.43,4.835,52.7169,255810.0
2013-07-31,52.91999816894531,55.27000045776367,51.880001068115234,52.779998779296875,46.60118103027344,234727.27272727274,5.9482,1.114,48.1983,1.1386,4.387,4.835,5.2019,103.962,52.682,25.6865,103.919,52.764,47.0306,52.78,7.036,1.43,5.293,45.7049,92793.0
2013-08-31,53.29999923706055,55.29999923706055,51.880001068115234,52.09000015258789,46.15576171875,143895.45454545456,6.0137,1.114,40.9822,1.1386,4.387,4.835,5.2019,103.962,53.116,25.6865,105.585,53.257,48.3249,52.09,7.036,1.43,16.05,36.8434,72156.0
2013-09-30,52.63999938964844,58.869998931884766,51.7599983215332,56.06999969482422,49.68233871459961,164920.0,8.2604,1.0547,56.2293,0.0879,9.4938,8.846,4.8813,105.739,56.855,29.0939,105.739,54.1476,49.7456,56.13,7.7923,0.7,8.846,53.0846,104153.0
2013-10-31,56.02000045776367,56.58000183105469,50.58000183105469,54.380001068115234,48.18486404418945,219030.4347826087,2.7987,1.0547,48.237,0.0879,9.4938,8.846,4.8813,105.739,54.404,29.0939,106.243,54.684,51.1112,54.38,7.7923,0.7,6.875,47.2997,53309.0
2013-11-30,54.290000915527344,56.970001220703125,52.79999923706055,56.040000915527344,49.8341064453125,194975.0,-2.8,1.0547,60.6232,0.0879,9.4938,8.846,4.8813,105.739,55.265,29.0939,106.528,54.8568,52.0368,56.04,7.7923,0.7,13.343,65.3745,45935.0
