Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,61.11000061035156,67.88999938964844,59.15999984741211,66.56999969482422,45.68815612792969,4131263.6363636362,66.57,966118.0,21.1648,1.1407,2.0374,0.0312,2.25,0.3229,-10.6189,-10.6189,65.4676,61.361,11.7504,54.7254,63.5062,65.965,76.709,77.971,1.72,1.556
2013-06-30,67.04000091552734,67.08999633789062,56.84000015258789,58.90999984741211,40.43096160888672,3455970.0,58.91,1212735.0,23.0131,1.224,1.6871,0.0239,1.55,0.3512,-8.2937,-8.2937,33.9159,36.8178,5.7938,56.7943,63.0242,60.637,76.743,76.743,1.641,1.641
2013-07-31,59.2400016784668,61.970001220703125,54.79999923706055,61.5,42.208534240722656,4393568.181818182,61.5,1846655.0,23.0131,1.224,1.6871,0.0239,1.55,0.3512,-8.2937,-8.2937,65.5586,58.4558,-5.8368,58.1498,61.302,58.805,77.93,76.743,1.153,1.641
2013-08-31,61.869998931884766,61.90999984741211,54.900001525878906,57.099998474121094,39.39741516113281,3374395.4545454546,57.1,861189.0,23.0131,1.224,1.6871,0.0239,1.55,0.3512,-8.2937,-8.2937,43.8276,45.0316,-16.9563,59.4116,58.2556,57.46,77.843,76.743,1.795,1.641
2013-09-30,57.7599983215332,59.31999969482422,55.810001373291016,57.81999969482422,39.89419937133789,3380980.0,57.82,994346.0,17.1308,1.1441,1.6394,0.0226,0.88,0.0333,2.3844,2.3844,51.0408,50.455,-19.9593,60.1456,58.0012,57.744,76.939,76.939,1.651,1.651
2013-10-31,57.650001525878906,65.63999938964844,56.5,64.43000030517578,44.45491027832031,3696886.9565217393,64.43,998832.0,17.1308,1.1441,1.6394,0.0226,0.88,0.0333,2.3844,2.3844,64.5011,64.249,-7.4847,61.173,59.3054,64.064,75.314,76.939,1.666,1.651
2013-11-30,64.47000122070312,71.0,63.290000915527344,69.61000061035156,48.316707611083984,3115840.0,69.61,598949.0,17.1308,1.1441,1.6394,0.0226,0.88,0.0333,2.3844,2.3844,73.6956,71.9575,-5.1456,61.8231,62.9736,68.221,75.782,76.939,1.955,1.651
2013-12-31,70.0,77.29000091552734,68.33000183105469,77.12999725341797,53.536380767822266,3330104.761904762,77.13,699138.0,17.4418,1.1403,2.1067,0.0377,1.38,0.1253,-2.8262,-2.8262,80.786,77.3486,6.009,62.7044,68.7384,74.44,75.649,75.649,2.465,2.465
2014-01-31,77.16999816894531,79.0,70.80999755859375,73.08999633789062,50.7321891784668,3688495.238095238,73.09,1124008.0,17.4418,1.1403,2.1067,0.0377,1.38,0.1253,-2.8262,-2.8262,32.335,40.8935,19.8485,63.9186,73.4002,75.247,75.261,75.649,1.557,2.465
2014-02-28,73.12000274658203,78.88999938964844,68.77999877929688,74.86000061035156,52.23741149902344,3954363.1578947366,74.86,1443820.0,17.4418,1.1403,2.1067,0.0377,1.38,0.1253,-2.8262,-2.8262,48.2354,50.0481,17.8172,65.1445,75.0446,75.696,77.645,75.649,1.743,2.465
2014-03-31,74.6500015258789,80.38999938964844,74.37000274658203,77.05999755859375,53.77257537841797,3030919.0476190476,77.06,1148844.0,18.2125,1.111,2.0439,0.0335,2.69,0.171,-3.1407,-3.1407,45.3986,49.0733,22.3933,66.4717,76.027,77.863,76.601,76.601,2.222,2.222
2014-04-30,77.22000122070312,84.8499984741211,76.18000030517578,83.22000122070312,58.071022033691406,3308833.3333333335,83.22,978428.0,18.2125,1.111,2.0439,0.0335,2.69,0.171,-3.1407,-3.1407,66.5486,64.1337,20.5072,68.6523,78.576,82.367,77.269,76.601,2.616,2.222
2014-05-31,83.2699966430664,85.41999816894531,80.81999969482422,84.79000091552734,59.522769927978516,3389609.523809524,84.79,1685804.0,18.2125,1.111,2.0439,0.0335,2.69,0.171,-3.1407,-3.1407,65.9041,61.6489,17.2314,71.222,81.0464,82.684,74.586,76.601,3.529,2.222
2014-06-30,84.98999786376953,87.05000305175781,79.16000366210938,80.43000030517578,56.46202087402344,3587961.904761905,80.43,825483.0,17.5879,1.1479,2.1157,0.0352,1.52,0.2475,5.1406,5.1406,31.3188,37.4001,6.4763,73.9726,83.3016,83.642,74.134,74.134,3.299,3.299
2014-07-31,80.5999984741211,83.41000366210938,78.52999877929688,81.11000061035156,56.939353942871094,3182609.090909091,81.11,786278.0,17.5879,1.1479,2.1157,0.0352,1.52,0.2475,5.1406,5.1406,46.3762,47.2884,-1.5566,76.4812,82.337,81.545,77.848,74.134,4.247,3.299
2014-08-31,80.62000274658203,87.1500015258789,79.25,87.0199966430664,61.46043395996094,2506304.761904762,87.02,810017.0,17.5879,1.1479,2.1157,0.0352,1.52,0.2475,5.1406,5.1406,72.2708,67.7948,4.9487,78.6281,82.6392,86.427,75.609,74.134,5.564,3.299
2014-09-30,86.91000366210938,87.9800033569336,80.68000030517578,81.30999755859375,57.42755889892578,3103028.5714285714,81.31,866206.0,20.5146,1.1454,2.0897,0.0268,2.11,0.8737,-9.7146,-9.7146,27.9857,34.3682,1.1553,80.2495,84.0464,83.417,75.661,75.661,3.072,3.072
