Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,33.18000030517578,34.65999984741211,32.189998626708984,34.43000030517578,25.542821884155273,10335105.263157895,6.5071,1.0862,59.5461,0.0118,-12.8947,3.07,0.5042,87.893,33.7195,15.9175,94.839,32.6793,29.6135,34.37,3.1637,0.23,2.304,60.2515,3580366.0
2013-03-31,34.130001068115234,35.72999954223633,33.83000183105469,35.47999954223633,26.321792602539062,9375535.0,13.954,1.0789,61.3362,0.0109,-7.5617,2.676,0.5478,95.886,34.829,16.6553,95.886,34.0639,30.2164,35.48,3.5791,0.32,2.676,63.7352,2438156.0
2013-04-30,35.2599983215332,36.2599983215332,33.560001373291016,36.209999084472656,27.07329750061035,10159768.181818182,14.8528,1.0789,59.6578,0.0109,-7.5617,2.676,0.5478,95.886,35.292,16.6553,97.269,34.8748,31.0297,36.21,3.5791,0.32,2.438,62.4405,2176746.0
2013-05-31,36.25,37.36000061035156,35.529998779296875,35.90999984741211,26.84899139404297,8854250.0,5.6345,1.0789,45.4416,0.0109,-7.5617,2.676,0.5478,95.886,36.264,16.6553,96.654,35.7482,32.0125,35.89,3.5791,0.32,2.274,40.0361,2907973.0
2013-06-30,35.939998626708984,36.9900016784668,34.099998474121094,34.849998474121094,26.056453704833984,7954535.0,1.9267,1.0916,44.161,0.0121,-8.6357,2.545,0.5781,90.832,35.108,18.3299,90.832,35.9658,32.6219,34.87,3.4944,0.59,2.545,43.6946,3475561.0
2013-07-31,34.95000076293945,39.7400016784668,34.810001373291016,39.18000030517578,29.5051212310791,7719645.454545454,1.9982,1.0916,68.3491,0.0121,-8.6357,2.545,0.5781,90.832,38.506,18.3299,91.726,36.4343,33.6356,39.2,3.4944,0.59,2.699,70.8506,2294245.0
2013-08-31,39.36000061035156,39.9900016784668,38.0,38.20000076293945,28.76712417602539,6068968.181818182,4.9465,1.0916,44.7676,0.0121,-8.6357,2.545,0.5781,90.832,38.621,18.3299,89.871,37.8585,34.7938,38.2,3.4944,0.59,4.196,39.4683,1479264.0
2013-09-30,38.619998931884766,40.939998626708984,38.47999954223633,40.290000915527344,30.34102439880371,5168055.0,5.6868,1.1146,56.6701,0.0104,-4.3068,4.367,0.4795,89.556,40.482,16.7988,89.556,39.462,35.8453,40.27,4.0127,0.56,4.367,54.0683,1995508.0
2013-10-31,40.34000015258789,42.34000015258789,38.91999816894531,42.09000015258789,31.930116653442383,7580839.130434782,4.1537,1.1146,67.5458,0.0104,-4.3068,4.367,0.4795,89.556,40.84,16.7988,94.841,40.0626,36.8746,42.08,4.0127,0.56,2.76,72.2516,2493053.0
2013-11-30,42.36000061035156,43.08000183105469,41.5,43.0,32.620460510253906,4888420.0,6.8753,1.1146,65.284,0.0104,-4.3068,4.367,0.4795,89.556,42.492,16.7988,91.072,41.1616,37.7641,43.0,4.0127,0.56,5.262,67.3767,1428138.0
2013-12-31,42.95000076293945,44.09000015258789,41.90999984741211,43.90999984741211,33.31079864501953,4546338.095238095,8.9197,1.1324,63.5311,0.0106,1.6448,6.185,0.3927,90.905,43.269,19.5976,90.905,42.3284,38.6578,43.91,4.4473,0.46,6.185,67.1643,1110496.0
2014-01-31,43.439998626708984,44.81999969482422,41.2599983215332,42.400001525878906,32.39179992675781,6914928.571428572,4.4766,1.1324,43.8727,0.0106,1.6448,6.185,0.3927,90.905,43.198,19.5976,90.948,42.9856,39.5178,42.4,4.4473,0.46,2.678,40.3923,3994064.0
2014-02-28,42.41999816894531,45.189998626708984,40.33000183105469,44.959999084472656,34.347530364990234,6182326.315789473,1.6117,1.1324,68.2945,0.0106,1.6448,6.185,0.3927,90.905,44.344,19.5976,90.481,43.2234,40.1949,44.96,4.4473,0.46,4.251,77.3682,2470588.0
2014-03-31,44.68000030517578,47.650001525878906,44.150001525878906,47.15999984741211,36.02824783325195,6705204.761904762,3.5574,1.1018,63.5902,0.0106,3.3969,3.575,0.4647,92.236,46.4535,20.9345,92.236,44.3621,41.2201,47.15,4.8136,0.44,3.575,64.9871,1607705.0
2014-04-30,47.31999969482422,49.77000045776367,44.540000915527344,45.45000076293945,34.9481201171875,7382309.523809524,5.7215,1.1018,46.5021,0.0106,3.3969,3.575,0.4647,92.236,46.203,20.9345,92.027,45.8459,42.3398,45.45,4.8136,0.44,2.276,44.2723,2461328.0
2014-05-31,45.90999984741211,47.150001525878906,44.68000030517578,46.97999954223633,36.12459945678711,5382047.619047619,2.5236,1.1018,58.8202,0.0106,3.3969,3.575,0.4647,92.236,46.08,20.9345,90.498,46.2156,43.0666,46.98,4.8136,0.44,4.254,65.5183,1760638.0
2014-06-30,47.0,48.45000076293945,45.650001525878906,47.790000915527344,36.747432708740234,4088552.380952381,3.194,1.0228,55.5748,0.0108,8.0407,4.519,0.5141,90.197,47.915,21.1944,90.197,46.7692,43.9864,47.79,4.9285,0.63,4.519,52.276,1236195.0
2014-07-31,48.029998779296875,49.529998779296875,46.02000045776367,46.25,35.7900390625,6154654.545454546,3.4149,1.0228,36.391,0.0108,8.0407,4.519,0.5141,90.197,47.763,21.1944,100.159,47.8319,44.8757,46.25,4.9285,0.63,2.548,31.9737,3162262.0
2014-08-31,46.27000045776367,48.5,45.599998474121094,48.18000030517578,37.283538818359375,4694857.142857143,0.8145,1.0228,58.4099,0.0108,8.0407,4.519,0.5141,90.197,47.815,21.1944,89.777,47.776,45.4985,48.18,4.9285,0.63,4.832,63.6215,1321333.0
2014-09-30,48.43000030517578,49.369998931884766,47.099998474121094,47.689998626708984,36.904354095458984,4710666.666666667,-2.1092,0.9927,44.0566,0.0107,7.9223,3.414,0.382,89.917,48.4645,23.0183,89.917,47.6717,46.0864,47.69,4.8622,0.77,3.414,38.2764,2193816.0
2014-10-31,47.5099983215332,50.209999084472656,41.470001220703125,49.65999984741211,38.70012664794922,10554126.086956521,-4.0485,0.9927,65.5254,0.0107,7.9223,3.414,0.382,89.917,47.434,23.0183,89.818,47.1663,46.4192,49.66,4.8622,0.77,2.947,71.3528,5249390.0
2014-11-30,49.650001525878906,54.7400016784668,49.54999923706055,54.41999816894531,42.40958786010742,4984957.894736842,3.8067,0.9927,78.1035,0.0107,7.9223,3.414,0.382,89.917,52.579,23.0183,89.05,48.5862,47.2866,54.42,4.8622,0.77,5.574,83.3442,1258380.0
2014-12-31,54.27000045776367,56.0,51.959999084472656,53.470001220703125,41.66925811767578,5498845.454545454,7.6006,1.1865,48.7665,0.0118,7.959,4.092,0.2801,89.006,54.3255,26.2113,89.006,52.2092,48.327,53.465,5.4355,0.76,4.092,41.3816,1640364.0
2015-01-31,53.560001373291016,55.459999084472656,51.720001220703125,53.45000076293945,41.91358184814453,5889670.0,8.1461,1.1865,47.3938,0.0118,7.959,4.092,0.2801,89.006,54.3335,26.2113,92.784,53.8145,49.0365,53.45,5.4355,0.76,2.8,43.9265,3762341.0
2015-02-28,53.5,59.4900016784668,52.40999984741211,58.79999923706055,46.108863830566406,5461089.47368421,13.5198,1.1865,66.7832,0.0118,7.959,4.092,0.2801,89.006,58.5215,26.2113,94.635,54.9762,50.0674,58.8,5.4355,0.76,3.868,67.1854,1773186.0
2015-03-31,59.06999969482422,59.9900016784668,54.619998931884766,57.189998626708984,44.846343994140625,5128936.363636363,14.8148,1.1916,48.4485,0.0111,5.5984,3.245,0.3278,90.544,57.668,28.0623,90.544,56.8765,51.2943,57.185,5.775,0.62,3.245,46.9367,2017146.0
2015-04-30,57.04999923706055,58.869998931884766,53.91999816894531,54.209999084472656,42.77128219604492,5772223.80952381,14.1649,1.1916,36.8523,0.0111,5.5984,3.245,0.3278,90.544,56.172,28.0623,90.146,57.5193,52.1738,54.21,5.775,0.62,2.828,32.3387,2437559.0
2015-05-31,54.709999084472656,56.400001525878906,53.34000015258789,55.91999816894531,44.12046813964844,5261115.0,2.713,1.1916,52.6771,0.0111,5.5984,3.245,0.3278,90.544,55.6035,28.0623,91.032,56.2486,52.9599,55.92,5.775,0.62,3.711,56.7018,2223572.0
2015-06-30,55.70000076293945,56.34000015258789,51.29999923706055,51.5099983215332,40.6410026550293,5332463.636363637,-3.14,1.1549,33.4556,0.0108,-1.8226,3.874,0.3864,91.335,53.6065,28.6198,91.335,54.6123,53.6025,51.51,5.2513,0.66,3.874,28.439,2185266.0
2015-07-31,52.150001525878906,52.310001373291016,48.0,49.97999954223633,39.70339584350586,8918850.0,-10.033,1.1549,45.3864,0.0108,-1.8226,3.874,0.3864,91.335,49.845,28.6198,90.911,52.2898,53.9305,49.98,5.2513,0.66,2.718,48.5314,2589853.0
2015-08-31,50.08000183105469,52.45000076293945,43.4900016784668,47.84000015258789,38.003421783447266,8609995.238095239,-12.7257,1.1549,46.3858,0.0108,-1.8226,3.874,0.3864,91.335,46.921,28.6198,109.551,49.9898,54.0037,47.84,5.2513,0.66,2.114,49.1508,3154084.0
