Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,57.09000015258789,58.56999969482422,55.29999923706055,57.88999938964844,55.422794342041016,782163.1578947369,33.2307,1.2129,58.7086,0.0348,6.1294,2.139,4.6396,99.284,57.368,17.7035,110.512,53.8136,44.8276,57.89,1.7216,1.39,2.35,57.0363,168103.0
2013-03-31,57.400001525878906,65.0,56.06999969482422,63.869998931884766,61.147953033447266,773435.0,31.1141,1.246,72.2774,0.0385,2.1526,3.03,4.2952,110.018,62.874,16.5186,110.018,58.4954,47.0714,63.87,2.1996,1.23,3.03,73.8736,283210.0
2013-04-30,63.880001068115234,68.75,59.08000183105469,66.58999633789062,63.75200653076172,1079018.1818181819,28.5067,1.246,69.2647,0.0385,2.1526,3.03,4.2952,110.018,62.804,16.5186,116.444,61.2098,49.4737,66.59,2.1996,1.23,1.076,75.2449,227412.0
2013-05-31,66.51000213623047,70.44000244140625,65.19999694824219,69.13999938964844,66.24242401123047,731931.8181818182,31.7373,1.246,59.456,0.0385,2.1526,3.03,4.2952,110.018,67.675,16.5186,113.724,64.8114,52.519,69.14,2.1996,1.23,1.722,58.9142,182929.0
2013-06-30,69.33000183105469,71.54000091552734,64.8499984741211,66.95999908447266,64.15379333496094,574345.0,28.07,1.2261,46.8435,0.0506,6.4937,2.489,4.3242,103.339,67.111,17.3254,103.339,67.1632,55.3413,66.96,2.1956,1.55,2.489,44.9512,345210.0
2013-07-31,67.0,70.93000030517578,63.5099983215332,69.94999694824219,67.01848602294922,787518.1818181818,11.5637,1.2261,59.9137,0.0506,6.4937,2.489,4.3242,103.339,68.602,17.3254,103.752,67.9752,57.862,69.95,2.1956,1.55,1.179,64.4796,138456.0
2013-08-31,70.41000366210938,72.73999786376953,67.5,67.75,64.95774841308594,516622.7272727273,11.2516,1.2261,40.9413,0.0506,6.4937,2.489,4.3242,103.339,69.499,17.3254,100.244,68.6024,60.7599,67.75,2.1956,1.55,2.674,35.3684,146054.0
2013-09-30,68.58999633789062,75.3499984741211,66.91999816894531,74.98999786376953,71.89935302734375,521190.0,6.4406,1.1644,71.3064,0.0576,8.0945,1.964,4.1514,99.149,73.698,18.2417,99.149,70.5408,63.5007,74.99,2.3641,1.17,1.964,78.1262,230675.0
2013-10-31,75.44999694824219,81.69000244140625,74.97000122070312,80.55999755859375,77.2397689819336,676082.6086956522,14.1182,1.1644,66.8362,0.0576,8.0945,1.964,4.1514,99.149,79.884,18.2417,99.015,74.356,66.8258,80.56,2.3641,1.17,2.13,66.1789,208281.0
2013-11-30,80.62999725341797,82.9800033569336,77.23999786376953,82.43000030517578,79.0809097290039,890315.0,9.6114,1.1644,64.7289,0.0576,8.0945,1.964,4.1514,99.149,80.573,18.2417,99.438,78.5068,69.2107,82.43,2.3641,1.17,1.232,68.9337,61662.0
2013-12-31,82.76000213623047,83.83000183105469,78.11000061035156,81.26000213623047,77.95843505859375,651209.5238095238,6.8645,1.0769,54.2401,0.0677,2.0352,2.129,3.7303,99.52,80.159,17.1291,99.52,80.6346,71.5591,81.26,2.4551,1.27,2.129,56.8465,92500.0
2014-01-31,80.83999633789062,86.08000183105469,78.9800033569336,82.0199966430664,78.68756103515625,630919.0476190476,12.0616,1.0769,49.7965,0.0677,2.0352,2.129,3.7303,99.52,81.945,17.1291,112.69,81.81,73.677,82.02,2.4551,1.27,2.089,49.6931,200703.0
2014-02-28,81.68000030517578,83.56999969482422,77.12000274658203,80.27999877929688,77.06497955322266,704315.7894736842,5.8582,1.0769,45.0893,0.0677,2.0352,2.129,3.7303,99.52,82.146,17.1291,112.103,81.5386,75.176,80.28,2.4551,1.27,1.546,42.0251,298083.0
2014-03-31,79.68000030517578,82.13999938964844,74.19000244140625,82.06999969482422,78.78330993652344,888128.5714285715,-2.0304,1.1495,63.4109,0.0742,5.8244,2.593,3.5502,98.397,77.563,16.9913,98.397,79.8166,76.1486,82.07,2.3841,1.4,2.593,72.5151,248583.0
2014-04-30,82.16000366210938,86.0,73.05999755859375,81.79000091552734,78.51451873779297,854823.8095238095,-7.5667,1.1495,61.5968,0.0742,5.8244,2.593,3.5502,98.397,78.619,16.9913,98.6,78.7914,77.3539,81.79,2.3841,1.4,1.72,66.3967,278389.0
2014-05-31,82.16999816894531,90.66000366210938,81.37000274658203,89.56999969482422,86.03111267089844,727133.3333333334,0.7499,1.1495,73.4533,0.0742,5.8244,2.593,3.5502,98.397,88.172,16.9913,100.137,81.4744,79.0655,89.57,2.3841,1.4,1.871,77.2008,313249.0
2014-06-30,89.5,98.88999938964844,88.66000366210938,95.76000213623048,91.97653198242188,743528.5714285715,8.7184,1.0874,61.2308,0.0704,11.8144,1.691,3.2921,100.389,96.338,16.1766,100.389,88.5914,81.7292,95.76,2.6678,1.53,1.691,56.2632,330862.0
2014-07-31,95.87000274658205,110.43000030517578,91.26000213623048,106.5999984741211,102.38824462890624,970550.0,8.942,1.0874,71.0287,0.0704,11.8144,1.691,3.2921,100.389,102.024,16.1766,102.513,95.2962,84.2447,106.6,2.6678,1.53,0.731,72.422,239474.0
2014-08-31,106.5500030517578,115.44000244140624,104.76000213623048,114.44000244140624,110.01551055908205,552890.4761904762,26.0862,1.0874,79.9316,0.0704,11.8144,1.691,3.2921,100.389,112.982,16.1766,100.597,102.7918,87.4369,114.44,2.6678,1.53,2.549,84.742,108834.0
2014-09-30,114.77999877929688,115.63999938964844,104.41999816894533,104.5,100.45978546142578,1806466.6666666667,33.3321,1.0782,35.0085,0.0654,12.2413,0.625,3.4224,101.616,111.379,14.8041,101.616,109.5408,90.5795,104.5,2.8858,0.84,0.625,27.8251,528788.0
2014-10-31,104.62000274658205,110.4499969482422,97.1500015258789,103.70999908447266,99.7003402709961,1046439.1304347826,28.8281,1.0782,44.2267,0.0654,12.2413,0.625,3.4224,101.616,105.93,14.8041,101.912,108.665,93.2417,103.71,2.8858,0.84,1.027,42.8978,224823.0
2014-11-30,103.63999938964844,107.79000091552734,95.62999725341795,104.62000274658205,100.67195892333984,1165578.9473684211,9.0821,1.0782,55.2,0.0654,12.2413,0.625,3.4224,101.616,102.829,14.8041,98.547,104.605,95.1943,104.62,2.8858,0.84,0.824,60.945,112644.0
2014-12-31,104.9000015258789,112.75,103.2300033569336,111.26000213623048,107.0613784790039,709450.0,8.3163,0.9623,63.0585,0.0847,20.8483,1.1,3.1549,98.89,110.527,15.6079,98.89,105.2194,98.3138,111.26,2.9482,1.75,1.1,64.9114,275537.0
2015-01-31,112.0500030517578,113.62000274658205,102.3499984741211,102.52999877929688,98.66081237792967,897155.0,5.9751,0.9623,38.0148,0.0847,20.8483,1.1,3.1549,98.89,106.885,15.6079,99.243,107.37,101.2932,102.53,2.9482,1.75,0.707,32.8326,190323.0
2015-02-28,102.86000061035156,114.87999725341795,101.1999969482422,113.3499984741211,109.1725082397461,641684.2105263158,-8.7095,0.9623,68.9086,0.0847,20.8483,1.1,3.1549,98.89,108.566,15.6079,106.277,107.9432,103.7611,113.35,2.9482,1.75,1.276,78.9617,187061.0
