Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,47.18000030517578,49.814998626708984,47.060001373291016,48.89500045776367,46.18398666381836,607515.7894736842,13.0724,1.2706,60.756,0.1096,14.1705,2.124,0.4301,97.954,48.628,21.6822,105.274,46.1649,41.1678,97.79,3.2832,1.35,1.092,59.4423,79248.0
2013-03-31,48.775001525878906,51.189998626708984,48.10499954223633,51.05500030517578,48.22423553466797,474560.0,14.8204,1.2349,65.8719,0.0896,5.5204,1.12,0.716,106.596,50.045,21.4176,106.596,48.3257,42.5391,102.11,3.6739,1.46,1.12,68.4664,72786.0
2013-04-30,51.09000015258789,52.68000030517578,48.03499984741211,52.470001220703125,49.56076431274414,621381.8181818182,10.8972,1.2349,63.5002,0.0896,5.5204,1.12,0.716,106.596,51.075,21.4176,109.402,49.9289,43.9905,104.94,3.6739,1.46,1.182,66.9887,93375.0
2013-05-31,52.3849983215332,56.494998931884766,51.18000030517578,55.005001068115234,51.97908782958984,572372.7272727273,12.6765,1.2349,61.6253,0.0896,5.5204,1.12,0.716,106.596,55.2255,21.4176,109.06,52.0984,45.6756,110.01,3.6739,1.46,1.714,58.9744,76961.0
2013-06-30,55.03499984741211,55.970001220703125,48.88999938964844,53.43000030517578,50.49073791503906,645095.0,7.4769,1.2662,51.7122,0.0451,4.6214,0.989,0.724,101.107,52.23,21.1258,101.107,53.4089,47.0261,53.43,3.668,0.78,0.989,54.5335,509932.0
2013-07-31,54.22999954223633,58.369998931884766,52.630001068115234,58.060001373291016,54.866024017333984,452545.45454545453,9.2847,1.2662,71.2026,0.0451,4.6214,0.989,0.724,101.107,57.174,21.1258,100.657,54.7494,48.6798,58.06,3.668,0.78,1.886,77.9093,160330.0
2013-08-31,58.810001373291016,60.11000061035156,57.380001068115234,58.52000045776367,55.33808135986328,372368.1818181818,10.1004,1.2662,52.0126,0.0451,4.6214,0.989,0.724,101.107,58.914,21.1258,100.715,56.6706,50.6201,58.52,3.668,0.78,2.912,48.0519,119776.0
2013-09-30,59.279998779296875,63.290000915527344,57.95000076293945,62.869998931884766,59.45156478881836,470980.0,14.2994,1.1423,64.5037,0.0501,7.455,2.511,1.2383,99.216,62.564,20.4934,99.216,59.7242,52.5888,62.87,4.0012,0.77,2.511,64.656,196366.0
2013-10-31,63.02000045776367,66.75,61.7599983215332,65.19000244140625,61.64541244506836,364252.17391304346,15.9925,1.1423,58.6229,0.0501,7.455,2.511,1.2383,99.216,65.664,20.4934,100.971,62.668,54.9354,65.19,4.0012,0.77,3.204,53.5157,89530.0
2013-11-30,65.41999816894531,69.44999694824219,63.5,69.0,65.28868103027344,435990.0,12.854,1.1423,69.2441,0.0501,7.455,2.511,1.2383,99.216,68.016,20.4934,99.944,65.1998,56.91,69.0,4.0012,0.77,2.956,72.7631,125897.0
2013-12-31,68.88999938964844,77.63999938964844,65.91999816894531,74.2699966430664,70.27521514892578,736528.5714285715,18.6468,1.0313,77.1201,0.0503,11.6452,2.685,0.7,100.018,73.757,20.2527,100.018,68.1626,59.168,74.27,4.5119,0.77,2.685,81.4054,86759.0
2014-01-31,73.98999786376953,77.12000274658203,70.33000183105469,73.80999755859375,69.83998107910156,555409.5238095238,20.1176,1.0313,53.2306,0.0503,11.6452,2.685,0.7,100.018,74.044,20.2527,99.518,71.5324,61.6535,73.81,4.5119,0.77,2.307,51.4629,123466.0
2014-02-28,73.87000274658203,79.97000122070312,69.55000305175781,79.37000274658203,75.14192962646484,621442.1052631579,17.4945,1.0313,67.1617,0.0503,11.6452,2.685,0.7,100.018,77.855,20.2527,107.503,74.4224,63.8799,79.37,4.5119,0.77,2.346,70.9772,79748.0
2014-03-31,78.47000122070312,82.41999816894531,76.05000305175781,77.5,73.37152099609375,679795.2380952381,17.0711,1.0841,44.1168,0.0584,12.9549,1.424,0.6767,101.154,79.313,19.987,101.154,77.0486,66.491,77.5,4.431,0.84,1.424,38.5204,246447.0
2014-04-30,79.0,79.45999908447266,69.44999694824219,74.55000305175781,70.57867431640625,706642.8571428572,6.1797,1.0841,47.5634,0.0584,12.9549,1.424,0.6767,101.154,74.237,19.987,100.514,77.3338,68.6923,74.55,4.431,0.84,0.97,50.3013,227485.0
2014-05-31,74.27999877929688,78.98999786376953,73.30999755859375,78.73999786376953,74.58484649658203,437685.71428571426,6.9059,1.0841,65.649,0.0584,12.9549,1.424,0.6767,101.154,76.482,19.987,99.834,75.6488,70.5686,78.74,4.431,0.84,1.473,73.251,143493.0
2014-06-30,79.0,83.7699966430664,77.62000274658203,82.58999633789062,78.23164367675781,450595.2380952381,6.2307,1.1262,64.2051,0.0623,14.5871,1.607,0.8378,99.572,82.51,20.0168,99.572,77.7638,72.8483,82.59,4.5149,0.92,1.607,62.8992,250954.0
2014-07-31,82.94999694824219,87.13999938964844,79.80999755859375,80.68000030517578,76.42244720458984,521072.7272727273,2.6997,1.1262,45.4151,0.0623,14.5871,1.607,0.8378,99.572,82.625,20.0168,101.744,81.0484,74.9669,80.68,4.5149,0.92,1.234,41.5776,176676.0
2014-08-31,80.1500015258789,85.0,78.51000213623047,83.36000061035156,79.0195083618164,350585.71428571426,1.2572,1.1262,53.2722,0.0623,14.5871,1.607,0.8378,99.572,84.019,20.0168,98.798,82.4254,76.7795,83.36,4.5149,0.92,2.304,51.2985,65865.0
2014-09-30,83.33000183105469,85.48999786376953,79.73999786376953,81.04000091552734,76.8203125,431528.5714285714,-2.7379,1.1229,42.9027,0.0573,26.2708,1.767,0.8127,99.237,81.989,20.1758,99.237,82.764,78.3833,81.04,4.3636,0.94,1.767,41.0995,121580.0
2014-10-31,80.97000122070312,86.5199966430664,70.19999694824219,86.30000305175781,81.80641174316406,850369.5652173914,1.3168,1.1229,71.0797,0.0573,26.2708,1.767,0.8127,99.237,80.276,20.1758,99.697,80.5914,78.8846,86.3,4.3636,0.94,0.922,80.2396,195241.0
2014-11-30,86.4000015258789,92.1999969482422,84.94999694824219,88.48999786376953,83.93848419189453,777236.8421052631,8.3016,1.1229,57.284,0.0573,26.2708,1.767,0.8127,99.237,89.831,20.1758,98.79,82.6524,80.3672,88.49,4.3636,0.94,1.07,49.2564,183189.0
2014-12-31,87.80999755859375,89.5199966430664,83.27999877929688,86.88999938964844,82.42076110839844,523272.7272727273,0.6234,1.2477,49.096,0.0806,20.4531,2.911,0.2018,98.8,87.829,20.7328,98.8,86.5718,81.1872,86.89,4.6278,0.96,2.911,45.9411,128945.0
2015-01-31,87.55999755859375,87.93000030517578,81.20999908447266,83.44999694824219,79.1576919555664,444770.0,0.41,1.2477,43.4311,0.0806,20.4531,2.911,0.2018,98.8,84.936,20.7328,98.867,86.451,81.9989,83.45,4.6278,0.96,4.965,41.3354,136600.0
2015-02-28,83.7699966430664,97.16000366210938,82.76000213623047,94.88999938964844,90.0710220336914,521421.05263157893,3.153,1.2477,67.1565,0.0806,20.4531,2.911,0.2018,98.8,94.37,20.7328,107.534,87.6512,83.5435,94.89,4.6278,0.96,3.176,68.0053,108435.0
2015-03-31,94.5,96.9499969482422,90.63999938964844,95.01000213623048,90.18492889404295,510113.63636363635,9.895,1.2416,53.912,0.0741,17.7411,2.752,0.3508,100.684,95.554,21.0404,100.684,91.456,85.3832,95.01,5.0398,1.0,2.752,50.9675,223810.0
2015-04-30,95.01000213623048,105.0999984741211,93.48999786376952,94.0500030517578,89.27366638183594,492309.5238095238,13.6733,1.2416,43.8523,0.0741,17.7411,2.752,0.3508,100.684,96.405,21.0404,100.704,95.2374,86.8069,94.05,5.0398,1.0,2.449,38.3189,201324.0
2015-05-31,95.9000015258789,102.6999969482422,95.6500015258789,100.3000030517578,95.26388549804688,552110.0,9.1229,1.2416,54.0134,0.0741,17.7411,2.752,0.3508,100.684,101.204,21.0404,99.801,97.575,88.6725,100.3,5.0398,1.0,3.78,50.1228,148817.0
2015-06-30,100.5,101.52999877929688,93.48999786376952,94.23999786376952,89.50813293457031,422131.8181818182,10.9708,1.2011,32.9258,0.0924,15.8617,5.07,0.3051,98.872,97.207,20.4593,98.872,98.9482,90.3047,94.24,4.6564,1.05,5.07,27.6978,176241.0
2015-07-31,95.22000122070312,103.06999969482422,91.20999908447266,101.19000244140624,96.1091766357422,581122.7272727273,9.3677,1.2011,62.8441,0.0924,15.8617,5.07,0.3051,98.872,97.042,20.4593,99.446,97.5118,92.0835,101.19,4.6564,1.05,3.945,66.8001,230293.0
2015-08-31,101.12999725341795,102.41000366210938,87.94999694824219,95.76000213623048,91.0253677368164,515128.5714285714,9.3238,1.2011,46.8509,0.0924,15.8617,5.07,0.3051,98.872,95.887,20.4593,100.024,96.6366,93.7008,95.76,4.6564,1.05,5.614,46.5504,148379.0
