Date,Open,High,Low,Close,Adj Close,Volume,Relative Share Price Momentum,Beta,RSI_14D,avg bid ask,sales growth,short selling ratio_quarterly,Net debt-cashflow,Institution holdings_quarterly,MA10D,ROE,Institution holdings_weekly,MA50D,MA200D,px_last,BV-Market,EPS,short selling ratio_biweekly,RSI_9D,volume
2013-02-28,39.66999816894531,41.40999984741211,39.36000061035156,41.29999923706055,28.87103843688965,1246726.3157894737,-3.9303,0.585,75.5021,0.0162,-3.7729,2.681,4.4486,69.084,40.276,13.4916,77.414,38.7006,38.4036,41.3,2.0503,0.43,3.584,79.787,672466.0
2013-03-31,41.209999084472656,42.95000076293945,40.790000915527344,42.88999938964844,29.9825382232666,1338395.0,3.0613,0.6033,74.8019,0.0146,7.0517,3.22,4.4225,76.419,41.6,13.3445,76.419,40.337,38.809,42.89,2.3366,0.77,3.22,79.2792,754948.0
2013-04-30,42.81999969482422,45.0,42.310001373291016,44.939998626708984,31.415597915649418,1174159.0909090908,3.793,0.6033,74.5171,0.0146,7.0517,3.22,4.4225,76.419,43.833,13.3445,80.156,42.1662,39.2522,44.94,2.3366,0.77,4.108,78.4754,449618.0
2013-05-31,44.779998779296875,44.84000015258789,40.560001373291016,40.810001373291016,28.755184173583984,1365486.3636363635,-0.905,0.6033,30.8718,0.0146,7.0517,3.22,4.4225,76.419,42.239,13.3445,78.873,43.019,39.5325,40.81,2.3366,0.77,3.151,24.3492,676206.0
2013-06-30,40.939998626708984,41.7400016784668,39.040000915527344,40.9900016784668,28.882009506225582,1388680.0,-4.3566,0.603,48.8598,0.0226,7.1557,2.616,4.101,72.078,40.514,13.3027,72.078,42.2628,39.7604,40.99,2.2374,0.52,2.616,53.1569,1181906.0
2013-07-31,40.91999816894531,43.83000183105469,39.66999816894531,43.47999954223633,30.63648223876953,1521554.5454545454,-1.3702,0.603,61.4056,0.0226,7.1557,2.616,4.101,72.078,43.412,13.3027,71.864,41.6534,40.2976,43.48,2.2374,0.52,4.707,62.0155,418186.0
2013-08-31,43.689998626708984,44.0099983215332,40.40999984741211,41.040000915527344,29.175172805786133,1309577.2727272727,-5.3864,0.603,41.243,0.0226,7.1557,2.616,4.101,72.078,40.901,13.3027,73.606,41.9994,40.7605,41.04,2.2374,0.52,6.094,41.4001,818001.0
2013-09-30,41.29999923706055,41.47999954223633,39.52000045776367,40.380001068115234,28.705991744995117,1621695.0,-10.7518,0.6242,44.9058,0.0126,1.3374,5.472,4.1283,72.831,40.791,12.7473,72.831,41.5904,41.0981,40.38,2.1898,0.61,5.472,44.5772,703437.0
2013-10-31,40.5,43.0,39.83000183105469,42.11000061035156,29.935834884643555,1247765.2173913044,-13.0556,0.6242,57.2899,0.0126,1.3374,5.472,4.1283,72.831,42.271,12.7473,72.78,40.8998,41.5478,42.11,2.1898,0.61,7.31,56.1838,747700.0
2013-11-30,42.27000045776367,42.65999984741211,40.4900016784668,41.77000045776367,29.96853256225586,1993525.0,-9.2796,0.6242,49.1316,0.0126,1.3374,5.472,4.1283,72.831,42.027,12.7473,74.765,41.5094,41.8179,41.77,2.1898,0.61,5.739,47.0964,500323.0
