Date,Open,High,Low,Close,Adj Close,Volume,px_last,volume,ROE,Beta,BV-Market,avg bid ask,EPS,Net debt-cashflow,sales growth,temp,RSI_9D,RSI_14D,Relative Share Price Momentum,MA200D,MA50D,MA10D,Institution holdings_weekly,Institution holdings_quarterly,short selling ratio_biweekly,short selling ratio_quarterly
2013-05-31,46.43000030517578,47.189998626708984,43.720001220703125,45.65999984741211,45.65999984741211,181377.27272727274,45.66,51327.0,13.7985,1.0333,2.7092,0.0691,0.46,-2.559,-2.8449,-2.8449,44.1342,46.605,2.8636,41.4173,45.9262,46.136,89.102,89.545,4.046,4.498
2013-06-30,45.61000061035156,46.529998779296875,42.5099983215332,43.439998626708984,43.439998626708984,160730.0,43.44,121049.0,13.5303,1.032,2.4686,0.0763,0.6,-2.4676,2.462,2.462,37.5105,38.3005,-0.5994,42.179,45.5544,43.947,89.39,89.39,2.667,2.667
2013-07-31,43.619998931884766,46.779998779296875,43.41999816894531,46.16999816894531,46.16999816894531,133300.0,46.17,61396.0,13.5303,1.032,2.4686,0.0763,0.6,-2.4676,2.462,2.462,59.7985,58.624,-2.9587,43.0202,45.3238,46.269,90.119,89.39,4.641,2.667
2013-08-31,46.52000045776367,49.380001068115234,45.5099983215332,45.599998474121094,45.599998474121094,145222.72727272726,45.6,54108.0,13.5303,1.032,2.4686,0.0763,0.6,-2.4676,2.462,2.462,28.0847,36.1398,-3.251,44.1935,46.093,46.929,89.327,89.39,3.283,2.667
2013-09-30,46.09000015258789,47.40999984741211,43.91999816894531,45.560001373291016,45.560001373291016,259195.0,45.53,128774.0,14.6495,0.9398,2.5392,0.0754,0.76,-2.6315,4.5573,4.5573,52.6063,48.9031,-8.6653,44.8428,46.3908,45.01,89.57,89.57,4.28,4.28
2013-10-31,45.4900016784668,48.900001525878906,45.25,48.310001373291016,48.310001373291016,189426.08695652173,48.31,52450.0,14.6495,0.9398,2.5392,0.0754,0.76,-2.6315,4.5573,4.5573,62.7579,61.6835,-4.9445,45.6527,46.417,47.935,89.77,89.57,7.741,4.28
2013-11-30,48.45000076293945,53.65999984741211,47.86000061035156,51.84000015258789,51.84000015258789,218070.0,51.84,20228.0,14.6495,0.9398,2.5392,0.0754,0.76,-2.6315,4.5573,4.5573,60.8114,63.183,2.0119,46.4686,48.5588,51.853,91.553,89.57,7.705,4.28
2013-12-31,51.939998626708984,55.220001220703125,50.029998779296875,54.08000183105469,54.08000183105469,202028.57142857142,54.08,49291.0,14.7999,0.9303,2.8357,0.1101,0.83,-2.1216,12.3865,12.3865,64.8209,64.1728,5.037,47.2222,51.074,53.323,92.849,92.849,4.0,4.0
2014-01-31,53.84000015258789,55.849998474121094,52.66999816894531,54.959999084472656,54.959999084472656,177633.33333333334,54.96,113948.0,14.7999,0.9303,2.8357,0.1101,0.83,-2.1216,12.3865,12.3865,60.0397,59.2367,8.0243,48.081,52.926,53.988,92.345,92.849,4.074,4.0
2014-02-28,54.95000076293945,69.91999816894531,52.61000061035156,68.98999786376953,68.98999786376953,390689.4736842105,68.99,141937.0,14.7999,0.9303,2.8357,0.1101,0.83,-2.1216,12.3865,12.3865,89.8834,86.7032,15.413,49.4122,56.1236,65.115,99.729,92.849,0.949,4.0
2014-03-31,68.1500015258789,72.76000213623047,68.01000213623047,69.41000366210938,69.41000366210938,267333.3333333333,69.41,72102.0,16.0842,0.8941,3.4651,0.2284,0.83,-2.1128,21.6644,21.6644,53.5338,60.1434,39.2192,51.9327,62.9432,69.925,91.507,91.507,2.005,2.005
2014-04-30,69.5999984741211,71.73999786376953,60.060001373291016,69.44000244140625,69.44000244140625,795247.619047619,69.44,236041.0,16.0842,0.8941,3.4651,0.2284,0.83,-2.1128,21.6644,21.6644,59.3544,56.5075,31.5208,54.3383,68.4042,66.772,92.879,91.507,0.923,2.005
2014-05-31,69.33000183105469,75.31999969482422,69.33000183105469,74.30000305175781,74.30000305175781,661628.5714285715,74.3,161528.0,16.0842,0.8941,3.4651,0.2284,0.83,-2.1128,21.6644,21.6644,68.181,63.9517,34.0725,57.0765,70.107,72.756,90.313,91.507,1.85,2.005
2014-06-30,74.30000305175781,87.52999877929688,72.7300033569336,82.31999969482422,82.31999969482422,587619.0476190476,82.32,212240.0,15.0923,0.8765,3.9656,0.0598,0.54,-2.4622,13.9283,13.9283,71.186,68.5598,39.7685,60.4341,74.4902,80.033,90.264,90.264,1.436,1.436
2014-07-31,82.29000091552734,86.0199966430664,79.80999755859375,80.06999969482422,80.06999969482422,395131.8181818182,80.07,109941.0,15.0923,0.8765,3.9656,0.0598,0.54,-2.4622,13.9283,13.9283,35.794,43.7019,41.0206,64.5196,79.6794,81.743,90.338,90.264,3.757,1.436
2014-08-31,80.0199966430664,82.63999938964844,72.9000015258789,78.02999877929688,78.02999877929688,383190.4761904762,78.03,57253.0,15.0923,0.8765,3.9656,0.0598,0.54,-2.4622,13.9283,13.9283,56.8514,51.2116,18.2208,67.452,79.8745,77.3915,93.775,90.264,3.328,1.436
2014-09-30,77.93000030517578,78.44000244140625,70.27999877929688,70.97000122070312,70.97000122070312,391990.4761904762,70.97,172874.0,12.3891,0.8866,3.3463,0.0908,0.29,-2.8909,15.0837,15.0837,31.1408,34.0526,-0.4065,69.8275,76.481,73.4075,93.776,93.776,1.712,1.712
2014-10-31,70.7300033569336,74.05999755859375,58.95000076293945,73.75,73.75,615169.5652173914,73.75,188840.0,12.3891,0.8866,3.3463,0.0908,0.29,-2.8909,15.0837,15.0837,73.5099,63.646,-3.8198,71.4626,71.568,69.682,93.191,93.776,1.121,1.712
